Transaction_ID,Customer_Age,Annual_Income,Transaction_Amount,Transactions_Last_30_Days,Distance_From_Home_Km,Online_Transaction,Device_Type,Merchant_Category,International_Transaction,Previous_Fraud_Count,Account_Age_Months,Fraud
TXN00030,26,107029.0,216.36,15,8.2,Yes,Mobile,Fuel,No,0,44,0
TXN00031,42,40885.0,135.09,8,53.4,Yes,Mobile,Fuel,No,0,60,0
TXN00032,39,100005.0,71.73,14,1.3,Yes,Mobile,Dining,No,0,56,0
TXN00033,42,79455.0,147.93,9,19.9,No,Mobile,Healthcare,No,0,20,0
TXN00034,40,36462.0,92.1,16,12.3,Yes,Mobile,Healthcare,No,0,67,0
TXN00035,44,63149.0,242.71,14,10.4,Yes,Mobile,Electronics,No,0,22,1
TXN00036,54,53746.0,156.64,20,15.5,Yes,Desktop,Grocery,No,0,67,0
TXN00037,44,72882.0,93.25,16,22.0,Yes,Desktop,Healthcare,No,0,54,0
TXN00038,26,49743.0,144.42,13,23.8,No,Mobile,Fuel,No,0,56,0
TXN00039,53,47898.0,343.62,13,2.3,No,Desktop,Healthcare,No,0,27,0
TXN00040,56,101842.0,76.08,12,2.6,Yes,Mobile,Dining,No,0,42,0
TXN00041,73,52610.0,165.61,14,0.2,Yes,Mobile,Travel,No,0,47,0
TXN00042,26,79776.0,113.42,17,1.7,No,Mobile,Travel,No,0,20,0
TXN00043,41,49696.0,168.86,11,3.7,Yes,Mobile,Healthcare,No,0,107,0
TXN00044,18,116435.0,71.08,12,15.3,Yes,Desktop,Clothing,No,1,67,0
TXN00045,44,40532.0,131.07,17,7.7,No,Mobile,Grocery,No,0,34,0
TXN00046,32,41719.0,291.12,14,17.0,No,Mobile,Fuel,No,1,17,0
TXN00047,59,109220.0,56.71,12,8.0,Yes,Mobile,Clothing,No,0,110,0
TXN00048,29,45020.0,41.43,22,9.7,Yes,Tablet,Clothing,No,0,75,0
TXN00049,19,113048.0,42.71,15,1.4,No,Mobile,Clothing,Yes,1,102,0
TXN00050,33,82159.0,47.04,16,18.0,Yes,Tablet,Travel,No,0,62,0
TXN00051,18,51303.0,193.2,13,17.0,No,Tablet,Dining,No,0,41,1
TXN00052,46,24321.0,38.97,8,4.4,Yes,Desktop,Healthcare,No,0,41,0
TXN00053,18,54524.0,94.55,7,4.8,Yes,Desktop,Dining,No,0,54,0
TXN00054,38,57574.0,196.79,13,3.0,Yes,Mobile,Fuel,No,0,54,0
TXN00055,18,92998.0,167.47,15,20.2,No,Mobile,Clothing,No,0,80,0
TXN00056,34,112408.0,88.15,18,16.5,No,Tablet,Grocery,No,1,56,0
TXN00057,56,40410.0,139.8,14,11.3,No,Mobile,Dining,No,1,92,0
TXN00058,42,78875.0,130.74,11,3.3,Yes,Mobile,Electronics,No,0,69,0
TXN00059,29,77615.0,100.29,13,2.3,No,Mobile,Dining,No,0,119,0
TXN00060,38,89154.0,101.37,15,0.6,No,Desktop,Grocery,No,0,35,0
TXN00061,38,68837.0,717.54,11,0.6,Yes,Mobile,Clothing,No,0,41,0
TXN00062,43,22948.0,229.28,9,2.5,No,Mobile,Dining,No,0,90,0
TXN00063,23,51285.0,873.07,9,1.3,No,Desktop,Clothing,No,0,64,0
TXN00064,45,32696.0,80.63,16,9.7,No,Mobile,Travel,No,0,52,0
TXN00065,18,50207.0,112.11,21,5.3,No,Mobile,Grocery,No,1,39,0
TXN00066,31,85485.0,41.34,12,7.1,No,Mobile,Travel,No,0,29,0
TXN00067,33,63096.0,62.79,12,10.8,No,Mobile,Travel,No,0,121,0
TXN00068,45,92201.0,549.51,12,12.9,Yes,Mobile,Fuel,Yes,0,127,0
TXN00069,38,64143.0,79.03,13,12.5,No,Mobile,Healthcare,No,1,33,0
TXN00070,23,30664.0,557.2,11,3.6,Yes,Desktop,Clothing,No,0,72,1
TXN00071,27,18000.0,44.38,12,19.9,No,Desktop,Clothing,No,2,85,0
TXN00072,40,58809.0,51.66,17,30.0,No,Mobile,Clothing,No,0,33,0
TXN00073,37,49952.0,91.33,15,4.6,No,Desktop,Clothing,No,0,114,0
TXN00074,32,35435.0,114.03,21,0.2,No,Mobile,Healthcare,No,0,62,0
TXN00075,33,25586.0,251.13,14,27.5,Yes,Mobile,Grocery,No,0,53,0
TXN00076,46,39516.0,172.11,12,30.9,Yes,Desktop,Travel,No,0,91,0
TXN00077,32,50391.0,86.01,19,0.6,Yes,Mobile,Fuel,No,0,62,0
TXN00078,37,74216.0,107.86,9,0.2,Yes,Desktop,Fuel,No,0,105,0
TXN00079,62,59872.0,92.97,15,20.3,No,Mobile,Travel,No,0,121,0
TXN00080,22,113405.0,57.73,13,4.3,Yes,Mobile,Travel,No,0,38,0
TXN00081,18,34512.0,58.98,12,29.5,Yes,Desktop,Electronics,No,0,87,0
TXN00082,47,81762.0,273.09,12,2.9,Yes,Mobile,Grocery,No,0,47,0
TXN00083,31,56183.0,27.8,10,23.7,Yes,Mobile,Fuel,No,0,49,0
TXN00084,34,75184.0,437.63,7,0.9,No,Mobile,Grocery,No,0,72,0
TXN00085,29,45191.0,91.2,14,3.6,Yes,Mobile,Clothing,No,0,66,0
TXN00086,35,89085.0,64.68,12,43.4,Yes,Desktop,Fuel,No,1,43,0
TXN00087,56,62814.0,216.87,11,3.2,No,Desktop,Dining,No,0,71,0
TXN00088,47,40511.0,393.73,11,1.7,Yes,Desktop,Dining,No,0,72,0
TXN00089,47,54703.0,293.42,16,23.3,No,Mobile,Fuel,No,0,58,0
TXN00090,22,49379.0,179.28,14,1.5,Yes,Mobile,Electronics,No,0,34,0
TXN00091,25,68543.0,286.28,11,1.2,No,Desktop,Dining,No,0,36,0
TXN00092,18,32344.0,30.4,13,4.7,Yes,Mobile,Healthcare,No,0,60,0
TXN00093,29,54278.0,79.05,18,12.1,No,Mobile,Clothing,No,0,52,0
TXN00094,49,65708.0,57.89,13,14.9,Yes,Desktop,Clothing,Yes,0,61,0
TXN00095,44,55823.0,319.64,7,25.6,Yes,Mobile,Healthcare,No,0,59,0
TXN00096,36,100832.0,88.3,16,9.3,Yes,Desktop,Grocery,No,0,50,0
TXN00097,38,77917.0,236.0,15,6.0,Yes,Mobile,Travel,No,1,49,0
TXN00098,30,54815.0,184.23,12,5.3,No,Desktop,Grocery,No,0,51,0
TXN00099,40,60633.0,60.2,12,22.5,Yes,Mobile,Clothing,No,0,91,0
TXN00100,46,62827.0,75.03,14,15.4,No,Desktop,Grocery,No,0,54,0
TXN00101,20,65945.0,337.83,13,28.3,No,Mobile,Clothing,Yes,0,63,0
TXN00102,41,24186.0,64.53,9,39.9,Yes,Tablet,Grocery,No,0,41,0
TXN00103,48,48021.0,132.61,15,4.3,Yes,Mobile,Clothing,No,0,31,0
TXN00104,33,28200.0,64.17,15,9.1,No,Desktop,Fuel,Yes,0,50,0
TXN00105,46,97764.0,93.35,11,12.0,Yes,Desktop,Fuel,No,1,61,0
TXN00106,69,53514.0,115.65,16,2.1,Yes,Mobile,Grocery,Yes,0,50,0
TXN00107,37,50417.0,64.15,14,0.7,No,Mobile,Travel,No,1,96,0
TXN00108,42,82343.0,55.65,10,24.3,Yes,Tablet,Electronics,No,0,83,0
TXN00109,30,66512.0,150.88,14,9.2,Yes,Mobile,Clothing,No,0,37,0
TXN00110,40,33097.0,61.05,16,10.1,Yes,Desktop,Electronics,No,0,71,0
TXN00111,43,53273.0,62.74,16,9.7,No,Mobile,Dining,No,0,28,0
TXN00112,40,47300.0,56.61,15,16.9,Yes,Desktop,Healthcare,No,0,50,0
TXN00113,27,25086.0,112.75,20,1.9,No,Mobile,Dining,No,0,119,0
TXN00114,40,40314.0,255.3,15,11.4,Yes,Desktop,Travel,Yes,0,56,0
TXN00115,54,50640.0,400.5,9,7.6,Yes,Mobile,Healthcare,No,0,43,0
TXN00116,43,52227.0,67.14,16,27.3,No,Mobile,Healthcare,No,0,69,0
TXN00117,49,28228.0,670.31,15,8.8,Yes,Mobile,Grocery,No,0,51,0
TXN00118,35,92350.0,53.72,14,34.4,Yes,Desktop,Clothing,No,0,50,0
TXN00119,46,52530.0,285.53,17,5.2,Yes,Mobile,Fuel,No,0,68,0
TXN00120,41,55937.0,67.37,14,40.9,No,Mobile,Dining,No,0,73,0
TXN00121,28,65866.0,59.78,17,25.0,Yes,Desktop,Healthcare,No,0,54,0
TXN00122,42,38579.0,66.13,19,10.5,No,Mobile,Healthcare,Yes,0,46,0
TXN00123,27,67538.0,115.07,14,5.2,Yes,Desktop,Grocery,No,0,35,0
TXN00124,31,46626.0,190.85,10,5.7,Yes,Desktop,Electronics,No,0,124,0
TXN00125,40,36740.0,205.08,13,17.8,Yes,Mobile,Travel,No,1,40,0
TXN00126,41,71192.0,56.39,15,10.4,No,Mobile,Fuel,No,0,93,0
TXN00127,25,107618.0,54.37,10,6.2,No,Desktop,Fuel,No,0,96,0
TXN00128,50,76211.0,57.64,8,12.1,No,Mobile,Dining,No,0,23,0
TXN00129,44,83319.0,109.77,9,15.9,Yes,Desktop,Grocery,No,0,94,0
TXN00130,30,43513.0,101.43,16,0.3,Yes,Mobile,Fuel,No,0,42,0
TXN00131,21,26800.0,56.11,10,1.1,No,Mobile,Electronics,No,0,52,0
TXN00132,36,107543.0,148.89,12,1.2,Yes,Mobile,Electronics,No,0,40,0
TXN00133,33,138638.0,733.29,16,3.2,No,Tablet,Travel,No,0,40,0
TXN00134,39,110123.0,80.14,16,6.7,Yes,Desktop,Travel,No,0,78,0
TXN00135,34,47287.0,84.83,16,19.5,No,Mobile,Electronics,No,0,9,0
TXN00136,18,32712.0,187.77,13,5.2,Yes,Tablet,Electronics,No,0,104,0
TXN00137,34,34048.0,76.74,20,0.2,Yes,Mobile,Grocery,No,0,51,0
TXN00138,35,25781.0,204.93,15,7.9,No,Desktop,Fuel,No,0,41,0
TXN00139,45,52406.0,67.54,14,68.3,No,Desktop,Grocery,No,0,24,0
TXN00140,30,113283.0,519.67,15,5.2,Yes,Desktop,Travel,No,0,83,1
TXN00141,56,51603.0,158.11,14,39.0,No,Mobile,Travel,No,0,33,1
TXN00142,18,63015.0,73.07,9,1.3,Yes,Mobile,Travel,No,0,20,0
TXN00143,52,102141.0,74.93,11,2.3,Yes,Desktop,Healthcare,No,0,50,0
TXN00144,36,45855.0,79.56,13,15.5,No,Mobile,Fuel,No,0,84,0
TXN00145,47,137459.0,359.85,10,8.3,Yes,Mobile,Dining,No,0,33,0
TXN00146,39,134798.0,43.49,8,17.4,Yes,Desktop,Travel,No,0,60,0
TXN00147,51,51849.0,70.33,12,23.9,Yes,Desktop,Travel,No,1,69,0
TXN00148,34,42412.0,76.57,8,3.5,Yes,Mobile,Grocery,No,0,69,0
TXN00149,26,75271.0,118.5,16,13.8,Yes,Mobile,Grocery,No,0,34,0
TXN00150,54,47038.0,96.6,9,11.2,No,Mobile,Dining,No,0,116,0
TXN00151,37,32684.0,36.4,14,23.7,Yes,Desktop,Clothing,No,0,16,0
TXN00152,40,97895.0,87.15,14,6.7,Yes,Desktop,Dining,No,0,57,0
TXN00153,52,95082.0,110.81,15,0.6,No,Desktop,Dining,Yes,0,94,0
TXN00154,27,58987.0,72.6,11,10.2,No,Desktop,Dining,No,0,19,0
TXN00155,45,31157.0,207.87,12,38.3,Yes,Desktop,Grocery,No,0,49,1
TXN00156,32,31628.0,250.39,14,0.2,Yes,Mobile,Travel,No,0,102,0
TXN00157,37,57719.0,112.71,14,3.3,Yes,Mobile,Grocery,No,1,51,0
TXN00158,39,43921.0,144.3,12,4.6,No,Desktop,Healthcare,No,0,29,0
TXN00159,21,47174.0,21.3,17,17.4,Yes,Mobile,Electronics,No,0,26,0
TXN00160,29,87114.0,85.68,18,4.7,Yes,Tablet,Electronics,No,0,35,0
TXN00161,53,76498.0,268.1,15,3.3,No,Desktop,Clothing,No,0,48,0
TXN00162,48,102258.0,85.52,13,12.5,Yes,Mobile,Travel,No,0,84,0
TXN00163,37,35218.0,66.53,19,0.6,No,Mobile,Dining,No,0,56,0
TXN00164,41,47129.0,742.22,10,2.2,No,Mobile,Travel,No,1,51,0
TXN00165,35,77391.0,514.27,10,6.3,Yes,Desktop,Electronics,No,0,46,0
TXN00166,53,67287.0,174.43,14,5.3,No,Desktop,Clothing,No,0,69,0
TXN00167,36,109607.0,298.46,14,5.1,Yes,Mobile,Travel,No,0,53,0
TXN00168,41,66458.0,20.22,10,1.4,No,Desktop,Dining,No,0,16,0
TXN00169,51,126341.0,63.91,21,5.4,No,Desktop,Healthcare,No,1,101,0
TXN00170,29,70129.0,82.4,8,19.2,Yes,Mobile,Healthcare,No,0,120,0
TXN00171,55,88704.0,99.36,17,6.4,No,Mobile,Healthcare,Yes,0,14,0
TXN00172,21,47549.0,81.09,11,10.6,No,Mobile,Clothing,No,0,41,0
TXN00173,56,55355.0,15.6,11,2.1,No,Mobile,Clothing,No,0,66,0
TXN00174,34,82869.0,163.42,13,0.9,No,Mobile,Grocery,No,0,100,0
TXN00175,35,113656.0,185.38,16,25.4,Yes,Mobile,Dining,No,1,55,0
TXN00176,18,76362.0,432.25,20,4.8,Yes,Tablet,Grocery,No,1,91,0
TXN00177,33,52980.0,63.87,10,5.2,Yes,Mobile,Healthcare,Yes,0,39,0
TXN00178,27,102221.0,59.82,13,25.2,Yes,Mobile,Electronics,Yes,1,47,0
TXN00179,31,20511.0,14.06,13,14.8,Yes,Mobile,Healthcare,No,0,43,0
TXN00180,36,29001.0,94.88,12,16.9,Yes,Desktop,Fuel,No,0,51,0
TXN00181,49,74744.0,246.75,9,13.7,No,Desktop,Travel,No,1,78,0
TXN00182,40,55350.0,73.56,11,1.3,Yes,Desktop,Fuel,No,0,76,0
TXN00183,41,72227.0,666.64,8,38.0,Yes,Desktop,Dining,No,0,78,0
TXN00184,26,56617.0,97.73,11,28.8,Yes,Desktop,Grocery,No,0,81,0
TXN00185,28,71112.0,134.97,12,3.2,No,Mobile,Dining,No,0,18,0
TXN00186,58,38124.0,40.33,20,19.6,No,Desktop,Dining,No,1,21,0
TXN00187,30,71097.0,151.0,14,6.3,No,Mobile,Electronics,No,0,48,0
TXN00188,56,86041.0,24.63,13,13.8,Yes,Desktop,Dining,Yes,1,20,0
TXN00189,35,95257.0,209.02,9,2.2,Yes,Mobile,Travel,No,0,91,0
TXN00190,38,136106.0,214.23,17,9.3,No,Desktop,Electronics,No,0,11,0
TXN00191,50,61386.0,356.0,11,1.6,Yes,Mobile,Fuel,No,0,81,0
TXN00192,52,62215.0,53.06,17,9.2,No,Mobile,Dining,No,0,80,0
TXN00193,37,27713.0,136.45,6,3.4,Yes,Desktop,Fuel,No,0,72,0
TXN00194,34,43302.0,188.4,12,7.2,Yes,Desktop,Travel,No,0,45,0
TXN00195,37,50423.0,170.94,11,13.2,Yes,Mobile,Travel,No,0,71,0
TXN00196,42,88233.0,60.05,7,25.2,No,Mobile,Travel,No,0,25,0
TXN00197,48,41779.0,17.71,13,2.2,Yes,Mobile,Healthcare,No,0,63,0
TXN00198,38,78703.0,158.39,12,26.8,Yes,Mobile,Fuel,No,0,81,0
TXN00199,45,54960.0,106.22,10,5.9,Yes,Mobile,Fuel,No,0,57,0
TXN00200,56,50785.0,76.26,11,22.3,Yes,Mobile,Grocery,No,0,50,0
TXN00201,42,61518.0,221.11,14,8.6,No,Desktop,Electronics,No,0,25,0
TXN00202,41,46123.0,115.76,12,23.8,Yes,Desktop,Clothing,No,0,53,0
TXN00203,21,45343.0,41.77,18,13.0,Yes,Mobile,Dining,No,0,42,0
TXN00204,18,25538.0,25.59,13,8.5,Yes,Mobile,Electronics,No,1,119,0
TXN00205,42,49193.0,48.63,13,4.5,Yes,Mobile,Travel,No,0,54,0
TXN00206,37,44316.0,813.95,14,41.7,Yes,Mobile,Dining,No,0,81,0
TXN00207,32,43604.0,213.94,13,19.4,Yes,Desktop,Grocery,No,0,81,0
TXN00208,41,66349.0,139.54,18,5.8,No,Mobile,Electronics,Yes,0,136,0
TXN00209,37,73974.0,103.77,12,2.2,No,Desktop,Travel,No,0,74,0
TXN00210,50,61058.0,98.45,15,18.1,Yes,Mobile,Dining,No,0,150,0
TXN00211,39,86079.0,305.29,13,55.2,No,Mobile,Healthcare,No,0,42,0
TXN00212,30,71260.0,81.05,14,3.9,No,Tablet,Dining,No,0,39,0
TXN00213,49,48161.0,190.38,9,29.7,Yes,Mobile,Travel,No,0,86,0
TXN00214,36,44659.0,90.81,11,1.6,Yes,Mobile,Fuel,No,0,47,0
TXN00215,44,63314.0,566.58,9,36.5,No,Mobile,Healthcare,Yes,0,45,0
TXN00216,33,71203.0,217.31,13,16.4,No,Mobile,Electronics,No,0,32,0
TXN00217,31,103168.0,325.04,20,5.1,Yes,Mobile,Healthcare,No,0,30,0
TXN00218,39,94006.0,75.19,12,4.4,Yes,Desktop,Dining,No,0,41,0
TXN00219,38,43106.0,279.78,12,12.4,Yes,Tablet,Fuel,No,0,52,0
TXN00220,43,52532.0,93.45,11,10.8,Yes,Desktop,Grocery,No,0,85,0
TXN00221,35,74388.0,131.04,9,30.2,No,Mobile,Dining,No,0,28,0
TXN00222,18,88937.0,443.87,5,17.4,No,Tablet,Dining,No,0,36,0
TXN00223,33,83920.0,52.11,10,9.3,No,Desktop,Healthcare,No,0,61,0
TXN00224,47,53442.0,141.19,11,31.5,Yes,Mobile,Grocery,No,0,67,0
TXN00225,35,31281.0,170.36,15,10.8,Yes,Mobile,Grocery,No,0,32,0
TXN00226,35,35086.0,181.91,14,22.7,Yes,Desktop,Clothing,No,0,74,0
TXN00227,49,62179.0,83.67,10,22.1,Yes,Desktop,Clothing,No,0,17,1
TXN00228,30,64157.0,636.83,9,30.2,No,Mobile,Dining,No,0,93,0
TXN00229,21,33546.0,42.59,14,0.8,No,Mobile,Travel,No,0,31,0
TXN00230,36,56114.0,385.52,8,10.5,No,Tablet,Grocery,No,0,22,0
TXN00231,33,73068.0,317.2,12,7.6,No,Mobile,Fuel,No,0,58,0
TXN00232,27,32762.0,549.06,13,8.1,No,Mobile,Grocery,No,0,52,0
TXN00233,36,90431.0,33.68,12,7.4,Yes,Tablet,Dining,No,0,41,0
TXN00234,43,46407.0,59.89,13,21.8,No,Mobile,Dining,No,0,36,0
TXN00235,38,96859.0,395.85,10,4.6,Yes,Tablet,Electronics,No,0,112,0
TXN00236,41,43262.0,26.73,13,7.5,No,Desktop,Fuel,No,0,37,0
TXN00237,58,34652.0,33.19,17,2.7,Yes,Mobile,Electronics,No,0,87,0
TXN00238,34,44754.0,81.19,9,3.5,Yes,Mobile,Grocery,Yes,0,63,0
TXN00239,41,52695.0,139.92,12,13.0,No,Mobile,Electronics,No,0,88,0
TXN00240,32,46179.0,428.92,10,1.5,No,Mobile,Dining,Yes,0,73,0
TXN00241,29,49906.0,103.47,11,2.5,No,Desktop,Healthcare,No,0,81,0
TXN00242,32,63919.0,73.77,15,9.0,Yes,Mobile,Travel,No,0,70,0
TXN00243,33,50922.0,153.95,15,0.5,No,Desktop,Grocery,No,0,38,0
TXN00244,42,53388.0,174.72,17,1.6,Yes,Desktop,Dining,No,0,33,0
TXN00245,64,25487.0,170.8,15,23.9,Yes,Mobile,Grocery,No,0,52,0
TXN00246,30,65601.0,104.07,15,22.5,No,Tablet,Electronics,No,0,28,0
TXN00247,33,52836.0,25.11,14,5.1,No,Desktop,Electronics,No,0,24,0
TXN00248,37,113518.0,57.59,12,5.1,Yes,Tablet,Clothing,No,0,50,1
TXN00249,42,36036.0,373.8,14,33.1,Yes,Mobile,Grocery,No,0,41,1
TXN00250,41,24376.0,139.37,12,0.3,No,Desktop,Clothing,No,0,62,0
TXN00251,52,72636.0,92.71,12,10.4,No,Desktop,Grocery,No,1,67,0
TXN00252,18,64281.0,293.54,13,10.9,Yes,Tablet,Electronics,Yes,0,54,0
TXN00253,18,34937.0,48.59,13,18.6,No,Mobile,Grocery,No,1,57,0
TXN00254,33,27631.0,100.2,13,36.4,No,Mobile,Clothing,No,0,81,0
TXN00255,50,109855.0,133.98,19,5.3,Yes,Mobile,Electronics,No,0,32,0
TXN00256,21,103926.0,84.3,21,6.9,Yes,Mobile,Clothing,Yes,1,42,0
TXN00257,18,18000.0,130.07,13,13.4,Yes,Mobile,Grocery,Yes,0,37,0
TXN00258,44,44752.0,103.27,13,41.0,No,Mobile,Healthcare,No,0,80,0
TXN00259,41,116305.0,39.17,17,26.6,Yes,Tablet,Travel,No,0,54,0
TXN00260,26,44394.0,138.75,13,13.2,No,Mobile,Grocery,No,0,65,0
TXN00261,27,44104.0,41.46,11,23.3,No,Mobile,Grocery,No,0,90,0
TXN00262,27,48429.0,137.0,15,1.1,No,Desktop,Healthcare,No,0,68,1
TXN00263,39,33213.0,360.25,14,5.7,Yes,Mobile,Dining,No,0,83,0
TXN00264,31,25538.0,95.84,12,0.2,Yes,Tablet,Travel,No,0,27,0
TXN00265,43,88321.0,47.01,15,2.3,No,Mobile,Electronics,No,0,77,0
TXN00266,18,23999.0,108.41,9,11.9,No,Mobile,Electronics,No,0,89,0
TXN00267,29,61473.0,61.68,10,26.0,Yes,Mobile,Fuel,No,0,50,0
TXN00268,26,81965.0,193.08,11,12.0,Yes,Tablet,Travel,No,0,69,0
TXN00269,35,28625.0,106.6,9,13.1,Yes,Tablet,Travel,No,0,39,0
TXN00270,32,36285.0,471.21,11,1.3,Yes,Desktop,Grocery,No,0,74,0
TXN00271,47,94942.0,304.26,13,13.1,No,Mobile,Dining,No,0,70,0
TXN00272,18,69905.0,106.17,15,7.3,Yes,Tablet,Healthcare,No,0,64,0
TXN00273,39,41661.0,212.72,15,12.6,Yes,Tablet,Electronics,No,0,43,0
TXN00274,44,94476.0,87.61,14,4.7,Yes,Mobile,Healthcare,No,0,95,0
TXN00275,58,94658.0,123.3,15,10.5,No,Desktop,Healthcare,No,0,52,0
TXN00276,33,62079.0,89.87,10,6.6,Yes,Tablet,Electronics,No,0,73,0
TXN00277,42,36681.0,221.55,12,9.8,Yes,Mobile,Healthcare,No,0,66,0
TXN00278,18,45663.0,377.62,12,1.9,Yes,Mobile,Dining,No,0,87,0
TXN00279,18,62565.0,227.33,10,6.0,No,Desktop,Clothing,Yes,0,68,0
TXN00280,47,50525.0,250.9,15,5.6,Yes,Mobile,Dining,No,0,17,0
TXN00281,38,83920.0,251.12,15,16.0,Yes,Tablet,Clothing,No,0,28,0
TXN00282,51,27631.0,186.51,14,14.7,No,Mobile,Clothing,No,0,48,0
TXN00283,23,28076.0,48.23,13,28.7,Yes,Mobile,Travel,No,0,21,0
TXN00284,44,59664.0,467.91,11,12.0,Yes,Mobile,Clothing,No,0,38,0
TXN00285,59,44086.0,508.27,6,4.5,No,Desktop,Dining,No,0,35,0
TXN00286,43,41478.0,99.52,12,18.3,No,Mobile,Dining,No,1,59,0
TXN00287,41,24821.0,89.2,14,8.2,Yes,Mobile,Grocery,No,1,43,0
TXN00288,38,55486.0,195.86,13,2.6,No,Mobile,Travel,No,1,66,0
TXN00289,21,53710.0,186.45,11,16.5,Yes,Desktop,Clothing,No,0,33,0
TXN00290,53,73803.0,102.1,13,1.7,Yes,Tablet,Fuel,No,0,89,0
TXN00291,31,56732.0,44.14,15,2.4,Yes,Desktop,Fuel,No,1,70,0
TXN00292,44,51814.0,153.25,12,17.1,Yes,Desktop,Electronics,No,0,33,0
TXN00293,21,93409.0,186.54,15,17.6,Yes,Mobile,Dining,No,0,94,0
TXN00294,25,30469.0,214.47,15,18.8,Yes,Mobile,Grocery,No,0,60,0
TXN00295,54,70015.0,158.69,10,4.2,Yes,Mobile,Dining,No,0,52,0
TXN00296,34,25928.0,96.6,17,24.2,Yes,Desktop,Electronics,No,0,91,0
TXN00297,54,37715.0,265.79,13,15.4,Yes,Desktop,Dining,Yes,0,20,0
TXN00298,37,31869.0,126.49,11,21.5,Yes,Desktop,Fuel,No,0,67,0
TXN00299,18,78195.0,82.73,17,14.8,Yes,Tablet,Travel,No,0,79,0
TXN00300,48,53405.0,103.85,13,10.4,Yes,Desktop,Dining,No,0,32,0
TXN00301,32,54667.0,29.69,8,1.4,No,Mobile,Clothing,No,0,115,0
TXN00302,46,33425.0,103.72,14,14.9,No,Mobile,Fuel,No,0,94,0
TXN00303,38,48061.0,208.15,10,14.1,No,Tablet,Fuel,No,1,35,0
TXN00304,21,39008.0,157.48,15,4.5,No,Tablet,Electronics,No,0,47,0
TXN00305,40,65359.0,405.06,7,16.0,Yes,Mobile,Travel,No,0,29,0
TXN00306,62,35210.0,97.23,6,9.6,No,Desktop,Electronics,No,0,34,1
TXN00307,43,100057.0,177.21,14,9.8,Yes,Mobile,Grocery,No,0,36,0
TXN00308,37,25876.0,226.26,15,5.5,Yes,Mobile,Clothing,No,0,26,0
TXN00309,50,38260.0,781.94,8,1.5,No,Tablet,Travel,No,0,87,0
TXN00310,40,116988.0,134.73,16,2.9,Yes,Tablet,Grocery,No,0,87,0
TXN00311,40,45219.0,52.05,10,17.6,Yes,Mobile,Healthcare,No,1,43,0
TXN00312,26,30436.0,236.47,15,3.8,Yes,Mobile,Travel,Yes,0,73,0
