Student_ID,Age,Study_Hours,Attendance_Percentage,Assignment_Score,Midterm_Score,Final_Score,Projects_Completed,Sleep_Hours,Screen_Time_Hours,Study_Expenses,Travel_Distance_Km
STU0134,24,3.0,73.2,81.1,83.4,65.1,3,8.8,5.3,1252.63,10.6
STU0135,18,7.1,81.5,82.3,65.8,96.0,0,5.3,5.5,1373.32,18.8
STU0136,22,5.8,84.1,50.8,69.9,65.3,3,6.7,5.0,972.87,7.7
STU0137,21,4.1,98.9,94.3,91.8,71.6,2,6.7,4.9,1949.85,12.7
STU0138,23,5.1,97.5,68.9,49.4,97.2,1,6.4,1.1,4237.58,13.8
STU0139,24,8.9,66.0,87.5,82.6,67.6,3,6.2,2.7,3116.22,5.2
STU0140,20,5.8,62.9,51.4,74.2,74.4,5,9.1,6.2,2447.76,15.9
STU0141,16,4.0,82.2,68.4,64.6,80.3,3,6.0,7.0,6047.05,7.5
STU0142,18,2.8,75.3,86.1,50.5,46.5,0,7.2,7.6,2052.69,17.4
STU0143,23,6.6,70.1,72.4,64.4,61.7,1,5.5,2.1,3595.16,17.9
STU0144,21,5.9,82.2,60.7,54.9,72.2,1,8.1,3.3,2003.09,13.6
STU0145,23,7.0,84.3,91.6,87.0,42.9,4,6.4,8.0,944.57,12.3
STU0146,24,2.3,73.6,54.4,69.5,93.3,3,4.1,4.2,1532.86,4.5
STU0147,19,2.9,75.8,71.7,57.2,82.9,4,8.3,6.2,1506.56,16.0
STU0148,16,8.0,74.4,81.6,45.0,80.3,3,6.3,11.7,992.34,30.2
STU0149,16,6.2,77.9,100.0,60.6,92.4,0,8.7,7.1,2264.61,18.0
STU0150,19,6.7,87.4,65.1,87.8,82.3,0,8.4,4.6,1543.32,4.9
STU0151,22,3.4,71.2,67.9,69.8,66.1,2,6.9,4.7,6617.15,15.4
STU0152,17,3.3,75.6,65.3,65.1,42.3,3,7.5,6.1,2146.9,7.9
STU0153,18,7.7,78.0,75.6,95.2,58.4,3,7.1,1.2,1450.92,5.6
STU0154,16,7.8,81.9,80.8,61.4,58.9,1,5.2,5.9,1232.61,9.3
STU0155,20,3.1,84.8,88.4,55.1,80.5,6,8.9,4.4,1205.87,21.7
STU0156,16,2.7,100.0,83.3,74.5,71.4,1,6.7,4.8,4422.71,7.6
STU0157,23,5.3,87.7,64.5,74.7,43.4,6,7.0,5.2,4681.32,12.9
STU0158,16,3.7,88.0,84.2,58.6,84.7,4,7.0,8.1,682.65,32.2
STU0159,16,3.7,79.3,73.4,55.2,92.6,2,6.7,5.5,10198.65,6.3
STU0160,17,2.7,72.2,83.2,91.2,95.1,0,7.8,5.5,2628.24,23.7
STU0161,17,4.5,76.7,84.0,61.1,50.8,3,6.9,6.4,4858.54,11.5
STU0162,21,3.0,74.9,96.5,44.8,75.5,4,6.3,5.1,1483.94,23.3
STU0163,22,3.1,85.9,66.7,71.1,52.9,2,6.5,6.3,1318.54,13.2
STU0164,20,6.2,65.5,63.8,82.3,100.0,1,9.2,4.8,2127.29,14.1
STU0165,16,5.4,87.9,78.7,65.0,70.5,2,7.1,7.3,3190.46,8.7
STU0166,16,6.6,80.8,89.7,76.6,63.7,4,9.1,7.6,2882.37,20.1
STU0167,18,1.9,89.3,72.9,51.2,60.6,0,5.8,6.3,5346.31,19.2
STU0168,17,5.5,74.8,90.7,78.1,75.7,1,6.2,0.5,792.01,15.6
STU0169,20,10.1,73.0,82.4,52.7,78.8,5,6.4,5.4,4508.17,19.0
STU0170,21,4.7,77.9,69.0,72.9,42.0,1,6.9,1.2,3491.49,10.3
STU0171,22,7.3,77.7,80.5,80.3,93.7,0,6.1,5.8,3062.33,17.3
STU0172,19,7.3,90.1,65.5,69.6,78.0,6,6.8,8.2,1041.53,12.8
STU0173,22,7.4,90.0,75.6,48.2,93.6,1,7.3,7.3,1487.78,6.6
STU0174,23,5.9,100.0,55.9,48.9,99.1,4,8.3,4.5,3784.51,5.5
STU0175,16,6.7,77.0,71.0,93.5,68.3,6,5.3,4.7,506.52,20.4
STU0176,21,7.0,48.5,87.0,55.7,84.6,1,8.2,1.3,728.72,8.0
STU0177,23,6.9,77.9,83.5,80.2,60.2,3,8.0,5.0,3370.22,18.3
STU0178,20,3.0,84.3,81.3,69.9,62.0,2,5.7,4.6,3603.13,1.9
STU0179,19,1.7,89.1,76.3,51.9,96.7,6,6.0,2.5,1540.26,15.7
STU0180,17,2.1,85.0,74.4,59.5,57.4,4,7.5,3.0,1537.39,9.8
STU0181,21,4.9,77.0,53.0,95.2,73.3,0,6.2,2.6,4639.92,7.2
STU0182,21,6.8,99.1,68.9,100.0,54.6,4,8.8,9.3,4449.26,13.5
STU0183,16,3.1,71.7,74.7,62.9,58.9,3,7.0,5.2,2004.63,14.4
STU0184,24,7.5,79.3,55.1,61.8,61.4,6,5.4,6.5,1125.18,15.0
STU0185,21,4.4,71.2,45.7,41.8,94.6,1,5.5,6.8,6521.54,16.1
STU0186,18,4.4,82.2,88.9,41.6,78.7,1,5.1,8.2,1083.03,12.5
STU0187,19,3.7,97.9,72.8,54.3,84.3,5,6.9,8.2,3879.34,7.4
STU0188,19,1.4,80.6,75.1,60.9,39.3,4,6.9,6.9,5454.95,23.2
STU0189,18,6.0,80.7,80.3,67.6,70.6,1,7.7,2.0,2489.08,11.6
STU0190,18,9.3,65.0,57.3,79.0,63.5,1,8.6,6.9,1705.12,22.8
STU0191,18,5.4,79.1,65.9,71.5,78.4,3,7.0,4.2,875.52,11.3
STU0192,19,1.4,93.5,94.6,79.3,100.0,0,8.6,2.5,2603.44,0.5
STU0193,22,7.2,79.5,64.7,58.2,29.4,5,6.1,4.3,966.03,9.6
STU0194,19,1.9,78.8,68.0,66.9,76.8,5,5.1,5.3,3051.69,9.1
STU0195,24,2.8,93.1,62.0,62.2,100.0,5,8.0,0.5,670.02,14.4
STU0196,16,5.0,78.9,60.9,47.7,61.3,6,7.9,5.8,840.62,19.5
STU0197,23,5.8,94.9,88.6,36.4,72.5,2,7.3,7.3,2723.08,21.9
STU0198,22,3.3,69.2,34.8,57.3,81.5,4,7.9,5.2,4314.9,19.4
STU0199,17,4.9,88.8,65.1,28.3,33.3,0,4.0,2.8,2078.15,13.8
STU0200,23,7.1,98.5,75.4,49.9,74.5,2,6.4,6.2,4949.33,37.1
STU0201,16,7.4,92.1,97.5,76.7,56.5,0,8.5,4.9,1736.12,17.6
STU0202,24,8.3,63.3,55.0,70.9,100.0,4,6.7,8.5,10296.36,1.9
STU0203,24,9.7,75.6,52.4,68.3,66.5,5,7.8,0.5,1052.61,4.2
STU0204,17,7.3,79.6,59.1,86.9,57.9,3,10.4,0.5,1572.83,18.3
STU0205,22,5.0,92.1,82.5,56.3,84.4,3,8.3,4.8,6017.18,6.8
STU0206,18,7.4,68.7,73.9,78.9,78.3,3,6.5,4.1,2113.58,7.2
STU0207,22,6.5,71.8,50.4,55.1,85.2,0,4.7,5.5,4634.61,8.4
STU0208,24,6.6,65.9,73.5,72.4,100.0,4,7.9,5.8,1058.59,6.9
STU0209,19,5.9,73.7,95.3,70.5,60.1,1,4.4,8.0,1346.03,11.0
STU0210,16,3.5,69.5,76.0,71.3,99.2,1,6.0,4.5,3687.6,15.0
STU0211,17,3.2,98.0,74.5,61.8,100.0,3,6.0,5.9,981.94,5.8
STU0212,16,5.3,75.5,75.4,73.1,56.9,6,6.8,2.4,1136.17,7.7
STU0213,20,5.8,88.9,78.2,74.4,58.6,0,7.4,9.9,2325.6,11.4
STU0214,20,4.0,82.2,53.0,45.1,70.8,1,5.9,7.2,5887.58,12.1
STU0215,22,6.4,82.0,68.5,81.6,66.6,0,8.4,6.8,3173.91,15.7
STU0216,24,10.1,76.1,69.3,48.2,99.1,4,8.8,3.4,2183.48,11.8
STU0217,24,1.7,89.7,64.7,54.0,55.3,6,6.7,7.7,2782.3,27.0
STU0218,18,6.8,83.5,82.3,71.9,74.2,6,8.4,7.0,806.82,34.0
STU0219,18,5.4,83.0,62.5,77.6,57.0,3,6.1,6.3,1714.97,21.6
STU0220,18,6.5,76.1,66.6,71.5,71.8,2,5.7,4.8,3329.73,14.2
STU0221,19,4.6,77.7,53.1,73.2,100.0,3,8.4,2.9,2916.56,7.4
STU0222,23,5.2,87.9,77.7,49.8,100.0,2,7.3,4.9,3720.58,9.0
STU0223,21,5.8,84.3,86.1,59.6,76.4,6,7.5,3.4,3944.25,4.3
STU0224,23,4.8,83.2,66.6,35.2,80.7,1,9.4,5.8,2896.54,11.3
STU0225,16,2.2,74.5,84.1,53.3,78.0,6,7.9,2.8,487.81,3.3
STU0226,23,5.0,100.0,69.8,46.5,64.8,5,10.1,3.6,3111.15,12.8
STU0227,19,2.4,77.2,34.1,68.2,100.0,2,7.1,0.8,1822.06,26.6
STU0228,16,6.9,81.7,71.2,100.0,92.4,5,9.0,6.1,1944.5,7.2
STU0229,23,1.4,80.1,69.4,80.2,74.0,0,6.9,5.9,1962.94,19.6
STU0230,19,7.8,100.0,73.5,32.1,66.3,6,5.5,4.0,3022.08,12.6
STU0231,21,6.4,79.1,75.8,43.7,67.4,5,8.1,0.5,961.65,11.8
STU0232,23,6.5,78.2,61.7,47.2,75.8,2,7.0,1.6,819.5,14.8
STU0233,19,0.7,83.2,94.1,39.9,69.4,1,9.7,5.2,1117.99,17.3
STU0234,18,4.8,75.1,71.0,63.5,89.4,1,7.7,7.0,4544.83,38.6
STU0235,24,8.0,83.1,69.0,71.7,78.1,6,8.2,3.0,1881.61,11.2
STU0236,18,4.4,100.0,83.2,47.3,53.8,3,5.0,7.4,3472.45,22.6
STU0237,24,3.1,85.0,72.3,64.4,50.5,1,7.9,8.4,3415.25,14.4
STU0238,17,4.1,84.6,100.0,71.5,86.8,0,6.9,5.9,3235.52,7.2
STU0239,17,5.3,74.8,68.9,79.2,50.3,2,6.0,7.1,3520.64,32.9
STU0240,17,3.6,99.1,77.3,70.5,64.1,4,8.8,2.7,1780.35,10.5
STU0241,21,8.2,100.0,60.8,73.3,62.5,1,5.3,1.4,3861.36,4.2
STU0242,18,5.4,90.5,85.1,67.4,48.9,5,7.5,8.7,3204.28,20.0
STU0243,24,4.3,88.5,76.6,51.8,75.3,2,6.2,3.0,891.61,20.7
STU0244,19,2.6,79.7,66.9,55.3,67.9,3,7.4,7.3,2598.43,11.1
STU0245,16,6.6,85.9,58.9,46.8,59.2,4,6.6,5.8,2268.75,17.6
STU0246,19,6.5,73.6,52.4,92.0,100.0,3,6.8,8.5,3377.6,15.7
STU0247,16,3.8,70.7,78.3,44.5,28.7,0,7.1,6.6,2542.11,3.9
STU0248,20,0.6,67.1,51.2,83.2,55.3,3,5.8,2.7,2139.37,2.6
STU0249,19,6.4,86.1,91.6,44.6,60.2,2,8.3,4.3,6875.14,46.2
STU0250,23,5.1,68.2,53.1,80.3,46.9,4,7.9,6.4,3711.16,21.8
STU0251,23,6.2,77.0,69.3,83.6,100.0,6,5.7,3.9,2566.92,23.9
STU0252,22,9.8,81.4,58.8,86.4,100.0,3,8.8,7.1,1208.32,10.6
STU0253,18,5.4,92.0,72.5,51.3,58.4,3,8.0,5.2,2703.89,14.7
STU0254,16,4.4,76.2,72.4,70.6,91.6,6,7.1,7.1,1435.74,14.6
STU0255,16,3.0,93.1,78.7,58.4,80.1,5,5.2,7.3,853.76,6.6
STU0256,18,4.8,91.4,49.1,53.8,98.2,5,6.2,5.6,1919.36,7.0
STU0257,21,5.9,71.3,60.5,68.7,68.2,0,4.5,4.7,1998.12,26.4
STU0258,22,5.6,93.2,86.6,81.0,77.3,6,7.2,3.9,4882.25,26.5
STU0259,21,9.3,79.2,81.9,58.5,93.8,6,8.1,2.7,4707.1,13.3
STU0260,21,6.6,77.0,34.5,73.3,91.2,2,6.1,8.4,3862.32,2.2
STU0261,21,5.2,79.2,77.7,53.5,72.6,3,7.0,5.2,2361.27,16.8
STU0262,18,3.9,82.0,56.5,51.3,54.0,2,8.3,4.5,2382.43,10.1
STU0263,21,6.1,77.8,63.1,62.8,57.0,1,6.2,4.5,3586.78,2.5
STU0264,23,3.5,73.6,68.6,63.8,38.6,0,7.7,4.9,3797.76,37.7
STU0265,17,5.9,74.5,95.4,78.7,83.4,5,9.7,4.0,3151.84,23.0
STU0266,20,6.6,83.4,56.4,48.0,73.6,6,8.0,3.9,3479.39,9.8
STU0267,16,5.0,80.4,50.9,100.0,74.9,0,5.7,2.3,2392.12,5.8
STU0268,16,4.1,87.3,78.8,39.3,69.6,0,7.0,5.1,2081.06,28.0
STU0269,20,0.7,82.5,71.6,71.6,50.6,2,7.9,7.6,590.41,12.9
STU0270,18,8.0,82.8,90.1,63.4,75.3,6,7.6,3.6,2004.21,20.0
STU0271,19,6.4,87.9,66.7,57.6,80.3,5,5.6,6.1,1562.98,25.2
STU0272,18,6.4,96.2,90.2,65.2,55.2,5,7.6,6.2,2663.53,9.6
STU0273,16,2.1,96.6,72.2,78.8,69.5,3,6.7,5.8,1610.68,7.8
STU0274,16,8.5,95.4,79.9,81.2,59.0,3,6.4,8.7,2733.36,14.8
STU0275,20,4.5,90.7,96.4,64.5,66.3,2,7.7,6.2,744.01,22.0
STU0276,21,4.9,100.0,69.5,73.3,50.7,2,9.3,5.1,1336.18,4.6
STU0277,18,3.1,86.4,87.7,46.7,65.4,1,6.0,5.7,1570.58,28.5
STU0278,24,1.6,85.3,62.8,65.1,97.7,4,7.6,6.7,1263.43,12.0
STU0279,20,8.0,100.0,75.4,74.3,61.5,4,6.9,8.5,18971.43,17.3
STU0280,23,8.3,54.7,50.3,31.5,58.4,0,7.8,4.5,668.49,13.0
STU0281,16,5.1,79.9,64.4,69.3,59.5,3,7.1,5.4,3877.93,17.1
STU0282,20,4.0,94.5,56.1,65.3,66.8,5,6.2,11.1,4776.46,9.7
STU0283,18,4.7,91.8,90.3,88.3,100.0,6,6.2,4.9,1876.34,15.9
STU0284,16,4.7,100.0,98.1,70.7,93.9,0,7.6,4.8,3102.17,17.0
STU0285,19,2.9,83.1,66.7,75.7,67.6,6,7.2,3.3,3717.63,8.9
STU0286,20,4.9,77.7,60.4,63.7,59.1,5,7.8,5.2,2730.47,25.9
STU0287,22,5.8,78.7,52.3,78.1,40.1,3,4.9,4.9,793.48,27.8
STU0288,16,7.7,85.2,76.0,77.0,54.5,3,8.4,5.8,3257.35,3.7
STU0289,18,5.5,98.2,63.0,47.1,36.4,1,8.8,5.5,4699.85,10.4
STU0290,17,2.0,98.3,63.8,73.0,82.6,2,7.2,1.1,9560.53,8.1
STU0291,24,6.3,81.4,96.4,86.9,92.7,6,7.9,2.4,1020.44,22.1
STU0292,21,4.9,84.5,67.6,83.7,63.6,2,8.3,4.7,2235.12,5.3
STU0293,18,8.5,75.9,80.8,68.4,76.5,2,6.8,4.1,2454.32,21.9
STU0294,23,8.6,76.9,72.8,73.1,51.5,4,7.3,2.9,2343.24,12.2
STU0295,23,8.7,92.5,51.7,82.6,37.0,2,7.6,1.3,842.43,21.9
STU0296,17,4.3,98.0,44.3,49.8,70.9,4,6.3,8.2,5117.01,25.4
STU0297,21,9.9,75.0,79.3,75.6,76.5,5,7.2,8.2,4778.84,28.0
STU0298,22,6.3,84.4,97.6,36.5,99.0,0,4.4,6.5,3193.4,17.5
STU0299,17,9.1,79.6,76.7,81.8,100.0,6,6.2,3.8,1895.97,35.0
STU0300,17,4.4,90.6,81.4,61.8,65.3,4,8.9,7.9,2173.19,7.5
