Vehicle_ID,Model,Year,Price,Mileage,Purchase_Date,Used,Fuel_Type,Transmission,City,Engine_CC,Owner_Count
VH10451,Seltos,2019,1352425,19.1,12-03-2019,No,Electric,Automatic,Hyderabad,1998,2
VH11610,Fortuner,2014,1516053,15.8,14-09-2019,No,Diesel,Automatic,Pune,2184,1
VH11291,Verna,2021,2980259,16.1,20-03-2023,Yes,Diesel,Automatic,Mumbai,998,3
VH11079,Swift,2011,684370,27.7,06-11-2021,Yes,Diesel,Manual,Hyderabad,1199,3
VH10255,Nexon,2023,942762,14.0,30-06-2019,Yes,Electric,Manual,Mumbai,1197,1
VH10125,Swift,2022,2907622,12.7,20-04-2018,Yes,Diesel,Automatic,Coimbatore,1199,4
VH11928,Baleno,2012,4342942,18.1,07-02-2021,No,Electric,Automatic,Chennai,1498,3
VH10252,Nexon,2019,1335891,10.6,14-02-2024,Yes,Diesel,Automatic,Chennai,2184,2
VH10586,Venue,2022,361753,15.5,29-11-2023,No,CNG,Automatic,Mumbai,998,2
VH11569,Seltos,2014,813066,10.7,22-06-2022,No,Diesel,Automatic,Coimbatore,998,1
VH10825,Nexon,2015,2355845,9.5,01-03-2026,Yes,CNG,Automatic,Delhi,1498,3
VH10508,Swift,2020,2197951,13.0,15-08-2020,No,Petrol,Manual,Delhi,998,2
VH10890,Verna,2012,3698116,17.3,01-08-2022,No,CNG,Automatic,Bangalore,1497,3
VH10071,Verna,2019,591464,15.4,20-08-2026,No,Diesel,Manual,Bangalore,1498,4
VH11609,Swift,2021,4318293,23.6,26-09-2023,No,Petrol,Automatic,Bangalore,2184,2
VH11533,Thar,2012,533979,9.0,19-10-2019,No,Electric,Automatic,Hyderabad,2184,2
VH10248,Verna,2012,1006673,11.0,04-10-2018,No,Electric,Automatic,Bangalore,1199,1
VH11451,City,2025,3810043,27.0,09-07-2023,No,CNG,Automatic,Chennai,2184,1
VH10213,Baleno,2022,1226215,20.9,15-01-2023,No,Electric,Manual,Hyderabad,1497,1
VH10910,Creta,2010,3580931,13.9,10-02-2025,No,Diesel,Manual,Chennai,1998,3
VH11742,Creta,2020,426202,17.3,02-09-2021,Yes,Petrol,Manual,Mumbai,2184,3
VH11245,Fortuner,2012,3298111,22.4,30-01-2023,No,Electric,Manual,Bangalore,2184,2
VH11697,Thar,2010,1976644,22.5,29-12-2021,Yes,CNG,Automatic,Coimbatore,1199,1
VH11183,Venue,invalid,1236320,13.4,20-04-2025,Yes,Electric,Manual,Hyderabad,2184,4
VH10362,Fortuner,2018,1961655,12.8,16-01-2024,No,Electric,Automatic,Coimbatore,998,1
VH11474,Fortuner,2022,2515995,19.3,08-05-2025,Yes,Electric,Automatic,Mumbai,1197,2
VH10679,Swift,2016,4213397,16.6,17-10-2022,Yes,Electric,Manual,Bangalore,998,4
VH11622,Baleno,2021,2666304,9.9,20-02-2022,No,CNG,Manual,Mumbai,998,4
VH11090,City,2018,526256,26.1,11-09-2023,No,Petrol,Manual,Delhi,1498,3
VH11988,Seltos,2010,2804973,18.7,11-08-2023,No,Petrol,Automatic,Coimbatore,1998,4
VH11848,Thar,2015,1147405,9.4,21-01-2025,No,Electric,Automatic,Bangalore,998,2
VH10988,Seltos,2018,2116760,25.8,08-09-2020,No,Petrol,Automatic,Hyderabad,1199,4
VH11513,Venue,2018,3172875,18.8,18-04-2022,Yes,Electric,Manual,Coimbatore,1998,1
VH10112,Creta,2015,2678907,9.4,05-09-2023,Yes,Electric,Manual,Mumbai,1998,2
VH11488,Thar,2016,1762603,9.6,22-04-2023,No,Diesel,Manual,Chennai,1199,4
VH11454,Fortuner,2012,4212487,17.2,15-03-2025,Yes,Petrol,Manual,Delhi,1199,3
VH10384,Fortuner,2019,2181297,14.8,17-03-2026,Yes,CNG,Manual,Hyderabad,1498,1
VH11396,Fortuner,2021,2372723,23.1,10-05-2025,Yes,Petrol,Automatic,Bangalore,1197,1
VH11055,Thar,2025,2973705,27.2,14-05-2025,No,Diesel,Automatic,Delhi,1197,2
VH10756,Venue,2025,1500532,23.9,23-03-2019,No,Electric,Automatic,Chennai,1497,4
VH10325,City,2017,378077,23.9,invalid_date,No,CNG,Automatic,Hyderabad,1197,1
VH11624,Venue,2021,458477,22.8,19-08-2025,No,Electric,Automatic,Pune,998,1
VH10788,Creta,2010,1493982,16.9,23-06-2020,No,Electric,Automatic,Bangalore,2184,1
VH10369,Seltos,2019,597675,22.6,26-09-2022,No,Electric,Automatic,Chennai,1199,2
VH11820,Swift,2012,3702862,18.6,13-04-2021,No,Electric,Automatic,Coimbatore,998,4
VH10070,Thar,2021,4181857,27.5,29-02-2020,Yes,Electric,Automatic,Hyderabad,1497,2
VH10858,Venue,2016,2420711,21.9,13-07-2026,No,Electric,Automatic,Pune,1998,2
VH11484,City,2016,3346555,26.1,30-09-2018,Yes,CNG,Manual,Delhi,998,2
VH11556,Swift,2019,2883236,18.5,05-08-2022,No,CNG,Automatic,Mumbai,1197,3
VH11692,Nexon,2022,4178551,18.5,07-12-2020,Yes,CNG,Manual,Hyderabad,1998,2
VH11475,Thar,2019,779809,12.1,10-10-2024,No,CNG,Automatic,Hyderabad,1197,2
VH11799,Baleno,2013,3002303,23.2,08-02-2020,Yes,CNG,Automatic,Chennai,1497,2
VH10479,Seltos,2024,564237,16.4,03-10-2022,Yes,Diesel,Manual,Delhi,1498,1
VH10282,Venue,2010,1411009,17.7,17-10-2025,No,Petrol,Automatic,Coimbatore,1498,1
VH11648,Nexon,2022,3529112,9.9,19-09-2019,Yes,Electric,Manual,Delhi,1497,3
VH11557,Thar,2014,1878458,19.2,22-11-2025,No,Petrol,Automatic,Hyderabad,1498,3
VH11730,Venue,2016,637462,22.2,14-12-2024,No,Electric,Automatic,Mumbai,1199,1
VH10211,Creta,2015,3501473,23.9,09-10-2023,No,Diesel,Automatic,Pune,1498,4
VH10298,Venue,2023,3667611,15.4,13-12-2020,No,Petrol,Manual,Hyderabad,1998,4
VH11885,City,2011,924773,9.7,26-01-2019,No,Diesel,Automatic,Coimbatore,1199,2
VH11834,Nexon,2025,2024854,14.4,26-11-2021,Yes,CNG,Automatic,Delhi,1498,1
VH10652,City,2013,3390930,10.6,16-04-2020,Yes,Electric,Automatic,Pune,1197,4
VH11234,Verna,2017,479001,25.3,07-07-2021,No,CNG,Manual,Delhi,1497,4
VH11503,Nexon,2024,2271140,8.1,05-03-2021,Yes,CNG,Automatic,Coimbatore,998,1
VH11932,Verna,2022,Not Available,18.4,03-06-2026,No,Diesel,Manual,Bangalore,1197,3
VH10917,Creta,2020,2999134,10.9,10-04-2024,Yes,Petrol,Manual,Mumbai,998,4
VH10994,Verna,2010,4372250,12.9,31-08-2020,No,Electric,Automatic,Delhi,1199,3
VH10430,City,2019,4404399,18.4,12-01-2025,Yes,Petrol,Automatic,Hyderabad,1199,2
VH11371,Thar,2012,476355,8.3,20-08-2026,No,CNG,Manual,Coimbatore,1199,4
VH10240,Creta,2022,1840724,25.7,14-04-2022,Yes,Electric,Manual,Delhi,2184,1
VH10880,Creta,2019,3402641,20.6,28-09-2022,No,CNG,Automatic,Mumbai,1197,3
VH10621,Nexon,2011,4072827,27.6,28-05-2018,No,CNG,Manual,Delhi,1497,4
VH10257,Thar,2011,4004697,20.0,20-04-2018,No,Diesel,Manual,Delhi,998,1
VH10612,Verna,2020,3545705,16.4,31-08-2022,No,Electric,Manual,Pune,1497,3
VH10545,Thar,2023,2552641,11.0,02-02-2018,No,Diesel,Automatic,Bangalore,998,1
VH10772,Nexon,2010,3949279,19.4,18-11-2024,No,Diesel,Automatic,Bangalore,1199,2
VH11420,Creta,2020,3353407,25.3,19-06-2026,Yes,CNG,Automatic,Coimbatore,1498,4
VH11042,Creta,2011,1608014,10.1,26-09-2024,Yes,Diesel,Automatic,Delhi,998,1
VH11790,Fortuner,2021,490285,26.8,07-03-2019,No,CNG,Manual,Bangalore,1199,1
VH10760,Fortuner,2022,3872401,12.8,28-04-2023,Yes,Electric,Automatic,Coimbatore,1498,unknown
VH10383,Creta,2010,3732207,25.1,07-06-2021,No,Electric,Automatic,Delhi,998,4
VH11104,Fortuner,2022,2726105,10.8,13-07-2022,No,Diesel,Automatic,Chennai,1998,3
VH10974,Venue,2015,811162,27.5,24-04-2025,Yes,Petrol,Automatic,Delhi,1998,2
VH10353,Creta,2023,596063,18.5,29-11-2024,No,Petrol,Manual,Mumbai,1998,1
VH11606,Venue,2016,1334104,20.6,08-07-2024,Yes,Petrol,Automatic,Pune,1497,4
VH11826,City,2012,2173204,18.8,08-03-2020,No,Diesel,Manual,Mumbai,1498,3
VH11037,Nexon,2025,794955,21.5,05-05-2019,No,Diesel,Automatic,Chennai,1197,2
VH11108,Baleno,2011,844026,10.0,21-02-2026,No,Diesel,Manual,Pune,1497,4
VH10495,Seltos,2025,3777084,13.7,31-07-2025,No,Electric,Automatic,Mumbai,2184,3
VH10394,Fortuner,2011,581696,20.7,06-03-2023,No,CNG,Automatic,Delhi,1497,2
VH11547,Creta,2018,1846064,16.1,23-12-2019,No,Diesel,Automatic,Coimbatore,1199,4
VH10465,Fortuner,2024,1078799,11.9,11-02-2025,Yes,Electric,Automatic,Delhi,1197,1
VH10887,Baleno,2014,4497079,18.1,22-07-2019,Yes,Electric,Manual,Coimbatore,1497,3
VH11194,Fortuner,2023,2905221,13.6,23-01-2018,No,Electric,Automatic,Coimbatore,1498,1
VH10367,Verna,2019,1333668,22.6,16-01-2025,Yes,CNG,Automatic,Pune,2184,1
VH11894,Fortuner,2010,4364610,24.0,17-06-2025,Yes,Electric,Manual,Bangalore,1197,3
VH11874,Creta,2011,1561368,12.4,25-06-2024,Yes,Electric,Automatic,Hyderabad,2184,2
VH10745,Creta,2024,3226979,18.3,15-10-2022,No,Petrol,Manual,Coimbatore,1197,3
VH10530,Fortuner,2016,382409,10.6,15-04-2024,Yes,Diesel,Automatic,Bangalore,1197,4
VH10803,Venue,2017,4461603,27.5,19-12-2018,No,Electric,Automatic,Hyderabad,1498,1
VH11224,Creta,2012,3435609,8.3,11-04-2020,Yes,Petrol,Manual,Mumbai,998,1
VH11979,Seltos,2022,2660901,26.4,05-04-2025,No,Electric,Manual,Hyderabad,1998,2
VH11906,Seltos,2025,443704,28.0,16-09-2022,Yes,Electric,Automatic,Bangalore,1497,4
VH11700,Seltos,2025,2593673,8.6,15-02-2020,Yes,Diesel,Manual,Chennai,2184,2
VH11545,Nexon,2011,4266914,13.1,06-09-2024,No,CNG,Manual,Coimbatore,2184,1
VH11314,City,2011,3933646,27.8,17-04-2019,No,Petrol,Automatic,Coimbatore,1498,3
VH10307,Nexon,2016,345475,17.3,13-11-2022,Yes,CNG,Automatic,Delhi,998,3
VH11667,Seltos,2012,3123978,25.4,08-04-2025,No,CNG,Automatic,Mumbai,2184,3
VH10863,Fortuner,2025,1125782,16.9,05-07-2024,No,Electric,Automatic,Bangalore,1498,3
VH11567,Baleno,2015,4118971,23.8,12-02-2023,Yes,Electric ,Automatic,Delhi,2184,2
VH10531,Baleno,2016,3928104,14.2,23-06-2021,No,Electric,Manual,Bangalore,998,4
VH10655,Swift,2013,2630344,17.4,27-05-2018,Yes,Petrol,Manual,Bangalore,2184,3
VH11260,Swift,2021,2633647,17.8,16-01-2026,Yes,CNG,Manual,Hyderabad,1197,4
VH10234,Swift,2011,1694316,14.9,12-04-2026,Yes,Petrol,Manual,Bangalore,998,1
VH10121,Fortuner,2021,1759700,22.4,24-08-2020,Yes,Petrol,Automatic,Chennai,1497,3
VH11698,Nexon,2022,3426813,19.5,25-11-2023,Yes,CNG,Manual,Chennai,1498,2
VH10950,Creta,2021,4449287,27.5,14-05-2026,Yes,Petrol,Automatic,Delhi,2184,1
VH10618,City,2016,2051797,21.2,26-10-2019,No,Petrol,Automatic,Mumbai,1498,1
VH11179,City,2025,2898475,27.3,19-11-2019,Yes,Electric,Manual,Hyderabad,1197,2
VH10308,Seltos,2014,3603364,12.5,16-12-2018,Yes,Electric,Automatic,Chennai,1199,2
VH10136,Fortuner,2020,852439,25.3,15-04-2018,No,Diesel,Automatic,Mumbai,1197,2
VH10555,Venue,2018,3602198,16.9,29-09-2018,No,Electric,Manual,Delhi,1199,2
VH11674,Venue,2023,1270278,14.4,01-09-2021,No,Petrol,Automatic,Chennai,1998,2
VH10584,Venue,2012,4205513,22.4,28-09-2018,Yes,Petrol,Automatic,Delhi,1497,1
VH11641,City,2017,4156600,10.4,27-04-2026,Yes,Diesel,Manual,Chennai,1199,2
VH10671,Creta,2023,4139847,13.6,27-09-2018,No,Diesel,Manual,Pune,1197,4
VH10835,Seltos,2025,1843812,22.1,02-06-2022,Yes,petrol,Automatic,Pune,998,4
VH10110,Creta,2014,3053913,11.4,02-03-2019,Yes,Petrol,Automatic,Mumbai,1197,4
VH11165,Nexon,2012,566150,8.3,08-09-2019,No,Diesel,Manual,Pune,1498,2
VH11960,Verna,2016,720993,19.4,27-12-2025,Yes,Electric,automatic,Coimbatore,2184,2
VH11465,Swift,2017,1983032,12.9,10-07-2022,No,Electric,Manual,Mumbai,1197,4
VH11729,Thar,2020,4145204,19.9,02-06-2020,Yes,Diesel,Automatic,Mumbai,1498,2
VH11243,Verna,2023,444771,8.1,17-12-2023,No,CNG,Automatic,Pune,1199,4
VH10212,Nexon,2018,1398657,22.8,19-01-2026,Yes,Electric,Manual,Pune,1199,2
VH11768,Swift,2025,1414100,22.9,28-03-2018,No,Electric,Manual,Pune,998,1
VH11121,Thar,2017,1460152,25.8,02-12-2018,Yes,CNG,Manual,Mumbai,1498,1
VH10680,Verna,2013,3388589,8.5,12-05-2019,No,CNG,Automatic,Chennai,1197,3
VH11951,Thar,2011,4291818,19.2,09-04-2020,Yes,Petrol,Manual,Coimbatore,1197,4
VH11839,Seltos,2022,1011716,8.8,18-12-2020,Yes,Electric,Automatic,Hyderabad,1197,4
VH10412,Thar,2014,4287793,18.6,30-06-2026,Yes,Diesel,Automatic,Coimbatore,1998,1
VH11325,Creta,2014,3029737,27.3,18-09-2020,No,CNG,Automatic,Coimbatore,1498,1
VH10783,City,2014,3949886,27.2,18-06-2024,No,Electric,Manual,Chennai,1199,2
VH11346,City,2024,2282539,26.0,08-11-2024,Yes,Petrol,Manual,Hyderabad,2184,1
VH10875,Swift,2017,3451478,17.5,14-09-2022,Yes,Diesel,Automatic,Chennai,1497,2
VH11653,Creta,2017,2668417,9.3,02-11-2023,No,Diesel,Automatic,Coimbatore,1998,2
VH11279,Thar,2023,2861913,27.0,30-05-2024,Yes,Diesel,Automatic,Hyderabad,2184,4
VH10786,Creta,2014,2598354,25.9,28-12-2022,No,Petrol,Manual,Mumbai,1197,4
VH11819,City,2010,2315726,10.5,02-12-2025,Yes,Diesel,Manual,Bangalore,1998,4
VH11199,Swift,2010,4281383,26.6,01-04-2024,Yes,Electric,Automatic,Delhi,1998,4
VH10808,Thar,2015,1778081,12.8,05-01-2020,No,CNG,Automatic,Bangalore,2184,3
VH10713,Swift,2014,4015929,9.7,11-12-2020,No,Electric,Manual,Coimbatore,1998,3
VH11991,Fortuner,2025,3996944,25.4,14-12-2019,Yes,Diesel,Automatic,Bangalore,1199,1
VH11660,Creta,2020,3818920,11.9,22-11-2023,No,Petrol,Automatic,Bangalore,1497,3
VH11191,Venue,2018,3177429,11.3,06-12-2025,Yes,Electric,Manual,Mumbai,2184,1
VH11226,Nexon,2023,2459932,12.7,11-04-2026,Yes,CNG,Automatic,Chennai,1199,3
VH10603,Venue,2012,Not Available,11.4,13-01-2018,No,Electric,Manual,Coimbatore,2184,1
VH10271,Nexon,2023,525391,14.3,14-08-2025,Yes,Petrol,Automatic,Hyderabad,1199,2
VH11385,Baleno,2015,470948,11.1,04-02-2022,No,CNG,Manual,Delhi,1497,2
VH10232,Swift,2023,2109858,15.6,22-03-2019,No,Electric,Manual,Delhi,1498,2
VH10050,Verna,2015,1696436,21.9,23-08-2019,No,CNG,Manual,Coimbatore,1498,2
VH10463,Fortuner,2018,1134874,24.7,23-09-2024,No,Diesel,Manual,Hyderabad,2184,3
VH11106,City,2013,2316328,20.9,17-01-2018,Yes,CNG,Manual,Coimbatore,1199,2
VH10856,Swift,2010,1718826,16.2,20-07-2021,Yes,Petrol,Automatic,Mumbai,1498,1
VH10694,Thar,2011,545144,27.2,30-04-2021,No,Petrol,Manual,Hyderabad,1199,2
VH11552,Fortuner,2010,2466791,20.5,06-11-2020,Yes,Electric,Automatic,Coimbatore,1497,1
VH11873,Seltos,2021,2860244,16.2,24-08-2026,Yes,Diesel,Automatic,Mumbai,2184,4
VH10527,Baleno,2019,3280672,21.0,12-07-2019,No,Electric,Automatic,Coimbatore,1197,3
VH10174,Swift,2025,2051498,14.0,08-03-2022,Yes,Electric,Manual,Mumbai,1998,2
VH10721,Fortuner,2023,2938439,24.2,25-04-2026,No,Electric,Automatic,Pune,1497,3
VH10415,Nexon,2017,4155933,11.3,18-05-2021,Yes,Diesel,Automatic,Bangalore,1497,3
VH10238,Thar,2015,3212066,26.8,02-03-2019,No,Diesel,Automatic,Mumbai,2184,1
VH11473,Seltos,2010,1552390,14.8,27-11-2024,No,Petrol,Manual,Hyderabad,998,2
VH11336,Thar,2010,3624024,20.5,21-09-2022,Yes,Diesel,Automatic,Coimbatore,2184,1
VH11064,Fortuner,2025,517314,12.2,27-12-2023,Yes,Diesel,Manual,Delhi,1199,1
VH10024,Venue,2010,3435812,10.6,15-08-2022,Yes,Diesel,Automatic,Mumbai,1197,3
VH11767,Seltos,2024,3764524,19.1,30-10-2018,No,Petrol,Manual,Chennai,1498,4
VH10064,Fortuner,2011,3170574,14.0,08-02-2020,Yes,Electric,Manual,Coimbatore,1498,4
VH10290,Swift,2021,2367636,18.9,20-06-2024,Yes,CNG,Manual,Coimbatore,998,1
VH10189,Venue,2011,1163659,12.9,12-04-2020,No,Diesel,Manual,Bangalore,2184,4
VH10702,Venue,2010,3260883,13.6,26-10-2019,No,Petrol,Automatic,Bangalore,2184,1
VH11815,Verna,2025,531414,23.5,13-03-2021,Yes,Petrol,Manual,Coimbatore,1197,2
VH11138,Baleno,2013,2783502,16.6,09-06-2022,No,Electric,Automatic,Mumbai,1497,1
VH10355,Fortuner,2011,2176336,13.0,03-01-2021,No,Electric,Manual,Hyderabad,1998,1
VH10417,Fortuner,2016,4207129,20.3,10-09-2018,No,CNG,Manual,Delhi,1197,3
VH11246,Nexon,2019,2120908,16.9,16-05-2019,Yes,Electric,Automatic,Delhi,998,2
VH10931,Verna,2014,1761312,13.2,05-03-2024,No,CNG,Automatic,Coimbatore,1998,4
VH10197,Seltos,2010,1407810,26.2,04-02-2023,No,CNG,Automatic,Coimbatore,1998,4
VH10580,Swift,2017,2149395,13.7,01-11-2023,No,Petrol,Manual,Pune,1199,2
VH11135,Seltos,2010,597584,26.2,07-09-2021,Yes,Electric,Automatic,Pune,1998,1
VH11814,Baleno,2020,3530545,18.3,26-04-2019,Yes,Electric,Manual,Mumbai,1497,2
VH11935,Fortuner,2022,3519598,23.2,28-01-2026,Yes,CNG,Manual,Pune,1497,3
VH10434,Creta,2020,1698949,9.7,09-07-2023,Yes,Diesel,Automatic,Pune,2184,4
VH10101,City,2015,1909473,14.9,22-01-2019,No,Electric,Automatic,Hyderabad,2184,1
VH11655,Fortuner,2012,3855971,19.8,04-11-2019,Yes,CNG,Automatic,Pune,1497,2
VH10395,Fortuner,2017,3962340,11.9,17-01-2019,Yes,CNG,Manual,Hyderabad,2184,2
VH11939,Nexon,2015,4242033,23.1,16-06-2026,No,Electric,Automatic,Mumbai,1199,2
VH10221,Swift,2024,3945525,27.1,05-01-2022,No,Electric,Manual,Delhi,1498,1
VH11676,Verna,2014,3581837,25.6,16-09-2019,Yes,Electric,Manual,Bangalore,1998,1
VH11498,Thar,2024,2790272,27.8,20-11-2019,No,Petrol,Manual,Chennai,1199,2
VH11785,Seltos,2017,2499318,9.2,11-12-2019,No,Electric,Manual,Pune,1498,4
VH10345,Swift,2020,342291,17.7,14-10-2021,Yes,Diesel,Automatic,Coimbatore,998,1
VH11028,Venue,2017,2754698,22.7,04-05-2024,No,Petrol,Automatic,Hyderabad,1498,3
VH10889,City,2010,4409070,13.2,25-12-2018,No,Electric,Automatic,Pune,1998,2
VH11351,Seltos,2013,332766,23.8,17-07-2020,Yes,Diesel,Automatic,Pune,998,4
VH10553,Verna,2015,3999509,8.4,02-03-2018,Yes,Diesel,Manual,Coimbatore,1497,4
VH10744,Creta,2025,2389934,21.9,26-10-2018,No,Diesel,Manual,Chennai,2184,3
VH11542,Verna,2025,2755257,14.0,12-01-2019,No,Diesel,Automatic,Chennai,998,4
VH10539,Fortuner,2023,3203609,17.5,26-08-2026,Yes,Electric,Manual,Mumbai,2184,3
VH10907,Thar,2015,1077635,20.8,12-11-2020,No,Electric,Automatic,Bangalore,2184,2
VH11395,Thar,2012,2485454,17.1,12-12-2019,Yes,Diesel,Automatic,Bangalore,2184,2
VH10116,Seltos,2016,2992794,10.4,16-04-2018,No,CNG,Manual,Hyderabad,1497,4
VH10830,Seltos,2021,1846933,10.5,21-05-2026,Yes,Petrol,Manual,Bangalore,1998,2
VH11938,Nexon,2020,890611,9.1,06-02-2022,No,CNG,Automatic,Delhi,1998,1
VH10809,Nexon,2023,1870889,21.6,17-04-2026,Yes,Diesel,Automatic,Coimbatore,1498,4
VH11311,Verna,2020,597883,N/A,14-05-2020,No,Diesel,Manual,Hyderabad,998,4
VH11005,Seltos,2020,1914099,9.0,14-07-2019,No,Electric,Automatic,Bangalore,1998,3
VH10306,Swift,2023,4327902,13.1,19-12-2025,Yes,Diesel,Automatic,Mumbai,1998,1
VH11101,Baleno,2012,2720872,10.1,18-04-2019,No,Petrol,Automatic,Chennai,1497,1
VH10480,Thar,2011,2814719,8.8,22-05-2018,Yes,Petrol,Automatic,Hyderabad,2184,4
VH11424,Thar,2019,707974,11.2,20-01-2025,Yes,CNG,Manual,Bangalore,1497,2
VH11076,Verna,2014,2245537,14.2,16-10-2022,Yes,Petrol,Manual,Chennai,1998,1
VH10571,City,2016,836644,14.6,18-02-2018,Yes,Diesel,Automatic,Mumbai,1199,2
VH10619,Seltos,2020,397406,8.8,14-11-2022,No,Petrol,Automatic,Bangalore,1199,4
VH11898,Seltos,2010,1912119,22.5,02-12-2025,Yes,Electric,Automatic,Hyderabad,1498,2
VH11266,Baleno,2015,3407548,17.7,21-10-2022,Yes,Diesel,Manual,Chennai,2184,2
VH10079,Swift,2016,1930369,10.8,07-11-2018,No,Diesel,Manual,Coimbatore,1498,2
VH11912,Venue,2011,3578262,26.0,08-08-2024,Yes,Petrol,Manual,Bangalore,1998,4
VH10033,Seltos,2016,3941771,17.5,28-09-2024,Yes,Electric,Manual,Bangalore,2184,1
VH11538,Nexon,2011,1295893,22.5,25-09-2018,No,Diesel,Automatic,Hyderabad,1199,4
VH11034,Seltos,2021,775278,15.0,11-10-2025,No,Electric,Manual,Bangalore,1197,2
VH11563,Seltos,2018,2634482,10.3,14-02-2026,No,Electric,Manual,Pune,998,1
VH10352,Venue,2019,2527039,26.0,29-01-2023,No,Electric,Automatic,Chennai,1998,4
VH10164,Nexon,2011,856718,13.8,16-01-2019,Yes,Petrol,Manual,Pune,998,3
VH10204,Venue,2015,1649590,15.9,22-07-2019,No,CNG,Automatic,Bangalore,1998,1
VH11054,Verna,2021,3154119,14.3,10-03-2019,No,Diesel,Automatic,Coimbatore,1199,4
VH11365,Nexon,2021,2501580,10.9,12-06-2019,No,Diesel,Manual,Hyderabad,1498,1
VH11967,Creta,2016,4166585,17.4,03-11-2018,No,Diesel,Automatic,Delhi,1498,1
VH10496,Swift,2021,3699752,20.6,01-06-2021,Yes,Petrol,Automatic,Mumbai,1497,2
VH11625,Baleno,2012,2695682,23.1,20-01-2024,No,Electric,Manual,Bangalore,1199,2
VH11966,Verna,2023,3096749,16.2,10-04-2025,No,Petrol,Automatic,Pune,1998,4
VH11963,Seltos,2016,546331,22.8,19-04-2023,No,Diesel,Automatic,Hyderabad,1497,4
VH10611,Seltos,2011,2025049,21.3,15-10-2019,Yes,CNG,Automatic,Mumbai,1497,1
