Employee_ID,Age,Monthly_Income,Years_At_Company,Job_Level,Years_In_Current_Role,Job_Satisfaction,Work_Hours_Per_Week,Projects_Completed,Training_Hours,Overtime,Department,Job_Role,Education_Level,Marital_Status,Attrition
EMP100045,47,58598.0,1,2,1,2.0,48,4,37.0,Yes,Sales,Software Engineer,Diploma,Married,1
EMP100046,26,90252.0,8,1,2,3.0,40,5,32.0,No,Research & Development,Research Scientist,Bachelor,Divorced,0
EMP100047,27,61630.0,10,5,2,1.0,48,3,47.0,No,Research & Development,Financial Analyst,Doctorate,Single,0
EMP100048,54,53452.0,8,2,8,3.0,35,3,71.0,Yes,IT,Sales Executive,Bachelor,Single,0
EMP100049,33,50549.0,4,4,1,3.0,45,4,38.0,No,Research & Development,Project Manager,High School,Married,0
EMP100050,36,,8,1,3,4.0,41,6,52.0,Yes,IT,Financial Analyst,Master,Married,0
EMP100051,55,49774.0,9,2,3,2.0,49,5,37.0,No,Research & Development,Research Scientist,Bachelor,Married,1
EMP100052,59,66493.0,2,1,2,4.0,40,4,42.0,No,Finance,Financial Analyst,Master,Single,0
EMP100053,23,45217.0,7,3,6,2.0,37,1,30.0,Yes,Research & Development,Financial Analyst,Bachelor,Single,0
EMP100054,21,77100.0,5,2,5,4.0,45,5,33.0,,Sales,Research Scientist,Bachelor,Married,0
EMP100055,25,60071.0,4,3,4,5.0,50,2,23.0,No,Research & Development,Research Scientist,Master,Single,0
EMP100056,23,63432.0,1,1,0,1.0,43,5,56.0,No,Sales,Financial Analyst,Bachelor,Divorced,0
EMP100057,48,82042.0,1,1,1,1.0,42,5,50.0,Yes,Research & Development,Project Manager,Bachelor,Divorced,0
EMP100058,37,43393.0,5,1,2,1.0,36,3,39.0,Yes,Human Resources,Sales Executive,Master,Single,1
EMP100059,45,73999.0,4,2,3,5.0,47,5,20.0,No,Research & Development,Project Manager,Bachelor,Married,1
EMP100060,53,,4,3,4,5.0,42,5,32.0,No,IT,Software Engineer,Bachelor,Single,0
EMP100061,29,64079.0,3,2,3,1.0,46,8,50.0,Yes,IT,HR Specialist,Bachelor,Married,0
EMP100062,55,41130.0,2,3,2,1.0,43,4,72.0,No,Human Resources,Financial Analyst,Bachelor,Married,0
EMP100063,33,36507.0,7,2,3,2.0,52,6,36.0,No,IT,Software Engineer,Doctorate,Single,0
EMP100064,50,57321.0,10,2,5,2.0,39,5,53.0,No,Sales,Software Engineer,High School,Married,0
EMP100065,34,23547.0,1,1,1,3.0,39,8,38.0,No,Sales,Financial Analyst,Master,Divorced,0
EMP100066,27,48135.0,7,1,1,4.0,47,5,54.0,No,Research & Development,Sales Executive,High School,Single,0
EMP100067,33,26695.0,1,4,1,2.0,47,2,5.0,Yes,Research & Development,Project Manager,Bachelor,Single,0
EMP100068,42,78100.0,3,3,3,2.0,47,3,22.0,No,Human Resources,Software Engineer,Bachelor,Married,0
EMP100069,59,88224.0,6,1,1,2.0,42,8,,No,IT,Software Engineer,Master,Married,0
EMP100070,40,37284.0,2,1,2,2.0,43,9,17.0,Yes,Research & Development,Software Engineer,Bachelor,Divorced,0
EMP100071,35,66691.0,2,4,2,5.0,35,1,41.0,Yes,Research & Development,Software Engineer,Master,Married,0
EMP100072,37,82430.0,4,3,2,3.0,41,2,36.0,No,Sales,Project Manager,Bachelor,Married,0
EMP100073,43,82553.0,7,3,1,2.0,43,3,11.0,No,Research & Development,Software Engineer,Bachelor,Married,0
EMP100074,45,60572.0,3,2,3,4.0,43,6,8.0,No,Sales,Research Scientist,Bachelor,Single,0
EMP100075,44,76537.0,2,2,2,2.0,38,7,40.0,No,Research & Development,Financial Analyst,Diploma,Single,0
EMP100076,60,41064.0,3,5,3,5.0,37,6,18.0,No,Research & Development,Sales Executive,High School,Married,0
EMP100077,48,57096.0,9,3,1,1.0,47,8,28.0,Yes,Finance,Project Manager,High School,Single,1
EMP100078,34,44573.0,4,2,4,1.0,46,5,44.0,No,Sales,Sales Executive,Diploma,Divorced,0
EMP100079,20,39533.0,4,4,4,3.0,41,8,34.0,No,Research & Development,Research Scientist,Bachelor,Married,0
EMP100080,44,55900.0,3,3,2,1.0,47,4,29.0,No,IT,HR Specialist,Doctorate,Married,0
EMP100081,26,64310.0,4,2,1,2.0,47,4,12.0,No,Human Resources,HR Specialist,Master,Single,0
EMP100082,28,92843.0,7,2,2,5.0,34,8,57.0,No,Finance,Financial Analyst,High School,Married,0
EMP100083,43,61970.0,5,1,2,3.0,41,6,47.0,No,IT,Project Manager,Bachelor,Single,0
EMP100084,20,73420.0,12,1,1,2.0,49,11,25.0,No,Research & Development,Project Manager,Bachelor,Single,0
EMP100085,27,73796.0,3,3,3,1.0,34,2,21.0,No,Sales,Research Scientist,Bachelor,Married,0
EMP100086,43,184329.0,10,2,1,4.0,35,5,27.0,Yes,Research & Development,Software Engineer,Bachelor,Single,0
EMP100087,30,24357.0,1,4,1,2.0,45,3,20.0,No,Human Resources,Software Engineer,Diploma,Divorced,0
EMP100088,36,40357.0,5,5,2,4.0,48,8,31.0,Yes,Research & Development,Project Manager,Master,Divorced,0
EMP100089,27,106768.0,4,1,4,4.0,41,4,52.0,Yes,Research & Development,Project Manager,Bachelor,Single,0
EMP100090,54,46943.0,10,2,6,3.0,40,7,50.0,No,Finance,Software Engineer,Master,Married,0
EMP100091,54,81937.0,3,3,3,5.0,34,9,50.0,No,Sales,Sales Executive,Bachelor,Single,1
EMP100092,52,60998.0,12,3,2,1.0,41,6,16.0,No,Research & Development,Project Manager,Diploma,Married,0
EMP100093,24,141836.0,1,3,1,1.0,35,4,19.0,No,Research & Development,HR Specialist,Master,Single,0
EMP100094,58,33330.0,2,2,1,2.0,40,2,49.0,,Research & Development,Software Engineer,Master,Divorced,0
EMP100095,60,95311.0,2,2,2,1.0,49,7,42.0,No,Research & Development,HR Specialist,Bachelor,Married,0
EMP100096,47,120861.0,1,2,1,3.0,36,9,28.0,No,Research & Development,Sales Executive,Diploma,Married,0
EMP100097,26,34843.0,4,5,3,1.0,41,4,46.0,No,IT,Software Engineer,Bachelor,Single,0
EMP100098,28,78228.0,3,2,3,2.0,46,7,43.0,Yes,Research & Development,Research Scientist,Bachelor,Married,0
EMP100099,27,35618.0,8,4,1,1.0,38,7,12.0,No,Research & Development,Research Scientist,Bachelor,Married,0
EMP100100,31,55752.0,1,2,1,5.0,44,4,5.0,No,Research & Development,Software Engineer,Master,Married,0
EMP100101,53,49002.0,15,5,4,4.0,46,3,35.0,Yes,Sales,Project Manager,Master,Married,0
EMP100102,52,18655.0,11,3,10,4.0,42,3,5.0,No,Research & Development,Software Engineer,Bachelor,Married,0
EMP100103,42,66569.0,3,2,3,4.0,42,6,51.0,No,Sales,Financial Analyst,Bachelor,Single,0
EMP100104,43,58665.0,6,3,5,5.0,37,3,43.0,No,Finance,Software Engineer,Diploma,Single,0
EMP100105,56,107010.0,3,2,2,3.0,40,4,29.0,No,Sales,Software Engineer,Bachelor,Married,0
EMP100106,54,72410.0,6,2,6,2.0,43,5,17.0,No,IT,Financial Analyst,Bachelor,Single,0
EMP100107,59,154197.0,1,1,1,5.0,32,5,21.0,No,IT,Financial Analyst,High School,Married,0
EMP100108,41,57714.0,6,1,4,2.0,31,9,5.0,Yes,Human Resources,Sales Executive,Bachelor,Single,0
EMP100109,46,52449.0,3,2,3,3.0,41,2,56.0,,IT,Software Engineer,Bachelor,Married,0
EMP100110,54,50621.0,1,3,1,5.0,44,3,38.0,No,IT,Software Engineer,Bachelor,Single,0
EMP100111,20,45129.0,4,3,4,1.0,42,5,32.0,No,Finance,Project Manager,Master,Married,0
EMP100112,54,20366.0,4,1,2,3.0,34,7,63.0,No,Research & Development,Financial Analyst,High School,Single,0
EMP100113,56,49811.0,5,4,5,4.0,48,2,21.0,Yes,IT,Research Scientist,Bachelor,Single,0
EMP100114,33,21689.0,12,3,4,5.0,43,2,32.0,No,Finance,HR Specialist,Bachelor,Married,0
EMP100115,22,67407.0,3,5,1,3.0,47,7,25.0,Yes,Sales,Project Manager,Bachelor,Divorced,0
EMP100116,20,31479.0,4,3,3,3.0,39,0,66.0,No,Research & Development,Software Engineer,Bachelor,Married,0
EMP100117,24,36777.0,1,1,1,5.0,43,6,31.0,Yes,Research & Development,Sales Executive,High School,Single,0
EMP100118,45,40695.0,5,2,4,4.0,45,4,38.0,No,Research & Development,Sales Executive,Master,Single,0
EMP100119,33,50155.0,4,3,4,4.0,47,4,59.0,Yes,Research & Development,Sales Executive,Master,Married,0
EMP100120,58,55170.0,2,1,2,3.0,47,9,51.0,No,Research & Development,Sales Executive,Master,Single,0
EMP100121,46,89599.0,4,1,2,2.0,38,6,11.0,No,Sales,Research Scientist,Diploma,Married,0
EMP100122,28,42413.0,2,1,2,3.0,41,7,30.0,No,Human Resources,Project Manager,Bachelor,Single,0
EMP100123,34,68265.0,14,2,1,5.0,39,9,34.0,No,Research & Development,Software Engineer,Bachelor,Single,0
EMP100124,34,187959.0,3,2,2,5.0,43,7,37.0,No,Finance,Financial Analyst,High School,Married,0
EMP100125,45,65179.0,2,2,2,5.0,35,6,40.0,No,Human Resources,Financial Analyst,Doctorate,Divorced,0
EMP100126,32,50709.0,6,1,3,4.0,34,5,21.0,No,Sales,Financial Analyst,Master,Single,0
EMP100127,51,38734.0,1,3,1,1.0,54,5,58.0,No,Research & Development,Research Scientist,Diploma,Single,0
EMP100128,58,50395.0,8,2,2,5.0,52,2,42.0,No,Finance,Research Scientist,Bachelor,Single,0
EMP100129,51,36912.0,1,2,1,5.0,48,3,45.0,No,Research & Development,Software Engineer,Diploma,Married,0
EMP100130,23,62068.0,7,1,3,2.0,44,4,56.0,No,Research & Development,HR Specialist,Master,Single,0
EMP100131,49,57623.0,8,1,2,2.0,46,6,39.0,No,IT,Software Engineer,High School,Single,1
EMP100132,56,20787.0,11,2,2,3.0,46,4,,Yes,Sales,Software Engineer,Master,Single,0
EMP100133,42,54543.0,2,1,2,3.0,50,6,30.0,No,Sales,HR Specialist,Master,Single,0
EMP100134,58,89264.0,7,2,2,3.0,40,6,32.0,No,,Software Engineer,Bachelor,Married,0
EMP100135,34,45958.0,9,3,2,5.0,38,6,33.0,No,Finance,Software Engineer,Bachelor,Single,0
EMP100136,48,40998.0,2,2,0,2.0,42,1,6.0,No,Research & Development,Financial Analyst,Diploma,Married,0
EMP100137,55,29588.0,1,1,1,3.0,45,4,26.0,No,Sales,Project Manager,Bachelor,Single,0
EMP100138,32,23837.0,1,2,0,2.0,41,3,19.0,No,Research & Development,Research Scientist,Diploma,Divorced,0
EMP100139,51,79953.0,1,3,1,5.0,39,5,5.0,Yes,Human Resources,Research Scientist,Bachelor,Married,0
EMP100140,26,50687.0,3,4,3,5.0,49,11,37.0,Yes,Finance,Financial Analyst,Bachelor,Single,0
EMP100141,41,77847.0,5,3,0,3.0,38,8,42.0,No,IT,Software Engineer,Bachelor,Divorced,0
EMP100142,47,109555.0,3,2,2,5.0,49,4,22.0,No,Finance,Software Engineer,Bachelor,Divorced,0
EMP100143,21,83254.0,4,2,3,5.0,47,6,31.0,No,Research & Development,Financial Analyst,Master,Single,0
EMP100144,25,43089.0,9,2,3,2.0,52,4,43.0,No,Research & Development,Project Manager,Bachelor,Married,0
EMP100145,47,58705.0,2,4,2,1.0,53,7,30.0,No,IT,HR Specialist,Master,Married,0
EMP100146,47,41708.0,4,1,4,4.0,44,2,33.0,No,Research & Development,Software Engineer,Master,Single,0
EMP100147,39,39989.0,6,5,5,3.0,52,2,31.0,No,Human Resources,HR Specialist,Diploma,Single,0
EMP100148,49,64174.0,6,3,5,1.0,45,4,44.0,No,Research & Development,Sales Executive,Master,Married,0
EMP100149,30,37819.0,6,3,2,3.0,44,10,35.0,No,Research & Development,Sales Executive,Bachelor,Single,0
EMP100150,47,20353.0,3,1,3,1.0,43,9,30.0,No,Research & Development,Sales Executive,Bachelor,Married,0
EMP100151,44,36880.0,7,3,2,5.0,40,5,28.0,No,Finance,Sales Executive,High School,Single,0
EMP100152,58,47906.0,4,2,4,3.0,46,2,22.0,Yes,Research & Development,Software Engineer,Bachelor,Married,0
EMP100153,52,109067.0,1,1,1,1.0,48,3,44.0,Yes,Human Resources,Research Scientist,Diploma,Married,1
EMP100154,20,44098.0,4,2,2,4.0,35,6,43.0,No,Sales,Software Engineer,Master,Married,0
EMP100155,46,69248.0,3,4,3,5.0,55,6,35.0,Yes,IT,Research Scientist,Master,Divorced,0
EMP100156,32,50988.0,1,2,1,3.0,50,8,49.0,Yes,IT,Project Manager,Bachelor,Married,0
EMP100157,60,95509.0,14,2,4,3.0,39,3,35.0,Yes,Research & Development,Research Scientist,Bachelor,Single,0
EMP100158,22,92576.0,4,1,4,1.0,45,9,40.0,No,Research & Development,Financial Analyst,Bachelor,Single,0
EMP100159,58,93374.0,14,3,2,3.0,42,3,26.0,No,Sales,Software Engineer,High School,Married,0
EMP100160,25,25205.0,5,3,2,5.0,44,5,53.0,No,Sales,Project Manager,Diploma,Married,0
EMP100161,27,60362.0,2,3,2,2.0,41,4,37.0,Yes,Research & Development,Software Engineer,Master,Single,0
EMP100162,46,77390.0,2,2,2,1.0,45,6,41.0,Yes,Human Resources,Research Scientist,Bachelor,Married,0
EMP100163,28,65302.0,5,2,5,4.0,37,5,36.0,No,Research & Development,Project Manager,Bachelor,Single,0
EMP100164,56,73244.0,5,2,4,3.0,53,7,36.0,No,Research & Development,Financial Analyst,Bachelor,Married,0
EMP100165,52,56463.0,2,1,2,5.0,37,4,39.0,No,Research & Development,Project Manager,Master,Single,0
EMP100166,43,39338.0,5,5,3,3.0,45,5,5.0,Yes,IT,Software Engineer,Diploma,Divorced,0
EMP100167,34,25627.0,14,2,1,4.0,39,6,41.0,Yes,Sales,Sales Executive,Master,Married,0
EMP100168,51,41134.0,14,2,1,5.0,41,5,24.0,No,Research & Development,Software Engineer,Bachelor,Single,0
EMP100169,51,183549.0,6,2,2,4.0,44,8,32.0,No,Sales,Project Manager,Master,Married,0
EMP100170,43,44203.0,3,3,0,5.0,42,3,25.0,Yes,Research & Development,Software Engineer,Bachelor,Single,0
EMP100171,60,22774.0,5,1,5,,43,3,47.0,No,Research & Development,Sales Executive,Diploma,Married,0
EMP100172,31,76480.0,2,2,2,5.0,40,2,23.0,No,Sales,Research Scientist,High School,Single,0
EMP100173,58,80825.0,6,3,1,4.0,39,5,31.0,Yes,Sales,Research Scientist,Doctorate,Married,0
EMP100174,21,98163.0,1,2,1,1.0,45,6,25.0,No,Research & Development,Sales Executive,Diploma,Single,0
EMP100175,22,67984.0,5,3,1,2.0,38,7,24.0,Yes,Sales,Research Scientist,Bachelor,Married,0
EMP100176,56,80468.0,8,1,1,3.0,39,4,24.0,Yes,Research & Development,HR Specialist,Bachelor,Married,0
EMP100177,36,125893.0,6,3,3,2.0,39,3,16.0,No,Sales,Software Engineer,Bachelor,Single,0
EMP100178,21,39325.0,2,1,2,2.0,40,7,27.0,No,Research & Development,Sales Executive,Bachelor,Single,0
EMP100179,21,35967.0,10,1,4,3.0,35,6,38.0,No,Research & Development,Project Manager,Bachelor,Single,0
EMP100180,47,33608.0,4,4,1,5.0,35,11,21.0,No,Finance,HR Specialist,High School,Married,0
EMP100181,42,48800.0,4,2,1,2.0,45,10,37.0,No,Finance,Sales Executive,Master,Divorced,0
EMP100182,56,104833.0,6,2,3,2.0,45,7,43.0,No,Research & Development,HR Specialist,Bachelor,Married,0
EMP100183,51,69753.0,2,1,1,1.0,44,10,33.0,No,IT,Financial Analyst,Diploma,Single,1
EMP100184,52,68528.0,3,3,1,1.0,49,4,17.0,Yes,Research & Development,Research Scientist,Bachelor,Single,0
EMP100185,20,24256.0,9,2,2,4.0,38,6,9.0,Yes,Sales,Sales Executive,Bachelor,Single,0
EMP100186,38,40262.0,1,5,1,3.0,33,4,47.0,No,IT,Sales Executive,Master,Married,1
EMP100187,21,24078.0,5,5,5,5.0,46,8,58.0,No,Research & Development,Sales Executive,Diploma,Single,0
EMP100188,45,93167.0,2,3,2,5.0,33,8,56.0,No,Research & Development,Software Engineer,Bachelor,Single,0
EMP100189,51,112266.0,3,2,3,4.0,41,6,40.0,No,IT,Sales Executive,Bachelor,Single,0
EMP100190,25,78112.0,2,2,2,5.0,43,9,40.0,No,Finance,Financial Analyst,Master,Single,0
EMP100191,51,35279.0,3,3,2,5.0,52,2,32.0,No,Finance,Sales Executive,Master,Married,0
EMP100192,23,107151.0,4,1,1,1.0,39,4,31.0,No,Research & Development,Research Scientist,,Married,0
EMP100193,30,49076.0,4,2,2,5.0,40,2,24.0,No,IT,Financial Analyst,Bachelor,Single,0
EMP100194,36,31843.0,2,1,1,5.0,45,5,22.0,No,Human Resources,Project Manager,Master,Single,1
EMP100195,57,35636.0,1,1,1,4.0,45,10,7.0,Yes,Finance,Software Engineer,Bachelor,Divorced,1
EMP100196,43,45321.0,2,1,1,4.0,40,8,45.0,No,Research & Development,HR Specialist,High School,Single,0
EMP100197,24,56241.0,2,2,2,2.0,43,2,43.0,Yes,Research & Development,Project Manager,Master,Single,0
EMP100198,53,51148.0,6,3,1,5.0,38,4,29.0,Yes,Research & Development,HR Specialist,Bachelor,Single,0
EMP100199,25,29126.0,2,2,2,5.0,44,4,54.0,No,Research & Development,Project Manager,Diploma,Single,0
EMP100200,41,94948.0,2,2,2,5.0,34,2,69.0,Yes,Human Resources,HR Specialist,Diploma,Single,0
EMP100201,30,51396.0,9,1,5,1.0,57,6,13.0,Yes,Research & Development,Sales Executive,Diploma,Married,1
EMP100202,35,39891.0,3,2,3,5.0,46,7,44.0,Yes,Human Resources,Software Engineer,Master,Single,0
EMP100203,52,90647.0,5,2,2,1.0,36,4,35.0,No,Human Resources,Project Manager,Bachelor,Single,0
EMP100204,28,32291.0,2,3,2,2.0,41,3,59.0,Yes,Human Resources,Financial Analyst,High School,Married,0
EMP100205,25,26426.0,9,5,3,3.0,37,5,27.0,Yes,Research & Development,Software Engineer,Master,Single,0
EMP100206,35,97510.0,4,1,2,5.0,38,7,51.0,No,Research & Development,Sales Executive,Bachelor,Single,0
EMP100207,48,128825.0,1,1,1,4.0,43,1,,No,Finance,Sales Executive,Master,Married,0
EMP100208,22,44674.0,7,2,3,4.0,49,7,52.0,No,IT,Project Manager,Master,Divorced,0
EMP100209,39,53874.0,4,5,4,5.0,41,8,24.0,No,Research & Development,Sales Executive,Bachelor,Married,0
EMP100210,55,32830.0,8,3,7,1.0,33,3,29.0,No,IT,Software Engineer,Bachelor,Married,0
EMP100211,38,55136.0,9,4,1,4.0,39,4,43.0,No,Sales,Project Manager,Master,Single,0
EMP100212,45,44401.0,3,2,3,4.0,39,7,52.0,No,Sales,Sales Executive,Bachelor,Married,0
EMP100213,22,52530.0,5,5,4,2.0,42,6,38.0,No,Research & Development,HR Specialist,Bachelor,Single,0
EMP100214,38,66122.0,4,1,1,2.0,41,8,7.0,Yes,Research & Development,Software Engineer,Master,Married,0
EMP100215,39,33554.0,10,1,7,2.0,31,1,53.0,No,Research & Development,Sales Executive,Diploma,Single,0
EMP100216,51,46736.0,2,4,2,4.0,37,8,54.0,No,Research & Development,Research Scientist,Bachelor,Single,0
EMP100217,26,24426.0,1,4,1,4.0,36,9,27.0,No,Research & Development,Research Scientist,Doctorate,Single,0
EMP100218,60,46880.0,4,1,1,5.0,46,4,48.0,Yes,Research & Development,Sales Executive,Diploma,Married,0
EMP100219,52,52735.0,2,1,2,5.0,41,4,42.0,Yes,Sales,Software Engineer,Bachelor,Married,0
EMP100220,59,60970.0,4,1,4,1.0,32,2,22.0,No,IT,Financial Analyst,Doctorate,Married,0
EMP100221,58,61261.0,10,1,5,4.0,38,4,48.0,Yes,Finance,Financial Analyst,High School,Married,0
EMP100222,37,82607.0,5,1,4,5.0,48,4,34.0,No,Finance,Research Scientist,Bachelor,Single,0
EMP100223,59,27508.0,5,5,5,5.0,39,2,15.0,Yes,Research & Development,Sales Executive,Bachelor,Divorced,0
EMP100224,20,28177.0,3,3,2,2.0,39,7,48.0,Yes,Research & Development,Project Manager,Master,Single,0
EMP100225,30,69781.0,2,3,2,2.0,41,7,67.0,No,IT,Sales Executive,Bachelor,Single,0
EMP100226,47,21973.0,4,3,2,2.0,43,4,5.0,No,IT,Financial Analyst,Bachelor,Single,0
EMP100227,44,59729.0,2,2,2,3.0,41,6,40.0,No,IT,Sales Executive,Bachelor,Divorced,0
EMP100228,42,32337.0,5,3,2,5.0,47,6,39.0,Yes,Human Resources,Software Engineer,Bachelor,Single,0
EMP100229,50,111620.0,2,2,1,2.0,41,3,18.0,No,Research & Development,Research Scientist,Bachelor,Married,0
EMP100230,49,61562.0,2,2,2,2.0,45,5,50.0,No,Research & Development,Sales Executive,Bachelor,Single,0
EMP100231,54,49835.0,3,2,3,4.0,43,11,19.0,No,Research & Development,Sales Executive,Master,Married,0
EMP100232,26,95565.0,3,2,3,2.0,36,7,36.0,No,,Software Engineer,Bachelor,Single,0
EMP100233,35,34083.0,5,4,2,4.0,51,6,24.0,No,Research & Development,Project Manager,Master,Married,0
EMP100234,45,37125.0,18,5,4,1.0,48,0,20.0,No,Sales,Financial Analyst,Diploma,Single,0
EMP100235,21,31177.0,9,2,8,2.0,39,10,41.0,No,Research & Development,Financial Analyst,Bachelor,Single,0
EMP100236,20,37265.0,7,3,4,4.0,41,6,24.0,No,Research & Development,HR Specialist,Master,Married,0
EMP100237,31,56534.0,1,1,1,2.0,45,6,54.0,No,Human Resources,Software Engineer,Diploma,Single,0
EMP100238,24,68691.0,6,3,3,1.0,43,3,35.0,Yes,Finance,Financial Analyst,Bachelor,Single,0
EMP100239,56,84773.0,6,2,4,2.0,43,7,48.0,Yes,Research & Development,HR Specialist,High School,Single,0
EMP100240,51,24196.0,6,1,6,4.0,45,6,47.0,No,,HR Specialist,Master,Married,0
EMP100241,28,50907.0,2,2,2,1.0,44,1,53.0,No,Research & Development,Software Engineer,Bachelor,Single,0
EMP100242,60,33403.0,5,3,1,1.0,44,5,31.0,Yes,Research & Development,Software Engineer,High School,Divorced,1
EMP100243,54,50147.0,5,1,3,1.0,42,4,33.0,Yes,Human Resources,Software Engineer,Master,Divorced,0
EMP100244,38,157230.0,3,4,3,3.0,45,3,22.0,No,Research & Development,Software Engineer,Master,Single,0
EMP100245,35,62719.0,6,1,4,4.0,43,5,37.0,Yes,Research & Development,Sales Executive,Master,Single,1
EMP100246,22,82442.0,7,4,5,3.0,43,5,23.0,No,IT,Financial Analyst,Diploma,Divorced,0
EMP100247,39,132906.0,4,3,1,1.0,49,5,52.0,No,Research & Development,Software Engineer,Bachelor,Single,0
EMP100248,43,91345.0,2,2,2,3.0,44,5,21.0,Yes,Research & Development,Financial Analyst,Master,Married,0
