Customer_ID,Household_Size,House_Area_sqft,Monthly_Income,Monthly_Electricity_Usage_kWh,Peak_Usage_kWh,Average_Temperature_C,AC_Usage_Hours,Appliance_Count,Monthly_Electricity_Bill,Solar_Panel,City
HSE00046,4,1459,59093.87,694.2,337.8,19.6,73.9,6,5783.77,No,Bangalore
HSE00047,7,1684,78606.57,854.5,221.0,28.4,23.3,8,5841.28,No,Delhi
HSE00048,4,1467,66136.15,934.0,437.5,34.8,36.0,14,7684.12,Yes,Coimbatore
HSE00049,1,898,36188.85,814.4,434.9,34.6,100.6,11,6185.5,No,Coimbatore
HSE00050,3,1320,41808.75,587.3,234.8,30.3,6.4,9,3966.34,No,Bangalore
HSE00051,5,1709,62168.96,504.1,177.1,21.0,3.5,4,3871.14,No,Delhi
HSE00052,3,2190,36701.49,886.7,393.7,32.4,17.5,13,5587.91,No,Coimbatore
HSE00053,7,1108,30246.35,988.7,518.9,29.9,110.7,4,6941.52,No,Mumbai
HSE00054,5,1586,49388.92,758.6,229.9,27.4,61.9,5,5855.21,Yes,Chennai
HSE00055,1,1711,35953.07,880.5,326.8,33.8,57.8,10,5767.56,No,Delhi
HSE00056,7,834,66190.32,890.8,264.5,31.5,17.6,12,7226.27,No,Hyderabad
HSE00057,2,2002,98666.65,910.7,363.4,36.8,51.0,11,5760.01,No,Coimbatore
HSE00058,4,721,177016.99,712.1,293.5,23.4,26.3,15,5434.14,Yes,Chennai
HSE00059,1,1564,64037.14,611.3,326.0,23.7,81.2,5,5114.22,Yes,Chennai
HSE00060,4,1337,73554.06,880.7,329.2,24.4,83.4,11,6503.84,No,Chennai
HSE00061,6,1225,41998.77,967.6,406.5,27.9,33.4,14,8555.57,No,Hyderabad
HSE00062,2,2346,43185.88,1024.3,528.1,35.4,64.7,14,7679.57,No,Salem
HSE00063,2,1064,98018.72,644.8,223.4,26.5,59.6,12,5876.58,No,Delhi
HSE00064,1,1057,48569.01,660.1,298.5,26.6,44.5,14,4878.83,No,Kochi
HSE00065,2,1799,56835.41,642.0,306.3,30.7,26.9,10,5548.17,No,Salem
HSE00066,5,1543,95361.24,823.6,287.6,32.4,36.2,7,6308.87,No,Mumbai
HSE00067,2,1777,48737.61,777.9,232.8,20.1,79.3,13,6637.96,No,Chennai
HSE00068,4,1253,108042.25,901.7,361.5,33.2,101.5,12,7683.82,No,Madurai
HSE00069,4,1343,71178.9,691.9,247.0,26.4,38.3,5,5175.51,No,Delhi
HSE00070,7,2055,67509.1,1260.5,415.9,28.6,107.4,13,10853.93,No,Salem
HSE00071,4,824,41085.2,947.2,513.4,34.7,61.9,9,7078.67,No,Delhi
HSE00072,7,1154,69161.19,938.7,376.1,28.1,45.5,11,7477.11,No,Pune
HSE00073,4,1559,45343.3,854.4,433.1,22.9,42.3,14,6124.93,No,Madurai
HSE00074,5,1112,67936.07,726.8,224.3,23.1,28.0,8,4743.26,No,Pune
HSE00075,7,943,52536.7,863.1,459.0,28.9,67.4,5,6662.99,No,Mumbai
HSE00076,3,1478,84978.43,936.4,457.3,27.7,118.0,7,8663.75,Yes,Hyderabad
HSE00077,6,1801,54219.26,822.7,405.3,29.2,44.3,9,7088.81,Yes,Kochi
HSE00078,1,1137,137602.5,643.2,236.0,27.4,24.7,10,5206.26,No,Pune
HSE00079,4,1124,48586.08,1026.2,406.1,34.0,73.9,15,7910.08,No,Bangalore
HSE00080,2,909,43240.37,640.9,274.3,29.1,37.1,14,4665.16,Yes,Hyderabad
HSE00081,4,1067,64269.45,590.3,287.4,21.9,27.8,6,3724.56,No,Mumbai
HSE00082,2,1688,89333.38,455.6,229.9,32.3,16.9,4,2980.1,No,Coimbatore
HSE00083,6,1236,89021.46,1069.8,292.5,36.6,66.1,12,6248.32,No,Chennai
HSE00084,6,838,59286.69,950.5,495.4,29.6,92.3,4,7745.65,No,Chennai
HSE00085,6,1318,64066.61,869.3,461.8,29.9,20.7,14,7216.73,No,Madurai
HSE00086,2,1673,64108.39,550.7,235.6,25.9,39.6,5,3742.16,No,Bangalore
HSE00087,4,947,33861.9,703.6,215.3,28.0,41.9,10,4411.97,Yes,Mumbai
HSE00088,6,602,87196.68,518.7,257.0,31.0,29.1,3,3667.67,No,Kochi
HSE00089,5,2186,31227.46,1245.5,516.4,33.5,105.8,9,8683.34,No,Chennai
HSE00090,7,580,33890.47,739.5,366.2,30.8,16.4,8,5393.56,No,Coimbatore
HSE00091,2,1038,56378.92,716.4,354.2,36.3,62.3,4,4732.55,Yes,Madurai
HSE00092,2,1304,47626.83,794.1,219.2,29.4,69.5,11,5239.23,No,Delhi
HSE00093,4,1077,78696.92,745.5,322.1,24.5,29.0,15,6521.22,No,Chennai
HSE00094,2,1166,67265.12,679.7,268.4,24.6,24.4,14,4732.7,No,Kochi
HSE00095,2,1460,58529.08,704.4,376.0,33.9,32.3,7,5758.47,No,Pune
HSE00096,6,400,33143.38,533.7,180.9,33.0,12.2,4,4215.48,No,Kochi
HSE00097,4,630,55661.31,810.2,252.6,22.4,119.8,5,5835.7,No,Chennai
HSE00098,6,1220,53715.58,850.1,441.3,28.2,34.0,9,7386.35,Yes,Hyderabad
HSE00099,7,1018,60783.43,861.8,253.9,28.3,37.1,9,6432.98,No,Delhi
HSE00100,7,1258,45323.07,1274.0,580.9,26.0,131.8,12,7611.99,No,Bangalore
HSE00101,6,1302,69588.62,4200.0,198.2,23.4,13.9,3,28000.0,No,Coimbatore
HSE00102,7,400,47057.99,891.4,374.7,25.9,44.1,12,7648.4,No,Coimbatore
HSE00103,4,1773,66715.3,1048.6,456.0,25.2,75.1,13,7549.18,Yes,Mumbai
HSE00104,1,976,78693.03,878.4,329.6,23.5,120.0,13,6587.09,No,Bangalore
HSE00105,6,811,43239.97,805.1,436.8,32.3,15.2,14,4939.8,No,Coimbatore
HSE00106,5,1294,38855.98,1050.7,304.2,30.1,129.7,6,7006.78,Yes,Pune
HSE00107,5,1248,68149.1,843.4,309.9,27.1,39.5,8,7028.16,No,Bangalore
HSE00108,2,1739,30351.27,516.4,195.8,20.7,39.7,10,4664.02,Yes,Bangalore
HSE00109,7,1322,90702.26,725.4,318.7,27.8,21.0,5,5487.55,No,Delhi
HSE00110,5,1721,55272.0,829.3,308.6,31.1,50.1,5,5654.27,No,Hyderabad
HSE00111,2,778,52231.82,815.6,227.6,26.1,130.1,10,7151.72,No,Delhi
HSE00112,1,1264,70318.88,667.2,356.4,24.4,49.5,10,4975.45,No,Coimbatore
HSE00113,4,698,68382.21,689.0,258.3,28.5,27.0,10,5463.41,No,Coimbatore
HSE00114,4,1244,55161.56,591.9,208.8,30.3,30.9,3,3649.06,No,Mumbai
HSE00115,4,1149,81671.95,662.3,254.3,21.0,31.9,10,5046.46,No,Salem
HSE00116,5,1129,40640.23,1104.0,347.7,34.4,110.5,10,9617.95,No,Chennai
HSE00117,1,1133,75784.49,654.4,183.3,24.0,124.6,4,4364.7,No,Delhi
HSE00118,5,1531,33850.46,777.5,229.0,27.3,16.3,14,6446.11,No,Chennai
HSE00119,7,477,69208.61,882.3,264.7,33.7,22.2,11,6856.36,No,Bangalore
HSE00120,5,795,47455.39,772.8,239.0,29.5,24.1,9,5063.08,No,Coimbatore
HSE00121,1,1182,30488.34,645.0,242.5,33.4,33.2,10,5573.07,Yes,Madurai
HSE00122,1,670,61733.24,911.1,398.3,35.2,138.3,4,5840.31,No,Bangalore
HSE00123,7,1221,54154.51,1144.8,502.2,23.2,128.6,6,9633.08,No,Chennai
HSE00124,1,1177,27470.34,607.1,151.8,32.6,47.8,9,5420.45,No,Pune
HSE00125,1,568,21246.32,616.4,324.4,34.3,35.9,8,5430.9,No,Chennai
HSE00126,4,546,51357.68,614.8,305.5,27.5,9.9,9,5176.89,No,Chennai
HSE00127,7,400,113924.38,706.1,380.7,27.8,54.3,3,5127.19,No,Coimbatore
HSE00128,3,651,63547.64,666.5,238.6,21.3,50.7,10,5275.78,Yes,Salem
HSE00129,3,1206,40715.01,955.7,429.5,32.1,20.5,15,7765.04,No,Chennai
HSE00130,1,1270,89494.26,567.5,170.5,18.9,61.1,9,3368.18,No,Salem
HSE00131,3,1291,82730.13,1004.5,497.3,32.9,82.0,15,6383.77,No,Chennai
HSE00132,3,850,97469.92,532.8,159.0,23.3,20.3,6,3884.68,Yes,Coimbatore
HSE00133,1,1192,74820.15,635.1,220.9,34.6,34.4,3,3616.84,No,Madurai
HSE00134,3,1379,81940.16,722.9,287.2,30.6,79.6,10,6512.32,No,Mumbai
HSE00135,5,629,76426.69,811.6,347.7,33.0,29.8,12,5700.53,Yes,Bangalore
HSE00136,2,1255,44365.23,572.7,239.3,25.7,33.5,9,3990.02,Yes,Hyderabad
HSE00137,7,1495,26325.99,874.3,245.4,23.7,34.9,10,6211.51,Yes,Chennai
HSE00138,2,979,43502.67,644.4,242.6,21.9,62.8,12,5539.94,No,Mumbai
HSE00139,1,1678,90428.08,784.2,413.2,33.4,88.7,3,7166.97,No,Mumbai
HSE00140,4,990,46334.11,915.4,468.4,31.7,115.8,7,5787.99,Yes,Coimbatore
HSE00141,7,813,51515.18,1116.0,476.8,31.8,85.0,11,9413.18,No,Madurai
HSE00142,1,1451,32548.46,771.0,325.1,30.2,47.5,7,5973.98,No,Hyderabad
HSE00143,4,2115,42920.21,1039.9,294.8,31.2,69.5,15,8046.31,Yes,Chennai
HSE00144,2,1238,54775.5,540.2,167.5,27.8,19.2,12,4462.41,No,Bangalore
HSE00145,1,1486,68647.6,1114.7,363.2,30.5,148.6,14,7559.61,No,Kochi
HSE00146,7,971,44743.03,697.8,276.6,25.6,27.9,5,5166.8,Yes,Bangalore
HSE00147,7,641,43358.0,1003.4,471.0,27.6,66.4,11,6777.95,Yes,Mumbai
HSE00148,6,1275,80343.58,1097.3,426.0,41.2,52.3,15,6908.33,No,Madurai
HSE00149,5,1346,63669.34,746.8,214.9,29.2,17.8,11,4750.92,No,Delhi
HSE00150,3,1039,67305.09,328.4,125.4,21.1,28.0,6,1776.5,No,Delhi
HSE00151,4,1484,109407.28,973.0,290.7,27.4,92.1,6,7631.0,No,Chennai
HSE00152,6,906,43818.22,847.1,402.7,24.8,43.7,13,5130.71,No,Delhi
HSE00153,3,794,53800.06,606.2,181.8,29.6,24.8,10,4786.82,No,Bangalore
HSE00154,3,1677,70481.84,618.4,244.1,25.4,39.6,9,4477.15,No,Madurai
HSE00155,1,1679,37157.1,601.7,275.6,28.2,24.8,13,5588.34,No,Coimbatore
HSE00156,3,915,60971.44,601.0,191.4,26.0,33.2,7,4674.48,No,Chennai
HSE00157,5,1973,55552.12,727.6,198.5,29.8,14.8,8,6361.25,No,Coimbatore
HSE00158,7,1071,191927.54,795.3,333.2,26.5,47.5,5,4794.81,Yes,Bangalore
HSE00159,6,1238,57528.15,1033.0,275.0,30.4,52.0,8,8480.28,No,Coimbatore
HSE00160,3,1162,92569.16,884.6,377.1,36.8,33.6,15,5538.16,No,Kochi
HSE00161,1,1436,79902.54,694.8,330.8,24.4,91.8,10,5639.74,No,Madurai
HSE00162,5,1322,32683.83,921.6,321.4,31.9,34.9,12,6337.43,No,Delhi
HSE00163,2,1316,27395.05,565.0,224.0,19.2,43.7,15,4207.95,No,Coimbatore
HSE00164,7,741,61466.34,987.9,522.2,28.1,32.2,13,6896.33,No,Bangalore
HSE00165,7,440,96847.13,936.3,366.4,29.9,37.1,11,6242.43,Yes,Salem
HSE00166,6,1714,62608.11,877.0,481.4,26.0,71.2,5,7366.71,Yes,Coimbatore
HSE00167,7,955,56986.62,643.3,191.1,21.9,19.7,10,5635.88,No,Mumbai
HSE00168,3,1178,48399.73,830.1,384.1,28.8,60.8,14,5611.89,No,Bangalore
HSE00169,1,1347,30312.21,602.2,268.5,35.1,29.6,5,5620.76,No,Salem
HSE00170,7,1933,35698.15,841.8,430.7,28.4,20.3,4,5619.08,Yes,Chennai
HSE00171,7,1273,26503.9,960.8,266.8,31.2,37.9,7,8051.24,Yes,Coimbatore
HSE00172,2,1022,33480.47,808.5,270.1,33.5,110.3,6,7032.95,No,Delhi
HSE00173,2,964,43407.38,1046.1,303.0,38.9,66.0,15,6912.37,No,Bangalore
HSE00174,4,1183,77986.86,687.6,364.4,24.8,37.3,7,5106.13,No,Delhi
HSE00175,5,791,45017.57,593.0,224.1,25.2,25.5,8,4275.45,Yes,Coimbatore
HSE00176,3,1213,61704.99,819.7,428.7,27.8,126.0,5,6100.5,No,Hyderabad
HSE00177,7,1177,58450.86,875.1,296.1,31.5,56.0,3,7292.36,No,Bangalore
HSE00178,7,1939,68848.27,737.5,212.3,19.7,48.6,6,5869.42,Yes,Hyderabad
HSE00179,1,1162,34524.41,786.8,266.7,31.6,64.9,8,6814.71,No,Kochi
HSE00180,4,400,88585.69,591.1,253.7,29.6,69.0,4,3822.14,No,Salem
HSE00181,5,2403,29198.1,842.9,424.5,26.9,34.6,4,6469.46,No,Pune
HSE00182,4,1631,44961.98,835.7,305.5,30.7,76.9,3,6190.18,No,Pune
HSE00183,6,2137,54485.02,934.2,489.9,32.6,17.2,11,8224.28,No,Hyderabad
HSE00184,5,679,77431.86,805.8,260.5,33.1,67.2,5,5033.18,No,Coimbatore
HSE00185,7,1100,102311.53,851.3,389.9,29.1,36.0,4,7789.81,No,Delhi
HSE00186,7,1503,77707.16,978.6,460.6,30.3,93.5,6,7268.83,No,Coimbatore
HSE00187,5,1441,104010.88,781.1,259.5,30.2,34.4,8,5999.92,Yes,Chennai
HSE00188,7,1338,37871.7,958.6,247.4,33.9,83.8,3,6856.04,No,Delhi
HSE00189,3,400,93972.29,723.5,260.1,30.5,57.1,11,6595.75,No,Delhi
HSE00190,5,429,86984.39,1181.6,311.4,31.6,180.0,11,9139.56,No,Bangalore
HSE00191,4,1883,18709.09,896.5,466.4,32.6,75.1,10,7108.36,Yes,Pune
HSE00192,5,1963,49805.44,945.1,506.6,36.8,49.2,8,7606.89,No,Madurai
HSE00193,7,1152,72114.13,823.9,387.7,26.7,13.3,6,5950.29,No,Mumbai
HSE00194,3,1826,43614.82,967.6,452.8,35.5,89.6,4,6131.42,No,Delhi
HSE00195,3,740,33740.94,1004.8,323.8,38.9,93.0,10,8710.67,No,Chennai
HSE00196,6,843,142410.26,744.4,202.6,26.9,38.3,9,5182.89,Yes,Salem
HSE00197,4,704,57818.06,736.6,361.4,28.1,30.4,14,6534.14,Yes,Chennai
HSE00198,2,818,58534.46,632.7,264.3,27.3,78.8,6,4992.91,No,Madurai
HSE00199,2,1525,30517.06,759.7,345.3,31.6,56.5,5,5636.58,No,Madurai
HSE00200,5,812,41752.98,639.5,309.4,21.6,42.8,8,5194.28,Yes,Delhi
HSE00201,6,2208,36719.39,818.6,305.2,27.0,63.0,3,6662.72,No,Kochi
HSE00202,1,1407,89377.77,549.3,161.1,27.9,38.2,4,4602.4,No,Hyderabad
HSE00203,5,1688,69021.52,831.5,406.2,27.6,92.2,9,7454.6,No,Madurai
HSE00204,6,1420,42545.73,949.5,366.6,27.5,40.2,13,6345.85,No,Pune
HSE00205,4,1746,70778.71,743.0,370.1,27.0,78.8,5,6409.62,No,Bangalore
HSE00206,4,809,49070.06,884.3,337.2,32.1,49.2,15,6439.98,Yes,Coimbatore
HSE00207,4,1851,61120.91,733.7,231.2,31.2,58.8,3,6248.49,No,Mumbai
HSE00208,4,1263,60991.04,1041.6,313.8,35.8,123.7,4,7310.16,No,Kochi
HSE00209,4,1744,66450.24,944.6,447.0,32.1,35.1,12,5975.12,No,Kochi
HSE00210,6,552,62939.66,974.0,411.5,24.6,75.8,12,7885.06,No,Kochi
HSE00211,6,1281,66473.64,988.0,366.9,28.3,107.7,11,6753.51,No,Chennai
HSE00212,3,1265,96780.64,878.0,349.1,27.9,74.2,9,8059.37,No,Bangalore
HSE00213,2,921,73375.23,831.3,344.9,30.0,95.2,9,5002.68,No,Mumbai
HSE00214,7,1341,47262.98,1033.7,332.7,33.4,52.3,12,6062.31,No,Delhi
HSE00215,4,1893,52628.32,1020.6,370.9,29.7,71.8,10,6189.98,No,Bangalore
HSE00216,1,887,95670.5,806.4,272.3,29.8,83.6,14,5635.29,No,Delhi
HSE00217,7,1633,57854.04,1108.4,406.3,29.0,48.5,14,8397.66,No,Mumbai
HSE00218,6,693,46480.13,1175.5,470.4,32.2,163.7,10,8832.84,No,Mumbai
HSE00219,1,2149,41401.66,651.0,196.6,26.7,27.8,11,4803.69,Yes,Delhi
HSE00220,1,1553,62190.38,501.5,184.6,23.2,24.7,4,3294.94,No,Mumbai
HSE00221,1,1976,37436.55,1116.0,408.1,31.6,115.9,10,7877.47,Yes,Chennai
HSE00222,3,1502,98051.33,992.2,333.2,30.5,105.3,10,6501.94,No,Kochi
HSE00223,6,1376,34477.78,828.1,455.1,34.3,30.8,15,6741.57,No,Chennai
HSE00224,1,1557,106960.93,643.0,175.0,19.3,95.2,7,5165.51,No,Pune
HSE00225,4,1139,48374.83,781.5,346.1,28.6,63.3,7,6444.47,Yes,Chennai
HSE00226,5,472,33879.2,677.7,204.9,29.4,49.5,6,5837.71,No,Delhi
HSE00227,1,1401,59887.17,509.3,255.6,23.0,30.2,7,4083.47,No,Madurai
HSE00228,3,860,35818.54,557.3,292.2,28.7,45.3,4,4529.49,Yes,Coimbatore
HSE00229,7,704,55857.31,825.2,305.7,33.7,26.4,4,5987.22,No,Salem
HSE00230,6,1486,42412.31,887.4,441.1,37.3,40.7,7,8228.82,No,Coimbatore
HSE00231,3,1074,84151.28,865.8,281.4,32.9,25.9,13,6631.32,Yes,Coimbatore
HSE00232,1,1662,58490.86,803.6,234.7,27.7,18.8,15,5454.15,No,Kochi
HSE00233,6,845,32217.44,921.3,317.6,34.0,96.5,5,6948.36,No,Delhi
HSE00234,5,988,42041.9,667.1,235.2,32.6,43.6,3,5872.85,No,Coimbatore
HSE00235,1,1718,75532.23,781.4,288.5,27.1,60.0,11,6836.98,No,Madurai
HSE00236,3,1326,98152.72,497.3,180.0,26.7,34.0,4,3505.38,Yes,Delhi
HSE00237,2,535,53890.79,636.6,237.7,28.3,42.3,14,5797.13,No,Coimbatore
HSE00238,4,1316,34375.87,789.4,365.5,24.8,25.4,12,7302.31,Yes,Kochi
HSE00239,7,1867,88380.34,1157.5,374.7,27.8,116.5,4,7947.05,Yes,Hyderabad
HSE00240,3,985,75383.38,699.4,178.7,30.9,9.7,6,5894.0,No,Chennai
HSE00241,6,1469,99015.46,991.2,393.4,33.2,80.6,4,8479.2,No,Kochi
HSE00242,1,818,62672.78,487.4,187.4,27.5,33.6,9,3004.39,No,Pune
HSE00243,4,1138,43513.21,877.1,235.1,34.6,25.3,14,7695.76,Yes,Mumbai
HSE00244,1,1690,69403.2,688.9,199.9,31.6,17.7,12,4903.36,No,Madurai
HSE00245,6,1299,63699.79,819.4,330.2,31.8,52.2,3,6593.94,No,Kochi
HSE00246,1,1780,42463.29,815.1,261.2,25.3,74.9,13,7245.71,Yes,Chennai
HSE00247,2,1391,60142.73,737.3,378.4,36.2,70.5,4,5418.49,Yes,Kochi
HSE00248,4,2198,50378.85,988.0,298.4,31.2,36.7,13,7203.56,No,Bangalore
HSE00249,4,496,76855.36,522.1,133.7,27.7,42.1,7,4747.83,No,Hyderabad
HSE00250,6,1102,68630.45,613.4,235.7,27.0,24.8,4,5467.75,Yes,Salem
HSE00251,7,712,34264.75,801.1,437.3,27.8,27.8,11,4819.99,Yes,Pune
HSE00252,2,743,32744.76,516.0,227.1,24.9,96.4,6,4510.55,No,Bangalore
HSE00253,3,747,52821.49,719.3,256.2,33.0,13.4,11,4436.88,No,Delhi
HSE00254,1,1275,55818.31,411.5,105.0,25.3,12.1,13,2641.1,Yes,Hyderabad
HSE00255,5,1302,77460.86,936.7,370.5,30.2,30.8,14,7660.23,No,Coimbatore
HSE00256,1,1392,69291.34,658.8,205.5,27.2,115.7,3,5237.83,No,Madurai
HSE00257,1,695,106032.08,491.0,218.2,31.7,48.9,3,3792.51,Yes,Kochi
HSE00258,3,1054,44571.57,1064.0,452.1,32.2,163.8,3,6303.48,No,Pune
HSE00259,1,766,43441.03,624.9,205.9,26.4,39.1,6,4170.29,No,Mumbai
HSE00260,2,1621,35709.5,859.3,232.6,28.9,71.9,11,7837.32,No,Chennai
HSE00261,2,808,77058.62,566.0,269.7,23.2,89.0,10,3257.83,No,Madurai
HSE00262,4,1104,55541.01,1254.9,534.1,35.8,147.4,9,8109.53,No,Bangalore
HSE00263,6,1452,23884.07,791.1,397.6,33.3,32.7,3,6527.05,No,Coimbatore
HSE00264,7,923,60238.25,732.2,240.1,23.4,48.6,5,5936.24,No,Salem
HSE00265,5,1512,61992.89,868.6,387.3,25.5,43.0,11,6174.49,No,Kochi
HSE00266,1,1918,51540.97,691.2,197.4,28.5,75.4,11,4605.27,Yes,Mumbai
HSE00267,1,1285,62854.84,816.5,275.6,29.2,108.7,7,6854.94,No,Coimbatore
HSE00268,3,1606,31760.62,997.7,445.9,26.3,108.5,14,8618.77,Yes,Chennai
HSE00269,6,400,115099.56,847.6,421.8,24.4,32.2,15,5068.14,No,Hyderabad
HSE00270,2,1007,65264.61,659.0,228.2,30.6,27.9,8,5126.32,Yes,Mumbai
HSE00271,5,1283,24758.5,970.6,475.3,36.0,70.8,13,6936.71,No,Delhi
HSE00272,4,726,54854.24,841.1,381.3,29.2,22.7,15,6961.61,Yes,Pune
HSE00273,2,1293,66046.38,787.4,279.2,27.8,76.5,8,5524.1,No,Mumbai
HSE00274,6,1677,33331.86,850.1,436.0,27.4,48.5,12,6788.28,No,Delhi
HSE00275,7,400,69928.05,865.1,348.4,24.6,98.8,6,6587.72,No,Kochi
HSE00276,4,665,117184.51,773.7,343.9,26.3,90.0,3,5551.59,No,Delhi
HSE00277,7,1283,41155.89,884.8,352.8,33.5,52.3,7,7855.92,Yes,Salem
HSE00278,3,1407,66695.04,754.3,291.0,20.7,21.4,15,5594.6,Yes,Kochi
HSE00279,3,1532,60412.89,484.1,244.2,29.3,22.7,3,4297.75,No,Chennai
HSE00280,1,1250,85035.06,495.4,167.6,29.1,50.1,3,3470.73,Yes,Madurai
HSE00281,7,1408,52371.07,1004.3,262.1,29.5,64.0,13,6586.72,Yes,Chennai
HSE00282,6,1607,34032.32,995.4,511.6,31.9,39.6,7,7535.74,Yes,Salem
HSE00283,5,1013,82616.98,664.7,330.7,29.2,26.1,7,5005.68,Yes,Delhi
HSE00284,4,926,34955.15,614.3,221.1,27.2,40.5,9,4597.6,Yes,Mumbai
HSE00285,2,1124,124128.93,746.8,228.2,26.4,99.3,4,6148.87,No,Bangalore
HSE00286,6,1290,70787.28,962.7,435.8,34.2,40.5,8,7310.85,Yes,Coimbatore
HSE00287,6,904,42006.8,805.5,220.4,33.2,32.9,4,6797.62,No,Coimbatore
HSE00288,3,1023,90579.36,892.3,336.5,40.5,22.2,15,6597.38,Yes,Kochi
HSE00289,7,1379,54773.04,986.6,272.1,27.9,46.5,12,6809.93,No,Hyderabad
HSE00290,1,1271,49784.35,668.6,287.1,26.4,90.5,7,4596.89,No,Mumbai
HSE00291,1,1117,40485.42,868.9,224.3,30.8,93.0,6,7252.45,Yes,Madurai
HSE00292,4,417,23621.39,801.5,351.7,30.7,28.7,13,5015.2,Yes,Chennai
HSE00293,3,1198,72190.6,916.4,414.2,31.5,52.6,12,5764.55,Yes,Pune
