Car_ID,Brand,Model_Year,Mileage_Km,Engine_CC,Horsepower,Fuel_Efficiency_Kmpl,Owner_Count,Service_Count,Accident_Count,Car_Age,Commute_Distance_Km,Condition_Score,Selling_Price_Lakhs,Engine_Power_Copy,Random_Feature,Constant_Feature
CAR00051,Honda,2014,82833,2000,126,16.68,3,3,0,12,5.87,8.6,17.72,126,55.81,1
CAR00052,Toyota,2016,42952,2000,133,18.23,4,9,0,10,21.55,9.6,20.09,133,36.14,1
CAR00053,Toyota,2014,70147,2000,160,18.44,1,6,1,12,14.93,9.7,15.62,160,55.79,1
CAR00054,Hyundai,2018,34405,2200,131,14.74,2,7,1,8,6.97,7.2,22.18,131,5.27,1
CAR00055,Maruti,2016,61827,2000,137,16.75,1,14,1,10,12.61,9.5,21.48,137,81.17,1
CAR00056,Ford,2020,43277,1000,70,22.1,1,8,3,6,38.73,8.0,20.07,70,55.42,1
CAR00057,Ford,2018,46684,1500,84,16.78,2,7,0,8,46.43,7.0,19.02,84,11.52,1
CAR00058,Honda,2013,113367,1200,73,17.27,4,6,0,13,18.85,6.5,18.83,73,-18.52,1
CAR00059,Hyundai,2015,106216,2000,160,17.87,2,7,1,11,33.96,8.1,23.66,160,54.85,1
CAR00060,Audi,2020,85499,2500,200,16.1,3,5,2,6,32.95,9.6,20.97,200,31.17,1
CAR00061,Honda,2023,39759,1500,96,16.04,1,8,0,3,11.3,9.1,27.82,96,56.06,1
CAR00062,Maruti,2025,56374,2500,203,12.06,1,2,1,1,7.05,6.5,36.35,203,66.82,1
CAR00063,Mercedes,2013,112200,2500,195,15.28,2,9,1,13,6.49,7.9,18.43,195,34.46,1
CAR00064,Kia,2021,69280,1800,122,16.02,1,9,0,5,21.98,6.4,21.51,122,64.69,1
CAR00065,Hyundai,2020,184580,2500,194,11.49,3,9,2,6,2.41,7.8,18.44,194,67.99,1
CAR00066,Hyundai,2021,77585,2000,168,14.91,1,8,0,5,50.0,8.1,29.1,168,58.96,1
CAR00067,Mercedes,2016,70867,1800,124,18.06,1,4,2,10,10.73,7.9,14.38,124,76.5,1
CAR00068,Audi,2013,56559,3000,186,13.13,2,7,0,13,11.38,8.8,15.51,186,31.64,1
CAR00069,Maruti,2015,69026,2200,183,18.85,1,5,0,11,40.92,6.6,16.78,183,22.76,1
CAR00070,Toyota,2023,60690,2500,183,10.68,3,5,1,3,16.5,9.2,34.84,183,17.12,1
CAR00071,Ford,2023,89392,1000,58,21.82,2,0,0,3,17.87,7.0,24.31,58,51.25,1
CAR00072,Maruti,2018,99973,1200,87,17.88,1,5,1,8,29.97,6.0,17.59,87,58.83,1
CAR00073,Audi,2023,45636,2500,175,13.88,3,9,2,3,18.91,8.8,27.54,175,62.63,1
CAR00074,Mercedes,2024,35706,3000,242,10.33,1,3,1,2,40.98,8.1,32.97,242,48.89,1
CAR00075,Honda,2019,28448,1600,113,18.36,3,9,0,7,15.37,8.8,19.97,113,56.29,1
CAR00076,BMW,2014,81694,3000,188,9.78,1,3,0,12,36.65,7.7,23.86,188,56.57,1
CAR00077,Maruti,2025,39562,1600,120,19.06,1,3,1,1,26.71,4.7,27.99,120,58.72,1
CAR00078,Mercedes,2012,24670,3000,214,10.4,4,2,0,14,10.82,6.4,22.31,214,60.26,1
CAR00079,Kia,2015,77420,2200,136,13.0,3,6,0,11,11.86,7.7,23.31,136,68.09,1
CAR00080,Mercedes,2013,199584,1200,87,16.19,1,1,0,13,31.34,7.4,12.07,87,25.15,1
CAR00081,Honda,2019,64823,3000,239,12.0,2,9,1,7,15.51,9.8,22.86,239,35.35,1
CAR00082,Audi,2015,94794,1600,89,19.31,3,6,2,11,7.48,6.5,12.01,89,59.75,1
CAR00083,BMW,2013,67438,2500,185,17.87,1,5,1,13,36.27,8.6,17.42,185,16.88,1
CAR00084,Kia,2025,62171,2200,144,14.49,1,4,1,1,36.12,8.3,30.49,144,47.26,1
CAR00085,Mercedes,2017,98295,2200,140,15.62,2,6,0,9,12.14,4.4,21.17,140,70.46,1
CAR00086,Ford,2017,57041,2500,167,15.84,1,4,2,9,2.56,7.5,23.19,167,80.33,1
CAR00087,Audi,2021,73311,1000,65,18.48,1,5,1,5,26.2,7.6,19.63,65,62.83,1
CAR00088,Mercedes,2015,75125,1800,144,17.76,3,12,1,11,14.29,9.2,14.19,144,57.88,1
CAR00089,Toyota,2017,48122,1200,76,18.56,1,4,1,9,16.95,5.3,12.39,76,68.86,1
CAR00090,Ford,2024,101576,1200,92,18.06,3,6,0,2,33.66,8.5,21.4,92,58.34,1
CAR00091,Mercedes,2013,60079,1000,58,16.3,2,3,0,13,11.07,8.0,14.4,58,62.95,1
CAR00092,Tata,2021,46261,1800,150,17.16,2,5,0,5,7.43,9.2,24.72,150,87.69,1
CAR00093,Mercedes,2023,82749,1200,88,20.49,2,8,0,3,25.32,6.7,19.82,88,51.05,1
CAR00094,Hyundai,2013,43383,1600,122,15.87,1,2,0,13,7.72,8.5,15.5,122,45.29,1
CAR00095,Ford,2021,65830,1500,96,13.78,1,2,0,5,11.39,6.1,23.97,96,76.46,1
CAR00096,Audi,2025,64734,1500,101,17.08,1,7,0,1,4.73,10.0,30.55,101,47.5,1
CAR00097,Kia,2015,105958,1200,74,21.59,2,9,0,11,26.04,6.9,20.65,74,59.64,1
CAR00098,Kia,2025,80479,2000,166,18.71,1,2,0,1,14.42,5.6,35.58,166,65.59,1
CAR00099,Tata,2019,64272,1200,84,17.41,1,6,0,7,23.7,6.4,29.1,84,27.39,1
CAR00100,Ford,2025,93914,2500,185,15.77,4,7,0,1,10.69,8.8,36.61,185,49.44,1
CAR00101,Honda,2018,121508,2500,193,16.08,4,7,1,8,25.55,7.5,16.47,193,39.65,1
CAR00102,Audi,2023,83546,1800,119,19.84,1,9,1,3,14.53,8.8,24.61,119,42.34,1
CAR00103,Mercedes,2020,65304,2200,169,12.61,1,6,1,6,9.93,9.6,32.1,169,66.88,1
CAR00104,Maruti,2025,36020,1600,120,15.29,2,7,1,1,18.98,8.8,32.24,120,26.98,1
CAR00105,Ford,2019,40249,1000,76,15.12,3,8,1,7,62.19,8.7,20.8,76,44.59,1
CAR00106,Tata,2016,56658,1200,84,17.21,1,4,1,10,17.29,6.2,12.86,84,55.34,1
CAR00107,Tata,2024,49408,1600,106,19.56,1,6,3,2,10.62,6.5,24.04,106,48.23,1
CAR00108,Honda,2013,59755,1000,62,18.02,3,11,1,13,14.47,6.0,15.19,62,57.18,1
CAR00109,Kia,2016,66678,2500,199,12.24,3,4,1,10,7.74,7.5,25.52,199,61.3,1
CAR00110,BMW,2019,82496,3000,220,13.88,2,10,1,7,11.38,10.0,32.93,220,63.01,1
CAR00111,Kia,2021,62970,1600,109,17.93,1,4,0,5,17.15,7.2,21.65,109,71.98,1
CAR00112,Audi,2020,80908,1500,125,15.68,1,10,1,6,10.44,9.8,23.58,125,96.93,1
CAR00113,Toyota,2023,66914,1200,68,17.56,2,9,0,3,25.92,5.4,18.12,68,68.28,1
CAR00114,Kia,2023,26720,1800,145,17.16,1,5,1,3,14.41,6.9,25.63,145,49.06,1
CAR00115,Kia,2023,42593,1500,127,19.21,1,3,0,3,23.99,6.3,17.88,127,59.13,1
CAR00116,Maruti,2024,60919,2200,180,14.42,1,6,1,2,11.61,8.1,24.91,180,43.52,1
CAR00117,Toyota,2020,37714,2000,159,14.7,2,4,0,6,15.12,8.0,25.95,159,72.09,1
CAR00118,Maruti,2024,85145,1000,66,22.97,2,7,1,2,34.78,5.3,18.75,66,55.75,1
CAR00119,BMW,2024,129441,2500,155,14.31,3,4,0,2,18.65,6.4,18.35,155,82.07,1
CAR00120,Maruti,2012,112486,1200,92,19.07,2,4,1,14,4.98,9.0,12.94,92,43.31,1
CAR00121,Kia,2020,59047,1800,115,18.15,3,6,2,6,36.93,8.8,16.53,115,44.56,1
CAR00122,Maruti,2018,127130,3000,181,9.85,3,8,0,8,37.91,6.4,20.82,181,45.88,1
CAR00123,Tata,2020,69497,2500,196,14.82,1,5,1,6,4.14,6.5,22.95,196,39.81,1
CAR00124,Audi,2019,55852,1200,77,15.28,1,6,1,7,13.21,7.3,30.63,77,61.19,1
CAR00125,Honda,2012,49321,3000,247,13.17,2,14,0,14,42.41,6.4,17.08,247,55.11,1
CAR00126,Mercedes,2023,56728,1800,144,19.6,1,6,0,3,36.0,8.0,32.17,144,56.84,1
CAR00127,Audi,2019,54582,2000,161,14.29,3,10,0,7,18.74,7.2,20.13,161,10.4,1
CAR00128,BMW,2019,70181,1500,117,14.38,1,7,0,7,2.33,8.8,27.71,117,30.38,1
CAR00129,Tata,2022,69871,1500,122,21.49,1,5,1,4,48.51,7.2,24.57,122,48.44,1
CAR00130,BMW,2014,65089,2500,198,12.56,2,10,1,12,35.67,8.7,17.35,198,52.39,1
CAR00131,Audi,2012,79123,1200,88,15.57,2,4,2,14,60.45,6.8,9.12,88,82.16,1
CAR00132,Hyundai,2019,111072,1200,77,21.81,2,1,0,7,6.78,6.9,23.32,77,30.96,1
CAR00133,Honda,2014,99652,1800,147,14.48,2,13,0,12,14.27,7.4,21.21,147,27.47,1
CAR00134,Kia,2014,33321,2000,160,19.58,1,5,2,12,46.84,5.5,12.02,160,28.82,1
CAR00135,Audi,2012,20597,1200,83,19.12,1,5,1,14,5.54,7.4,10.41,83,52.09,1
CAR00136,Tata,2022,98971,1800,101,19.43,3,6,2,4,10.87,8.9,25.52,101,64.41,1
CAR00137,Ford,2016,35138,2200,163,16.09,1,12,1,10,31.22,6.0,15.48,163,38.83,1
CAR00138,Ford,2021,58747,2500,141,17.02,1,6,1,5,22.45,8.8,26.35,141,53.15,1
CAR00139,BMW,2018,38392,2200,182,13.88,1,7,1,8,9.77,7.6,19.46,182,26.33,1
CAR00140,BMW,2021,28890,2500,210,13.63,1,9,0,5,7.38,7.7,25.79,210,24.58,1
CAR00141,Honda,2020,82934,3000,182,9.2,2,6,1,6,33.05,8.0,25.7,182,40.99,1
CAR00142,Mercedes,2023,91470,1800,136,18.8,2,4,0,3,9.25,7.1,25.06,136,67.1,1
CAR00143,Hyundai,2018,50147,1800,104,17.7,2,13,1,8,11.28,8.0,21.43,104,36.01,1
CAR00144,Audi,2020,20255,1600,123,15.41,2,9,2,6,14.77,7.2,24.19,123,46.39,1
CAR00145,Kia,2019,50835,3000,196,9.93,1,9,1,7,35.75,6.7,27.41,196,31.38,1
CAR00146,Hyundai,2023,77533,1800,136,17.42,2,5,0,3,58.7,9.0,27.58,136,28.54,1
CAR00147,BMW,2013,33411,1200,79,21.92,1,8,0,13,17.17,5.9,21.11,79,59.0,1
CAR00148,Audi,2012,70591,2500,148,14.58,1,8,1,14,8.33,6.9,11.09,148,38.49,1
CAR00149,BMW,2018,64554,2200,148,14.4,1,4,0,8,1.82,8.6,21.59,148,22.01,1
CAR00150,Tata,2018,84358,2500,146,12.98,1,5,1,8,20.09,6.3,13.87,146,21.01,1
CAR00151,Hyundai,2025,68594,1500,108,20.21,2,2,2,1,19.46,7.3,21.5,108,70.03,1
CAR00152,Maruti,2019,41951,1600,90,15.87,2,7,2,7,1.24,5.7,14.72,90,16.62,1
CAR00153,Kia,2016,111368,1800,127,16.11,3,4,1,10,10.7,7.0,13.57,127,72.47,1
CAR00154,Toyota,2014,60525,2000,163,18.37,2,12,0,12,17.7,5.6,11.27,163,62.86,1
CAR00155,Maruti,2023,64206,1000,80,20.42,1,12,2,3,18.57,6.6,19.67,80,41.23,1
CAR00156,Tata,2019,42709,1600,130,16.76,1,3,0,7,19.9,7.7,18.5,130,64.44,1
CAR00157,Toyota,2017,53245,1800,149,15.46,1,10,1,9,9.58,7.4,24.01,149,45.96,1
CAR00158,Audi,2022,43651,2200,128,18.65,1,6,1,4,10.21,8.9,25.96,128,58.27,1
CAR00159,Mercedes,2014,60133,1800,106,14.62,1,9,0,12,13.25,8.4,17.64,106,12.52,1
CAR00160,Mercedes,2012,140423,1000,72,18.72,1,7,0,14,28.73,7.0,10.62,72,52.91,1
CAR00161,Honda,2014,35059,2200,180,12.7,2,3,0,12,28.79,8.7,25.4,180,42.78,1
CAR00162,Tata,2016,31446,2500,211,17.23,2,11,1,10,13.96,7.3,19.58,211,40.06,1
CAR00163,BMW,2025,126017,2200,124,14.76,2,12,0,1,23.52,6.6,28.87,124,67.84,1
CAR00164,Audi,2014,59157,1600,105,16.03,2,8,0,12,5.21,5.9,19.89,105,92.17,1
CAR00165,Audi,2012,48101,2500,153,16.18,2,7,0,14,16.37,9.4,15.49,153,75.98,1
CAR00166,Ford,2016,103787,1800,140,14.01,2,12,1,10,11.07,9.2,15.45,140,73.27,1
CAR00167,Audi,2021,49494,3000,223,14.7,2,6,0,5,14.4,7.2,27.32,223,33.42,1
CAR00168,Honda,2018,147834,1800,105,16.14,1,6,0,8,25.84,7.4,17.87,105,63.35,1
CAR00169,Maruti,2025,88187,1000,70,16.73,2,6,0,1,20.85,7.2,24.03,70,42.35,1
CAR00170,Tata,2018,52187,3000,227,11.45,2,8,1,8,14.22,5.0,17.28,227,40.54,1
CAR00171,Honda,2022,171602,1800,141,15.49,1,10,1,4,24.95,7.4,30.69,141,93.05,1
CAR00172,Ford,2020,49492,2000,111,15.4,1,6,0,6,7.88,4.7,24.47,111,9.98,1
CAR00173,Hyundai,2021,90770,1600,131,15.03,1,6,0,5,16.56,6.0,22.9,131,59.63,1
CAR00174,BMW,2021,74371,2000,144,16.87,2,3,1,5,31.8,7.5,32.63,144,58.28,1
CAR00175,Mercedes,2023,116766,2500,198,12.41,2,10,1,3,10.61,8.6,30.08,198,66.75,1
CAR00176,BMW,2024,131245,1500,119,12.98,1,11,0,2,21.49,5.3,23.15,119,66.26,1
CAR00177,Honda,2014,65943,1800,109,20.7,1,4,1,12,17.31,7.3,16.98,109,60.25,1
CAR00178,Honda,2018,46310,1200,70,18.97,3,3,1,8,24.41,7.4,16.19,70,58.28,1
CAR00179,Maruti,2012,79948,1200,92,22.59,1,7,3,14,15.44,7.3,5.22,92,34.57,1
CAR00180,Mercedes,2015,47914,2200,131,13.63,1,9,1,11,11.47,7.9,24.42,131,51.26,1
CAR00181,Audi,2024,160840,2000,161,17.25,1,9,1,2,32.58,8.5,31.58,161,66.87,1
CAR00182,Ford,2015,69119,1600,123,19.22,2,6,0,11,12.64,7.6,14.31,123,36.58,1
CAR00183,Tata,2025,55146,1800,144,16.48,2,6,2,1,20.15,9.5,25.62,144,57.53,1
CAR00184,Toyota,2016,70633,1000,64,16.25,1,6,2,10,7.4,7.2,14.74,64,67.11,1
CAR00185,Kia,2018,35452,2200,142,15.19,4,5,1,8,9.98,6.2,25.19,142,43.53,1
CAR00186,Audi,2018,41979,2500,188,16.11,2,3,1,8,14.38,9.9,22.8,188,81.27,1
CAR00187,Toyota,2024,111561,3000,168,14.61,1,5,0,2,15.16,10.0,29.9,168,61.48,1
CAR00188,Kia,2022,48365,2500,192,14.85,2,14,0,4,39.85,8.3,28.7,192,18.42,1
CAR00189,Ford,2024,40580,1800,144,18.65,1,3,0,2,25.23,4.5,29.86,144,51.9,1
CAR00190,Audi,2015,82755,1500,101,19.41,2,3,0,11,62.12,7.8,20.33,101,34.42,1
CAR00191,Tata,2024,110825,3000,234,12.38,1,4,0,2,7.01,6.6,37.51,234,29.59,1
CAR00192,Tata,2018,89830,2000,120,13.24,2,7,1,8,33.05,9.4,31.79,120,30.89,1
CAR00193,Honda,2022,101759,1800,116,17.24,1,3,0,4,22.25,7.5,26.43,116,88.23,1
CAR00194,Mercedes,2014,46239,1500,126,16.22,3,3,1,12,12.17,6.6,15.4,126,34.07,1
CAR00195,Kia,2017,34280,2000,169,16.57,1,7,0,9,11.31,7.9,26.91,169,47.08,1
CAR00196,Mercedes,2023,127739,1500,106,20.41,2,6,0,3,21.51,9.2,23.95,106,56.55,1
CAR00197,Kia,2013,56215,2000,166,17.16,1,9,0,13,15.9,6.4,29.56,166,35.94,1
CAR00198,Maruti,2021,58062,1600,113,20.02,3,5,1,5,20.27,8.5,18.58,113,33.51,1
CAR00199,Ford,2024,118164,1200,76,16.55,2,8,0,2,32.54,5.0,27.19,76,37.55,1
CAR00200,Mercedes,2025,83487,2500,158,17.03,1,7,1,1,29.08,7.4,20.36,158,38.37,1
CAR00201,Toyota,2020,79801,1600,133,20.78,3,10,2,6,9.61,5.7,18.75,133,60.62,1
CAR00202,Honda,2016,172197,3000,181,13.56,1,9,1,10,23.1,6.4,18.16,181,32.93,1
CAR00203,Honda,2017,48657,2200,159,20.36,2,5,0,9,12.53,9.0,18.76,159,80.7,1
CAR00204,Tata,2023,98683,1200,86,16.86,2,12,1,3,6.33,7.0,26.6,86,45.72,1
CAR00205,Kia,2023,66689,1600,124,16.15,1,8,0,3,32.63,6.6,24.95,124,82.44,1
CAR00206,Hyundai,2023,73351,1800,126,18.16,4,13,1,3,5.68,9.0,28.32,126,48.76,1
CAR00207,Kia,2023,129308,1500,95,17.82,1,10,0,3,31.71,8.3,30.39,95,20.28,1
CAR00208,Toyota,2015,81689,3000,180,11.94,1,7,0,11,10.88,5.1,12.79,180,37.36,1
CAR00209,Hyundai,2025,82816,1800,133,18.1,3,5,1,1,20.28,7.4,28.82,133,60.69,1
CAR00210,Tata,2025,105321,1200,92,19.28,2,10,2,1,9.41,7.6,31.47,92,29.16,1
CAR00211,Honda,2022,55156,1500,108,16.54,1,2,0,4,12.04,8.5,26.4,108,49.21,1
CAR00212,Honda,2021,44556,3000,231,13.81,1,7,2,5,16.59,7.1,29.28,231,57.0,1
CAR00213,Toyota,2018,40618,2200,130,17.23,2,4,0,8,34.73,10.0,29.51,130,57.53,1
CAR00214,BMW,2023,26830,1200,98,17.35,1,6,0,3,14.36,7.9,27.04,98,61.43,1
CAR00215,Ford,2020,163970,3000,217,14.46,3,10,0,6,3.58,5.4,27.6,217,54.72,1
CAR00216,Ford,2018,39565,1600,94,15.69,2,6,1,8,22.67,7.0,18.16,94,29.91,1
CAR00217,Kia,2025,58840,3000,207,12.08,1,7,0,1,28.84,8.9,41.83,207,44.54,1
CAR00218,BMW,2012,57387,1200,96,20.79,1,7,0,14,13.51,7.1,13.13,96,50.24,1
CAR00219,Kia,2012,74643,1600,131,18.66,2,8,0,14,12.26,7.6,18.77,131,58.9,1
CAR00220,Maruti,2020,93829,1800,113,13.08,1,6,0,6,18.0,7.5,21.34,113,35.34,1
CAR00221,Mercedes,2022,95737,1200,92,17.82,2,7,0,4,51.44,4.3,19.39,92,49.18,1
CAR00222,Maruti,2025,49999,1000,58,20.12,4,2,2,1,12.39,7.0,30.74,58,88.3,1
CAR00223,Toyota,2020,60291,2200,123,15.99,2,5,0,6,41.41,6.9,18.66,123,68.62,1
CAR00224,Maruti,2015,73814,1000,72,20.38,1,5,0,11,18.96,9.6,17.56,72,67.64,1
CAR00225,Honda,2024,58118,2500,190,15.09,1,5,0,2,17.16,9.2,38.76,190,48.85,1
CAR00226,Ford,2020,133980,1500,118,17.45,2,5,0,6,3.65,6.0,14.26,118,53.79,1
CAR00227,Honda,2014,81071,2000,130,15.96,2,7,1,12,27.08,5.6,13.86,130,50.33,1
CAR00228,Honda,2018,90476,2200,121,17.9,2,12,1,8,5.5,8.4,16.37,121,59.64,1
CAR00229,Maruti,2017,87591,1000,69,20.53,1,7,1,9,30.92,7.5,18.9,69,25.31,1
CAR00230,Mercedes,2019,110217,2000,111,17.1,3,6,1,7,13.92,7.7,22.68,111,34.06,1
CAR00231,Hyundai,2022,70517,2200,127,15.89,1,5,0,4,6.35,6.0,30.48,127,21.9,1
CAR00232,Mercedes,2020,36264,2000,130,15.19,2,5,1,6,57.18,7.4,29.35,130,64.95,1
CAR00233,Kia,2025,77808,1600,109,16.82,2,6,1,1,41.95,6.6,23.19,109,64.55,1
CAR00234,Hyundai,2016,48486,1000,63,21.27,2,5,0,10,43.09,6.0,14.23,63,37.02,1
CAR00235,Maruti,2012,51239,3000,217,15.37,1,7,0,14,12.2,7.0,25.95,217,35.92,1
CAR00236,Toyota,2014,84627,1600,91,16.13,2,7,1,12,66.09,7.3,13.74,91,64.67,1
CAR00237,Mercedes,2021,113479,2200,131,15.91,1,7,0,5,17.83,5.9,19.31,131,64.2,1
CAR00238,Toyota,2023,65625,2200,167,16.71,2,8,1,3,7.98,7.0,26.46,167,82.49,1
CAR00239,Hyundai,2019,74691,1200,71,19.44,1,8,1,7,17.57,6.6,17.35,71,33.54,1
CAR00240,Kia,2022,139824,1000,74,19.99,1,5,0,4,38.78,7.2,22.35,74,47.72,1
CAR00241,Ford,2017,72438,2500,142,12.63,1,6,0,9,26.39,7.0,16.68,142,52.5,1
CAR00242,Tata,2019,209588,2500,168,12.51,3,7,1,7,16.75,9.7,29.59,168,61.32,1
CAR00243,Tata,2020,83836,2200,133,18.05,2,6,0,6,7.88,7.8,22.75,133,69.34,1
CAR00244,Honda,2015,29431,2500,146,17.88,2,6,2,11,21.12,6.9,13.74,146,47.62,1
CAR00245,Kia,2012,91231,1500,108,14.75,2,4,0,14,5.76,8.8,21.58,108,54.39,1
CAR00246,BMW,2025,77162,1200,99,18.52,3,8,1,1,29.86,4.8,23.34,99,43.72,1
CAR00247,Kia,2012,116138,2200,125,17.34,1,5,0,14,8.84,8.2,13.73,125,21.2,1
CAR00248,Maruti,2021,87998,2500,169,10.45,2,6,1,5,42.02,7.8,31.59,169,33.08,1
CAR00249,BMW,2015,61074,1000,76,17.0,2,6,2,11,6.29,7.9,20.91,76,40.64,1
CAR00250,Mercedes,2023,37467,3000,207,13.24,1,2,1,3,16.58,6.8,24.04,207,61.2,1
CAR00251,BMW,2025,59165,1600,127,16.23,1,10,1,1,18.66,8.6,25.02,127,7.9,1
CAR00252,Maruti,2018,44330,1600,97,17.85,1,6,1,8,2.98,8.0,27.94,97,61.53,1
CAR00253,Audi,2013,50056,1500,126,20.66,1,6,0,13,39.93,8.6,21.78,126,61.64,1
CAR00254,BMW,2014,84711,2000,133,14.58,1,7,0,12,13.66,6.4,18.42,133,40.86,1
CAR00255,Honda,2012,137806,1000,65,19.24,1,4,4,14,32.6,8.9,3.56,65,88.08,1
CAR00256,BMW,2016,77633,2000,162,15.6,2,13,0,10,8.0,6.8,23.42,162,55.07,1
