Customer_ID,Age,Annual_Income,Credit_Limit,Bill_Amount,Payment_Amount,Total_Transactions,Late_Payments,Credit_Utilization,Months_With_Bank,Employment_Type,Education_Level,Marital_Status,Card_Type,Region,Default
CUST100040,27,140508.0,81659.0,46956.0,35361.0,24,2,57.5,47,Self-Employed,Master,Married,Gold,South,0
CUST100041,41,92957.0,27118.0,14475.0,3137.0,29,4,53.38,77,Salaried,Master,Single,Standard,South,0
CUST100042,29,28437.0,14030.0,9880.0,3612.0,21,0,70.42,69,Self-Employed,High School,Married,Standard,West,0
CUST100043,59,115927.0,56469.0,33203.0,29953.0,20,2,58.8,17,Salaried,Bachelor,Single,Standard,South,1
CUST100044,38,37542.0,9789.0,3631.0,1661.0,22,3,37.09,55,Salaried,Bachelor,Married,,North,0
CUST100045,24,52626.0,8810.0,1909.0,979.0,24,0,21.67,48,Salaried,Bachelor,Married,Platinum,East,0
CUST100046,45,74589.0,26451.0,8435.0,4629.0,19,2,31.89,34,Salaried,High School,Married,Gold,West,0
CUST100047,34,194806.0,57389.0,26774.0,13546.0,24,1,46.65,8,Unemployed,Master,Married,Platinum,West,0
CUST100048,70,350000.0,150000.0,24297.0,11850.0,28,2,16.2,66,Salaried,Master,Widowed,Platinum,West,0
CUST100049,29,90748.0,49928.0,18557.0,8704.0,13,6,,63,Salaried,Bachelor,Married,Gold,West,0
CUST100050,46,58770.0,22245.0,17506.0,8317.0,25,1,78.7,85,Student,Master,Single,Standard,North,0
CUST100051,22,87214.0,39530.0,35652.0,9529.0,27,1,90.19,19,Salaried,Bachelor,Single,Standard,West,0
CUST100052,40,105911.0,47886.0,22480.0,13852.0,25,2,46.94,121,Salaried,,Married,Platinum,North,0
CUST100053,48,54490.0,30709.0,3624.0,1049.0,25,2,11.8,24,Salaried,Master,Single,Gold,West,0
CUST100054,67,174470.0,63246.0,36539.0,15900.0,20,0,57.77,100,Salaried,Bachelor,Married,Gold,North,0
CUST100055,27,73768.0,21225.0,2380.0,906.0,24,0,11.21,24,Self-Employed,Diploma,Married,Signature,West,0
CUST100056,64,85468.0,24146.0,9247.0,4584.0,17,2,38.3,112,Salaried,Bachelor,Widowed,Standard,Central,0
CUST100057,28,93751.0,39197.0,18278.0,10503.0,17,1,46.63,49,Self-Employed,Master,Single,Standard,West,1
CUST100058,67,81962.0,30701.0,16274.0,9124.0,20,3,53.01,40,Salaried,Master,Married,Standard,South,0
CUST100059,55,103111.0,38157.0,27415.0,10445.0,23,4,71.85,46,Business,Bachelor,Married,Standard,Central,0
CUST100060,34,46289.0,9053.0,1168.0,329.0,20,0,12.9,51,Business,Bachelor,Married,Gold,East,0
CUST100061,37,47814.0,24352.0,10011.0,472.0,28,2,41.11,91,Unemployed,Diploma,Divorced,Standard,South,1
CUST100062,56,35492.0,9117.0,2222.0,1204.0,19,0,24.37,36,Salaried,Diploma,Married,Signature,East,0
CUST100063,70,82774.0,20567.0,,601.0,24,4,8.26,108,Self-Employed,High School,Married,Standard,South,0
CUST100064,60,99763.0,35553.0,20546.0,13720.0,23,2,57.79,47,Business,Bachelor,Married,Standard,North,0
CUST100065,24,83610.0,22064.0,17665.0,10029.0,23,3,80.06,180,Student,Master,Married,Gold,North,0
CUST100066,22,163262.0,72150.0,35545.0,12652.0,21,0,49.27,24,Self-Employed,Master,Married,Signature,North,0
CUST100067,26,64800.0,21755.0,10451.0,3053.0,27,1,48.04,71,Unemployed,Bachelor,Single,Gold,South,0
CUST100068,62,93897.0,35160.0,28404.0,9754.0,25,1,80.78,26,Salaried,Bachelor,Single,Standard,Central,0
CUST100069,24,35657.0,14925.0,575.0,455.0,20,2,3.85,21,Salaried,Diploma,Widowed,Standard,South,0
CUST100070,49,52535.0,13227.0,6506.0,4338.0,21,1,49.19,61,Salaried,Diploma,Married,Platinum,North,0
CUST100071,38,95291.0,21715.0,7374.0,2819.0,22,5,33.96,50,Salaried,Bachelor,Single,Standard,South,0
CUST100072,46,103689.0,61198.0,29609.0,6910.0,18,2,48.38,46,Salaried,Bachelor,Single,Standard,Central,0
CUST100073,64,55296.0,20286.0,8312.0,3881.0,17,3,40.97,73,Self-Employed,High School,Married,Standard,West,0
CUST100074,54,62490.0,22249.0,8538.0,3243.0,22,4,38.37,30,Self-Employed,High School,Widowed,Standard,East,0
CUST100075,30,28207.0,4733.0,1212.0,741.0,22,2,25.61,39,Salaried,Bachelor,Divorced,Signature,North,0
CUST100076,56,53411.0,21310.0,14379.0,2230.0,22,0,67.48,26,Salaried,Diploma,Married,Gold,East,0
CUST100077,34,106070.0,45301.0,31969.0,15903.0,36,1,70.57,87,Unemployed,Bachelor,Divorced,Standard,West,0
CUST100078,51,89188.0,38299.0,19073.0,15612.0,25,1,49.8,41,Salaried,Master,Married,Standard,Central,0
CUST100079,68,85606.0,43104.0,,6681.0,21,1,26.74,148,Salaried,Master,Single,Gold,East,0
CUST100080,35,66804.0,15949.0,9980.0,2459.0,26,1,62.57,180,Salaried,High School,Single,Standard,East,0
CUST100081,28,65253.0,18017.0,12629.0,5655.0,23,2,70.09,44,Salaried,High School,Single,Standard,East,0
CUST100082,34,45205.0,25105.0,14348.0,5490.0,33,3,57.15,41,Salaried,High School,Divorced,Standard,Central,0
CUST100083,43,95463.0,59529.0,37525.0,12341.0,20,1,63.04,60,Salaried,High School,Widowed,Gold,South,0
CUST100084,60,81935.0,17859.0,5652.0,2150.0,18,3,31.65,26,Salaried,Diploma,Single,Platinum,Central,0
CUST100085,41,85200.0,33980.0,20278.0,8598.0,21,3,59.68,51,Salaried,Bachelor,Married,Gold,South,0
CUST100086,36,48670.0,12512.0,2896.0,2113.0,29,1,23.15,66,Business,High School,Widowed,Standard,West,0
CUST100087,65,19887.0,3580.0,2273.0,1356.0,18,2,63.49,111,Salaried,Bachelor,Married,,,0
CUST100088,38,118845.0,37169.0,12090.0,7933.0,18,0,32.53,44,Salaried,Bachelor,Married,Gold,East,1
CUST100089,67,49950.0,11081.0,1464.0,872.0,23,5,13.21,131,Business,Bachelor,Married,Gold,South,0
CUST100090,44,40442.0,20422.0,15114.0,2911.0,16,0,74.01,43,Salaried,Bachelor,Divorced,Platinum,South,0
CUST100091,46,95183.0,39678.0,22923.0,10855.0,13,3,57.77,36,Business,Diploma,Single,Signature,East,0
CUST100092,45,52393.0,11627.0,5914.0,3132.0,18,2,50.86,57,Self-Employed,Bachelor,Divorced,Standard,East,0
CUST100093,65,116437.0,18004.0,8986.0,5399.0,26,1,49.91,68,Student,Master,Single,Standard,South,0
CUST100094,61,91263.0,50567.0,18527.0,15063.0,24,2,36.64,135,Salaried,Bachelor,Divorced,Standard,West,0
CUST100095,49,94666.0,22540.0,12296.0,4681.0,24,3,54.55,115,Business,Diploma,Single,Gold,West,0
CUST100096,35,30665.0,13895.0,3301.0,1292.0,23,1,23.76,29,Self-Employed,Master,Widowed,Standard,East,0
CUST100097,65,126590.0,40314.0,8386.0,3827.0,19,2,20.8,44,Salaried,Master,Single,Standard,West,0
CUST100098,21,75044.0,33225.0,21921.0,6941.0,21,1,65.98,121,Salaried,Doctorate,Widowed,Platinum,North,0
CUST100099,45,53053.0,16331.0,9456.0,2783.0,31,0,57.9,125,Salaried,Diploma,Single,Standard,East,0
CUST100100,27,70334.0,13608.0,9240.0,2381.0,27,3,67.9,63,Business,Bachelor,Single,Platinum,East,0
CUST100101,29,24470.0,6398.0,5245.0,1705.0,20,4,81.98,133,Salaried,Master,Widowed,Standard,East,0
CUST100102,44,81381.0,19859.0,3850.0,596.0,23,3,19.39,180,Self-Employed,Diploma,Married,Standard,East,0
CUST100103,21,36901.0,13432.0,7303.0,6336.0,22,1,54.37,63,Salaried,Bachelor,Married,Gold,West,0
CUST100104,64,30890.0,14801.0,4853.0,2341.0,20,1,32.79,80,Self-Employed,Bachelor,Married,Gold,North,0
CUST100105,28,28137.0,7932.0,4846.0,1762.0,20,1,61.09,7,Salaried,Bachelor,Single,Standard,North,0
CUST100106,44,119865.0,18703.0,5767.0,3317.0,16,0,30.83,53,Salaried,Master,Single,Standard,North,0
CUST100107,31,45984.0,18829.0,13412.0,1456.0,18,2,71.23,41,Business,Bachelor,Divorced,Standard,South,0
CUST100108,37,151099.0,68430.0,41888.0,37045.0,23,2,61.21,78,Salaried,Bachelor,Married,Gold,,0
CUST100109,28,48410.0,30568.0,17305.0,10941.0,30,0,56.61,107,Unemployed,High School,Married,Gold,South,0
CUST100110,55,25415.0,11303.0,1183.0,549.0,22,0,10.47,34,Salaried,Doctorate,Married,Standard,East,0
CUST100111,55,,13563.0,5126.0,3293.0,26,0,37.79,32,Self-Employed,Bachelor,Married,Standard,Central,1
CUST100112,53,128263.0,56013.0,42736.0,20200.0,18,3,76.3,35,Salaried,Bachelor,Divorced,Gold,West,0
CUST100113,25,59659.0,36628.0,19465.0,9813.0,24,3,53.14,160,Salaried,Bachelor,Married,Standard,North,0
CUST100114,62,48078.0,27125.0,17785.0,7513.0,19,1,65.57,71,Salaried,Master,Married,Gold,West,0
CUST100115,59,70980.0,22110.0,2218.0,372.0,27,2,10.03,26,Business,Bachelor,Married,Standard,East,0
CUST100116,61,85658.0,23010.0,2592.0,867.0,30,1,11.26,97,Student,Bachelor,Single,Standard,Central,0
CUST100117,48,120176.0,33808.0,13049.0,7129.0,15,5,38.6,81,Student,Bachelor,Single,Standard,West,0
CUST100118,27,144180.0,57991.0,28144.0,18036.0,22,2,48.53,86,,Master,Married,Signature,Central,0
CUST100119,29,53331.0,27840.0,14134.0,8951.0,21,1,50.77,10,Salaried,Bachelor,Married,Standard,Central,0
CUST100120,28,31345.0,12588.0,3649.0,1106.0,18,3,28.99,32,Unemployed,Doctorate,Married,Standard,North,0
CUST100121,32,51779.0,9522.0,3478.0,1592.0,28,2,36.53,80,Salaried,Master,Widowed,Platinum,West,0
CUST100122,54,75004.0,38386.0,5964.0,452.0,22,1,15.54,42,Student,Bachelor,Divorced,Platinum,East,0
CUST100123,53,,21156.0,9522.0,5126.0,27,2,45.01,78,Salaried,Master,Married,Standard,North,0
CUST100124,68,38396.0,11317.0,2115.0,1444.0,28,2,18.69,87,Unemployed,Bachelor,Single,Gold,East,0
CUST100125,43,78529.0,37856.0,21817.0,1418.0,24,2,57.63,42,Salaried,Diploma,Single,Gold,North,0
CUST100126,44,63284.0,22991.0,9696.0,3868.0,19,1,42.17,62,Salaried,Bachelor,Single,Platinum,West,0
CUST100127,57,66183.0,39350.0,22673.0,801.0,24,3,57.62,49,Self-Employed,Bachelor,Single,Platinum,South,0
CUST100128,55,42829.0,24524.0,6384.0,2978.0,14,1,26.03,100,Self-Employed,High School,Married,Standard,West,1
CUST100129,64,57264.0,23634.0,10349.0,5235.0,24,2,43.79,49,Salaried,Diploma,Married,Gold,West,0
CUST100130,60,39098.0,19383.0,5700.0,1071.0,22,1,29.41,22,Self-Employed,Diploma,Married,Platinum,Central,0
CUST100131,42,106059.0,62752.0,15284.0,3644.0,20,2,24.36,84,Student,Master,Married,Gold,North,0
CUST100132,47,114867.0,45701.0,16418.0,12855.0,10,3,,69,Business,Master,Single,Standard,West,0
CUST100133,55,23547.0,7220.0,1546.0,792.0,22,2,21.41,38,Student,Bachelor,Single,Signature,Central,0
CUST100134,21,38984.0,20538.0,13144.0,6602.0,16,3,64.0,35,Salaried,Master,Single,Signature,South,0
CUST100135,55,28540.0,7421.0,3168.0,980.0,29,1,42.69,36,Salaried,Diploma,Married,Signature,West,0
CUST100136,57,45462.0,15651.0,5731.0,2463.0,27,2,36.62,44,Self-Employed,Diploma,Married,Standard,South,0
CUST100137,67,62085.0,36187.0,16461.0,8394.0,23,1,45.49,102,Business,Master,Divorced,Standard,West,0
CUST100138,34,29285.0,15000.0,5198.0,3691.0,28,1,34.65,110,,Bachelor,Single,Gold,East,0
CUST100139,23,39149.0,13777.0,5647.0,2558.0,21,1,40.99,33,Salaried,Bachelor,Single,Platinum,West,0
CUST100140,21,37420.0,9631.0,5318.0,2522.0,20,1,55.22,75,Unemployed,Master,Single,Standard,South,0
CUST100141,25,72849.0,23893.0,9513.0,6837.0,18,2,39.82,59,Salaried,Diploma,Single,Standard,West,0
CUST100142,46,67527.0,19721.0,8053.0,2964.0,26,3,40.83,52,Salaried,Bachelor,Single,Standard,North,0
CUST100143,34,43704.0,10404.0,6629.0,3246.0,22,2,63.72,37,Salaried,Bachelor,Single,Gold,North,0
CUST100144,59,71639.0,37372.0,6333.0,388.0,22,6,16.95,56,Business,Bachelor,Married,Gold,North,0
CUST100145,47,48121.0,13283.0,4004.0,3081.0,26,1,30.14,23,Student,Master,Single,Gold,Central,0
CUST100146,29,55979.0,21109.0,7241.0,5026.0,32,3,34.3,20,Salaried,Diploma,Married,Gold,East,0
CUST100147,35,163169.0,55956.0,40283.0,12875.0,19,2,71.99,47,Self-Employed,High School,Married,Gold,East,0
CUST100148,35,135862.0,87093.0,34874.0,22948.0,22,2,40.04,68,Student,Bachelor,Single,,South,0
CUST100149,46,31805.0,10990.0,3521.0,1854.0,20,3,32.04,109,Self-Employed,Diploma,Married,Gold,East,0
CUST100150,62,102590.0,19491.0,3709.0,1910.0,30,0,19.03,31,Self-Employed,Master,Married,Standard,South,0
CUST100151,33,101561.0,19796.0,5884.0,3897.0,25,6,29.72,68,Salaried,High School,Widowed,Gold,Central,0
CUST100152,52,34565.0,15394.0,8784.0,2263.0,27,0,57.06,29,Self-Employed,Master,Single,Standard,South,0
CUST100153,59,101974.0,45856.0,10862.0,4068.0,24,0,23.69,68,Unemployed,Diploma,Married,Standard,Central,0
CUST100154,69,151449.0,54428.0,26079.0,3802.0,23,2,47.91,62,Salaried,Master,Single,Signature,East,0
CUST100155,52,35057.0,12828.0,9356.0,4756.0,25,0,72.93,65,Salaried,Diploma,Single,Gold,South,0
CUST100156,24,39243.0,6945.0,2827.0,1031.0,17,5,40.71,27,Unemployed,High School,Divorced,Signature,West,0
CUST100157,50,113761.0,46446.0,14417.0,2816.0,21,3,31.04,7,Salaried,Bachelor,Married,Standard,East,1
CUST100158,57,75468.0,30366.0,4677.0,3664.0,24,1,15.4,75,Student,Bachelor,Married,Standard,South,0
CUST100159,43,88032.0,19787.0,9938.0,3953.0,24,3,50.22,127,Student,Bachelor,Married,Standard,South,0
CUST100160,59,78391.0,15829.0,7795.0,6650.0,18,2,49.25,126,Salaried,Bachelor,Married,Standard,South,0
CUST100161,65,80582.0,17066.0,2693.0,2189.0,31,1,15.78,4,Salaried,Master,Married,Standard,South,0
CUST100162,35,31338.0,6284.0,475.0,332.0,18,2,7.56,104,Salaried,Doctorate,Married,Standard,South,0
CUST100163,15,115632.0,52596.0,24574.0,10923.0,25,2,46.72,91,Salaried,Bachelor,Married,Standard,North,1
CUST100164,49,123676.0,30701.0,11082.0,2505.0,18,2,36.1,150,Salaried,Diploma,Married,Standard,Central,0
CUST100165,56,57296.0,15797.0,10003.0,1493.0,29,1,63.32,84,Self-Employed,Diploma,Married,Signature,West,0
CUST100166,33,63464.0,15027.0,2287.0,169.0,27,1,15.22,28,Salaried,High School,Married,Gold,North,0
CUST100167,52,28002.0,17611.0,13805.0,2597.0,22,2,78.39,68,Salaried,Diploma,Married,Standard,West,0
CUST100168,27,86248.0,49792.0,20436.0,9538.0,22,3,41.04,22,Self-Employed,Master,Single,Standard,South,0
CUST100169,42,89034.0,23616.0,10124.0,6679.0,18,2,42.87,55,Self-Employed,Bachelor,Married,Standard,East,0
CUST100170,48,62814.0,19710.0,12461.0,7759.0,19,0,63.22,79,Student,Bachelor,Married,Standard,Central,0
CUST100171,22,120636.0,30756.0,20318.0,12689.0,17,4,66.06,46,Unemployed,Doctorate,Single,Signature,West,0
CUST100172,62,54090.0,21416.0,6910.0,4002.0,23,0,32.27,34,Business,High School,Married,Gold,North,0
CUST100173,65,88670.0,14170.0,7598.0,2252.0,20,4,53.62,61,Salaried,Master,Divorced,Gold,East,0
CUST100174,26,37098.0,18018.0,6483.0,2613.0,22,2,35.98,87,Salaried,Bachelor,Married,Gold,West,0
CUST100175,48,64163.0,26408.0,4784.0,2141.0,28,2,18.12,91,Salaried,Master,Single,Standard,South,0
CUST100176,48,59056.0,35393.0,18309.0,3654.0,23,1,51.73,124,Salaried,High School,Married,Platinum,North,0
CUST100177,64,73575.0,17084.0,5794.0,4344.0,28,1,33.91,58,Business,Bachelor,Single,Standard,North,0
CUST100178,64,53045.0,29284.0,7504.0,2614.0,28,0,25.62,28,Salaried,Bachelor,Married,Standard,Central,0
CUST100179,40,60466.0,33013.0,8599.0,6496.0,26,1,26.05,25,Salaried,Master,Married,Standard,West,0
CUST100180,50,102382.0,21868.0,11370.0,3067.0,25,0,51.99,79,Salaried,Master,Married,Signature,Central,0
CUST100181,31,51120.0,17855.0,6975.0,1477.0,21,0,39.06,116,Salaried,Bachelor,Single,Standard,South,0
CUST100182,48,26864.0,6315.0,2182.0,723.0,29,1,34.55,43,Unemployed,Bachelor,Divorced,Standard,East,0
CUST100183,45,170146.0,47192.0,14367.0,5125.0,18,1,30.44,46,Salaried,Master,Single,Signature,East,0
CUST100184,59,138960.0,39134.0,6091.0,902.0,20,2,15.56,105,Self-Employed,Diploma,Single,Gold,West,0
CUST100185,53,31933.0,13671.0,8195.0,5385.0,14,4,59.94,80,Salaried,Diploma,Married,Gold,South,0
CUST100186,21,94986.0,33787.0,13370.0,8801.0,20,2,,33,Business,High School,Single,Platinum,,0
CUST100187,47,49291.0,30751.0,15140.0,9813.0,17,2,49.23,77,Business,High School,Married,Platinum,East,0
CUST100188,33,75136.0,16018.0,7681.0,2127.0,18,3,47.95,30,Salaried,Master,Married,Platinum,South,0
CUST100189,61,76417.0,48666.0,36580.0,9725.0,15,1,75.17,37,Self-Employed,Bachelor,Single,Platinum,North,0
CUST100190,23,57138.0,15160.0,6021.0,3107.0,32,0,39.72,15,Salaried,Master,Single,Platinum,East,0
CUST100191,59,42238.0,22658.0,5408.0,2817.0,22,2,23.87,37,Student,Master,Married,Standard,East,0
CUST100192,26,44460.0,14204.0,5995.0,3795.0,22,2,42.21,86,Salaried,Bachelor,Single,Gold,North,0
CUST100193,28,39271.0,8700.0,642.0,151.0,17,3,7.38,68,Student,Bachelor,Single,Gold,East,0
CUST100194,47,41136.0,23815.0,8960.0,5993.0,20,3,37.62,54,Self-Employed,Bachelor,Married,Platinum,East,0
CUST100195,29,62642.0,19070.0,10310.0,6188.0,18,2,54.06,28,Salaried,Master,Married,Signature,North,0
CUST100196,57,43848.0,21022.0,4964.0,1651.0,27,3,23.61,71,Salaried,Master,Single,Standard,North,0
CUST100197,53,94587.0,40977.0,28722.0,8871.0,21,3,70.09,27,Salaried,High School,Single,Gold,Central,0
CUST100198,62,147285.0,56834.0,9261.0,7018.0,24,0,16.29,38,Unemployed,Diploma,Single,Standard,North,0
CUST100199,64,47246.0,18800.0,9514.0,2593.0,20,3,50.61,47,Salaried,Bachelor,Married,,South,0
CUST100200,44,74148.0,38269.0,12933.0,8004.0,25,2,33.79,144,Student,Diploma,Single,Gold,South,0
CUST100201,35,85560.0,16589.0,13354.0,3176.0,24,2,80.5,55,Student,Bachelor,Single,Standard,West,0
CUST100202,52,84267.0,40793.0,15982.0,7390.0,14,3,39.18,95,Salaried,Diploma,Widowed,Platinum,West,0
CUST100203,52,67773.0,40522.0,7743.0,4000.0,25,1,19.11,62,Salaried,Bachelor,Single,Platinum,Central,0
CUST100204,44,97794.0,17495.0,11295.0,3667.0,28,2,64.56,111,Salaried,High School,Single,Platinum,South,0
CUST100205,61,84743.0,18671.0,9515.0,4647.0,22,1,,104,Unemployed,Master,Married,Standard,West,0
CUST100206,69,32907.0,16727.0,10417.0,4252.0,25,1,62.28,42,,Bachelor,Single,Platinum,,0
CUST100207,69,104839.0,38648.0,21601.0,9996.0,25,3,55.89,72,Self-Employed,Bachelor,Single,Platinum,South,0
CUST100208,32,105890.0,37249.0,10850.0,8077.0,30,7,29.13,39,Self-Employed,Bachelor,Single,Signature,Central,0
CUST100209,59,42716.0,9333.0,2024.0,444.0,19,1,21.69,73,Salaried,Diploma,Single,Standard,East,0
CUST100210,22,66371.0,26773.0,9674.0,3960.0,29,1,36.13,118,Unemployed,Master,Single,Gold,South,0
CUST100211,23,94653.0,20187.0,3147.0,1020.0,23,4,15.59,83,Unemployed,High School,Single,Platinum,Central,0
CUST100212,69,57932.0,22496.0,13909.0,7776.0,17,5,61.83,70,Salaried,Bachelor,Married,Gold,Central,0
CUST100213,57,117275.0,62368.0,50154.0,17564.0,27,0,80.42,41,Unemployed,High School,Single,Platinum,East,0
CUST100214,69,238535.0,66583.0,38976.0,5251.0,16,4,58.54,42,Unemployed,Bachelor,Married,Gold,North,1
CUST100215,37,42186.0,16469.0,7536.0,5096.0,19,0,45.76,75,Salaried,High School,Married,Standard,North,0
CUST100216,69,30411.0,19646.0,9440.0,6665.0,22,1,48.05,80,Salaried,Bachelor,Divorced,Platinum,East,0
CUST100217,22,76822.0,37898.0,17316.0,11928.0,18,3,45.69,20,Student,Diploma,Married,Gold,Central,0
CUST100218,22,96665.0,55165.0,24456.0,12291.0,22,1,44.33,42,Unemployed,Bachelor,Divorced,Standard,Central,0
CUST100219,48,57249.0,20462.0,3674.0,2736.0,17,3,17.96,63,Salaried,High School,Married,Gold,Central,0
CUST100220,43,144558.0,77184.0,24043.0,2282.0,21,7,31.15,70,Self-Employed,Bachelor,Married,Gold,West,0
CUST100221,57,31129.0,5300.0,2083.0,406.0,18,1,39.3,80,Salaried,Diploma,Married,Gold,Central,0
CUST100222,52,,20121.0,2015.0,308.0,21,0,10.01,29,Salaried,Bachelor,Married,Standard,West,0
CUST100223,53,46580.0,11717.0,5404.0,1893.0,20,0,46.12,78,Unemployed,Bachelor,Married,Standard,West,0
CUST100224,21,167343.0,58733.0,6733.0,1750.0,16,1,11.46,93,Salaried,Bachelor,Single,Platinum,South,0
CUST100225,39,194469.0,111406.0,69712.0,8320.0,18,1,62.57,49,Business,Master,Single,Gold,South,0
CUST100226,22,42637.0,13777.0,4764.0,1292.0,21,5,34.58,39,Salaried,Bachelor,Married,Gold,South,0
CUST100227,64,48045.0,22932.0,16982.0,6174.0,29,4,74.05,101,Salaried,Master,Single,Gold,North,0
CUST100228,46,104288.0,52630.0,36126.0,14682.0,22,3,68.64,61,Salaried,Master,Married,Gold,South,0
CUST100229,52,52534.0,23277.0,9110.0,6466.0,25,1,39.14,45,Salaried,Bachelor,Widowed,Gold,Central,0
CUST100230,26,63397.0,20834.0,4620.0,3826.0,21,1,22.18,71,Unemployed,High School,Single,Standard,Central,0
CUST100231,52,65914.0,28905.0,9278.0,4305.0,19,1,32.1,20,Salaried,Bachelor,Married,Standard,North,0
CUST100232,24,22614.0,7262.0,2236.0,1202.0,27,0,30.79,48,Business,Bachelor,Widowed,Gold,West,0
CUST100233,31,64507.0,12381.0,7184.0,5431.0,20,3,58.02,99,Salaried,High School,Married,Platinum,Central,0
CUST100234,37,44480.0,28752.0,13803.0,2798.0,26,1,48.01,53,Self-Employed,Master,Married,Signature,South,0
