Transaction_ID,Customer_Age,Annual_Income,Purchase_Amount,Transaction_Count,Discount_Percentage,Customer_Tenure_Months,Delivery_Distance_Km,Product_Rating,Customer_Support_Calls,Monthly_Spend,Returns_Count
TXN00036,24,102431.09,13515.86,5,6.21,7,5.92,3.21,3,7775.65,0
TXN00037,38,76964.82,667.78,8,8.84,18,18.3,4.24,2,4408.42,1
TXN00038,18,47624.61,758.26,2,4.82,22,4.06,3.49,6,2293.56,0
TXN00039,23,54208.52,2328.15,6,19.22,3,23.28,4.9,5,4956.75,0
TXN00040,38,35147.64,16983.17,6,15.67,49,6.53,2.12,1,2072.92,0
TXN00041,43,62829.61,2104.97,6,5.78,16,5.27,3.49,1,2681.79,0
TXN00042,38,90482.28,2139.41,1,14.45,16,14.35,4.05,4,4623.01,1
TXN00043,35,19240.29,733.94,10,16.97,32,8.63,3.4,0,3311.18,5
TXN00044,33,66826.8,5586.38,5,13.11,45,4.94,4.87,2,8790.18,2
TXN00045,21,100827.98,5620.89,3,15.06,128,0.72,4.04,1,2204.43,1
TXN00046,29,41993.63,4889.08,0,1.58,6,2.19,3.42,3,789.05,1
TXN00047,31,86729.02,1464.41,7,5.51,13,17.76,4.06,1,8756.43,1
TXN00048,47,342701.08,1371.07,4,3.57,6,30.42,2.9,1,3618.37,1
TXN00049,39,51393.43,832.88,6,13.65,64,2.22,4.26,1,3740.83,0
TXN00050,18,71021.51,2684.74,4,13.3,24,10.11,4.82,2,2015.51,4
TXN00051,39,34042.03,997.95,2,17.85,57,0.5,3.79,0,936.34,2
TXN00052,32,61876.87,918.96,4,13.25,126,4.12,3.89,3,1973.05,1
TXN00053,29,74181.13,1743.95,9,17.03,24,7.15,3.1,1,5216.2,1
TXN00054,42,62425.93,1649.56,4,12.18,4,15.98,3.36,6,3040.29,0
TXN00055,46,28347.28,1582.5,5,16.55,13,0.54,4.63,3,2773.12,1
TXN00056,45,62895.1,3716.45,8,3.28,1,18.24,3.81,2,1065.29,1
TXN00057,28,142274.82,2673.75,2,10.83,57,2.72,5.0,0,12436.8,1
TXN00058,33,73622.19,1956.89,2,22.88,1,17.1,4.29,0,3357.7,2
TXN00059,39,102783.5,2920.78,5,20.05,27,11.79,3.09,0,18031.28,0
TXN00060,46,47147.24,1076.26,4,6.97,3,4.98,5.0,2,4524.49,1
TXN00061,31,89547.42,2734.03,8,18.74,1,15.44,2.88,2,10365.83,1
TXN00062,34,65947.39,2841.42,6,22.95,9,3.24,3.62,0,2117.66,3
TXN00063,25,29643.45,696.77,9,7.72,24,2.98,4.01,2,1212.52,2
TXN00064,24,67651.66,5827.75,7,22.06,2,0.76,4.1,3,3071.65,0
TXN00065,44,28867.9,1181.84,2,13.67,29,5.99,3.45,2,5179.82,1
TXN00066,50,36450.71,2699.47,8,26.56,33,1.23,3.89,4,5588.95,2
TXN00067,35,62202.59,6726.4,3,17.3,105,6.53,4.82,2,4613.24,1
TXN00068,46,66722.48,5491.03,5,16.85,69,0.5,4.83,2,17409.28,0
TXN00069,40,25389.41,2574.03,4,14.53,25,2.02,5.0,5,4604.55,1
TXN00070,30,109117.35,1837.06,5,13.47,47,32.32,3.28,2,2817.09,0
TXN00071,40,79769.18,5593.9,4,15.81,14,19.05,4.09,3,2972.13,0
TXN00072,51,34787.55,4436.13,8,27.21,26,3.23,4.2,3,1991.8,0
TXN00073,36,20244.9,1477.99,0,29.67,15,15.2,2.61,3,4297.29,1
TXN00074,52,50056.14,1272.05,7,8.46,12,13.25,3.67,2,7462.26,0
TXN00075,18,41160.12,429.47,4,3.91,39,2.34,4.27,3,9384.41,1
TXN00076,44,59197.21,2849.71,5,39.82,11,5.56,3.78,3,2843.36,2
TXN00077,37,43436.82,2330.3,2,60.0,14,29.4,3.4,3,3372.87,1
TXN00078,33,14916.77,6566.98,3,15.18,14,16.11,4.14,4,2233.67,2
TXN00079,37,42730.27,3392.23,3,19.7,61,17.14,4.73,0,6893.54,2
TXN00080,18,45090.91,7770.9,1,7.1,6,9.96,4.02,5,1474.85,1
TXN00081,34,83030.9,1382.0,3,17.08,14,13.14,2.36,3,2111.43,3
TXN00082,40,34935.5,6577.92,4,27.01,66,8.53,4.72,1,190.59,2
TXN00083,51,163771.43,1594.74,4,6.98,1,16.21,2.98,3,1533.11,0
TXN00084,31,15875.34,4841.61,7,6.34,89,15.83,3.04,3,2314.1,2
TXN00085,28,128971.58,723.5,9,15.25,69,0.5,4.05,2,2447.88,3
TXN00086,31,47537.83,3053.09,1,11.92,16,11.99,4.06,3,1413.89,0
TXN00087,45,96164.8,462.69,3,20.63,32,11.92,3.41,0,1587.03,0
TXN00088,39,57928.19,1992.17,5,11.41,142,0.84,4.38,1,8464.34,1
TXN00089,31,115358.46,3634.94,1,6.19,24,6.34,3.85,2,2027.52,0
TXN00090,41,42757.64,1605.55,3,26.18,3,27.49,2.78,4,986.37,1
TXN00091,37,26929.7,1023.7,5,20.06,58,36.8,3.15,1,1686.7,1
TXN00092,46,138471.01,5131.98,7,6.71,4,18.29,3.64,6,1702.46,0
TXN00093,29,51089.08,2289.53,4,8.04,9,1.97,3.88,3,3331.82,2
TXN00094,33,63519.45,1648.98,6,1.5,62,5.63,3.47,3,4501.88,0
TXN00095,32,122722.04,2590.63,4,35.74,9,2.42,2.56,2,1356.97,2
TXN00096,21,28122.28,23510.79,3,35.27,41,12.67,3.36,0,4318.79,3
TXN00097,39,80996.2,6664.32,5,14.02,18,17.8,4.31,3,9323.89,4
TXN00098,39,37483.53,6715.9,4,19.0,43,25.83,3.89,3,7127.64,1
TXN00099,36,50472.22,3620.11,4,12.39,8,23.65,4.49,2,5249.95,1
TXN00100,34,57645.63,2880.04,4,3.93,16,1.25,4.39,1,4656.06,0
TXN00101,22,450000.0,75000.0,5,19.31,11,150.0,2.63,6,60000.0,1
TXN00102,32,33151.54,1403.76,4,5.22,9,28.85,3.38,2,9449.63,0
TXN00103,33,132360.67,1661.64,8,11.56,11,22.28,4.32,0,4726.72,0
TXN00104,28,97842.34,507.95,3,20.19,12,7.4,4.19,1,1993.11,1
TXN00105,34,52805.61,934.72,5,17.83,93,6.75,4.19,5,3149.44,3
TXN00106,40,64416.09,464.21,4,9.43,23,9.66,4.54,3,2180.98,2
TXN00107,55,45425.59,2419.87,3,6.78,19,10.89,4.73,0,3175.79,1
TXN00108,38,132835.61,5014.04,5,45.13,21,3.52,2.62,2,8195.54,0
TXN00109,39,48284.18,6404.81,5,14.7,167,6.2,3.55,1,3093.69,1
TXN00110,35,63945.46,3556.79,5,9.95,32,11.6,4.29,5,2006.81,0
TXN00111,18,115844.96,1102.31,2,2.43,36,2.77,4.39,4,7251.72,0
TXN00112,36,33183.13,483.86,4,12.34,11,81.04,5.0,1,8553.43,0
TXN00113,37,151494.02,561.55,4,1.46,19,3.99,4.88,3,2019.83,0
TXN00114,61,20338.86,850.15,7,10.14,6,9.65,4.64,5,9862.33,1
TXN00115,34,158634.14,1174.4,2,5.36,35,9.69,3.51,2,6865.55,3
TXN00116,39,43167.77,2182.57,3,23.61,13,7.21,4.44,1,2378.39,2
TXN00117,36,46973.28,1055.75,4,15.9,41,3.32,5.0,1,8215.22,1
TXN00118,24,16100.12,3334.83,5,9.86,7,10.0,4.89,0,1477.62,2
TXN00119,47,40924.0,2052.09,7,6.97,16,1.15,4.11,3,2498.19,0
TXN00120,44,27979.13,2522.51,5,10.48,19,5.87,4.86,2,1626.29,2
TXN00121,44,37053.51,6589.67,3,20.32,5,3.05,4.0,1,1766.71,1
TXN00122,27,50303.82,916.76,2,12.94,2,1.59,4.01,0,6350.45,4
TXN00123,50,102503.58,3568.66,5,15.89,11,31.16,3.69,3,3464.3,0
TXN00124,22,62945.88,2470.48,7,22.74,24,14.45,2.88,2,1608.03,1
TXN00125,42,67176.47,1882.93,5,14.06,32,2.22,4.52,3,2316.46,1
TXN00126,58,26984.04,5305.58,5,3.89,17,35.8,3.78,2,2197.93,4
TXN00127,26,31026.54,5277.5,7,5.38,21,2.92,3.95,2,4171.85,1
TXN00128,30,177062.8,1118.26,7,23.82,24,3.22,4.21,3,17183.44,1
TXN00129,37,34105.29,2141.39,10,10.09,22,1.72,3.44,0,4042.16,1
TXN00130,31,161397.22,3175.04,4,10.79,3,15.62,4.47,4,4233.87,1
TXN00131,20,46962.22,1982.25,4,19.38,16,10.15,3.75,3,10294.13,2
TXN00132,37,55081.85,4110.56,0,32.61,7,0.72,3.77,3,2393.52,2
TXN00133,25,110285.29,3174.99,3,24.35,23,0.5,1.63,1,8897.57,1
TXN00134,41,125720.76,11869.45,3,50.27,43,9.13,3.96,5,2600.26,1
TXN00135,27,51177.76,680.83,2,12.26,26,12.65,3.2,2,2719.97,2
TXN00136,51,42733.16,2252.9,9,8.71,8,20.77,3.6,1,2778.68,1
TXN00137,28,53036.74,1154.96,8,1.26,7,7.81,3.31,2,3247.39,0
TXN00138,33,68511.77,4177.79,8,9.11,1,13.54,3.36,5,3096.61,0
TXN00139,44,98168.03,632.35,4,45.15,17,15.88,3.69,1,4497.59,2
TXN00140,24,55151.43,3355.69,10,17.39,17,11.39,4.19,2,2600.65,1
TXN00141,38,82237.33,1463.38,3,20.8,8,5.21,4.9,4,3754.97,2
TXN00142,49,159535.59,1339.44,2,8.93,43,1.7,3.96,4,1132.7,0
TXN00143,20,70469.81,731.08,2,10.08,15,12.51,3.53,3,6052.4,2
TXN00144,38,67350.31,1683.67,2,11.74,33,17.57,3.63,4,7730.56,2
TXN00145,39,20492.13,6284.69,6,21.83,31,2.53,4.52,1,4087.21,0
TXN00146,44,9947.87,2447.04,2,9.05,28,8.2,4.15,3,5907.73,0
TXN00147,24,70794.22,4262.34,9,5.75,72,6.07,2.97,2,1947.53,0
TXN00148,23,51712.39,10290.66,8,17.36,1,2.76,3.36,2,10125.64,1
TXN00149,41,39358.99,3128.28,4,28.79,2,3.38,3.86,2,3998.42,0
TXN00150,39,64433.12,1554.74,4,1.77,38,3.26,3.69,2,1137.89,2
TXN00151,39,52882.41,3719.0,3,9.52,13,6.51,3.43,1,8195.09,4
TXN00152,39,114478.88,1574.03,9,1.86,129,5.94,3.68,1,5784.47,1
TXN00153,29,58166.25,1628.29,10,10.08,7,9.69,4.01,1,12973.45,4
TXN00154,38,33846.41,686.86,5,1.42,6,1.17,4.08,3,11217.49,1
TXN00155,39,104683.47,5493.74,5,22.8,27,10.45,3.84,4,8953.41,0
TXN00156,29,47760.45,1800.72,9,7.15,10,0.5,4.46,2,4877.09,1
TXN00157,55,77446.09,2918.51,2,26.15,12,3.57,4.13,2,5765.45,3
TXN00158,41,40326.8,1036.37,5,42.11,76,8.37,3.1,1,1644.96,1
TXN00159,24,36051.4,3621.35,5,9.52,1,13.94,3.57,3,2883.09,1
TXN00160,43,58092.85,1308.18,8,4.15,23,17.7,3.71,6,28267.9,0
TXN00161,26,55460.54,2216.3,6,21.55,12,0.5,3.7,2,1044.35,0
TXN00162,44,75130.06,5272.17,6,17.78,13,9.25,3.26,1,4348.94,1
TXN00163,48,46187.7,4896.09,7,14.45,9,5.25,3.43,0,3404.68,2
TXN00164,28,16671.48,2453.62,5,13.37,4,14.25,4.44,3,6360.49,1
TXN00165,46,41513.98,556.2,5,12.68,1,4.01,3.12,3,4022.06,2
TXN00166,40,92140.56,31822.7,7,5.23,132,16.34,3.61,4,8190.4,2
TXN00167,44,45333.16,11026.16,4,19.59,32,11.06,4.69,1,3537.31,2
TXN00168,55,46860.92,4620.78,4,12.85,45,18.71,3.76,3,6017.96,0
TXN00169,34,104425.92,1317.94,6,25.08,2,49.92,5.0,2,4521.04,1
TXN00170,28,34624.12,2269.9,6,10.39,1,28.71,4.94,5,2853.75,3
TXN00171,27,20176.35,1575.2,4,4.77,28,10.8,2.29,2,2582.97,0
TXN00172,28,49547.06,7319.69,3,19.05,39,26.9,3.05,1,8561.42,1
TXN00173,35,40149.91,3124.95,3,11.92,15,1.99,3.85,2,5420.7,0
TXN00174,39,29349.43,1283.71,10,10.65,15,0.53,3.59,3,7029.42,0
TXN00175,39,49074.38,1675.56,6,10.65,15,9.14,4.3,3,8424.29,1
TXN00176,44,75702.55,6483.76,6,18.66,5,43.97,4.26,1,2435.89,1
TXN00177,36,54668.93,9741.29,4,21.5,42,14.84,2.75,1,2895.58,2
TXN00178,51,67146.1,9164.82,1,9.83,7,4.37,4.62,0,2757.16,1
TXN00179,33,178760.73,4757.72,5,13.24,12,13.26,5.0,3,7203.4,1
TXN00180,63,44011.98,2016.9,7,12.09,33,0.5,2.85,5,3729.87,2
TXN00181,42,65908.0,158.98,4,11.21,1,7.63,3.54,4,3979.06,1
TXN00182,27,39501.73,3218.38,3,36.61,44,3.25,3.58,4,1672.7,1
TXN00183,25,31727.99,2496.12,5,26.79,69,0.61,4.68,2,6231.32,0
TXN00184,41,37605.23,2815.88,7,12.11,2,3.45,4.86,1,6377.43,1
TXN00185,34,40291.48,2617.2,9,15.04,27,15.38,3.5,0,5183.45,0
TXN00186,43,69476.77,809.75,2,22.1,16,9.61,3.48,2,3922.51,0
TXN00187,41,253213.36,4015.2,6,6.28,2,0.5,4.51,2,7264.76,1
TXN00188,35,34532.64,4278.81,2,6.33,34,6.33,3.65,1,3381.96,1
TXN00189,28,41952.03,4465.04,3,7.73,28,16.74,3.96,1,9454.37,2
TXN00190,21,52789.02,5589.45,5,30.52,31,37.11,4.47,4,5772.93,0
TXN00191,32,71136.63,4177.59,3,9.59,50,24.89,4.31,1,1446.59,1
TXN00192,45,65277.1,1764.32,4,22.57,10,0.5,4.0,6,3187.63,1
TXN00193,38,126721.97,2353.91,5,6.97,34,2.96,2.88,1,4393.9,0
TXN00194,24,11360.91,2701.34,4,16.82,41,2.79,4.22,3,2149.25,2
TXN00195,38,11656.09,2739.66,5,9.51,6,6.39,4.5,2,7451.8,2
TXN00196,40,39845.62,5840.26,2,3.85,94,12.45,4.33,5,877.66,2
TXN00197,27,112233.14,4320.66,4,8.99,12,1.99,2.84,1,6143.64,2
TXN00198,38,19878.96,14614.77,5,23.86,38,29.68,4.37,2,5674.64,3
TXN00199,37,7786.35,16310.18,6,17.33,42,18.01,3.31,5,870.68,1
TXN00200,25,79726.32,2675.12,10,7.86,21,6.52,2.12,3,3763.0,3
TXN00201,40,64438.44,95.86,5,16.4,4,10.52,3.69,3,2581.27,1
TXN00202,42,27077.35,7153.48,6,4.1,10,9.37,3.0,1,9440.73,0
TXN00203,47,28983.67,1579.28,7,5.2,8,10.47,3.8,4,1947.44,0
TXN00204,47,29282.78,1264.95,4,17.01,22,23.6,2.93,0,6123.81,2
TXN00205,22,59097.06,1781.78,7,33.12,9,2.68,3.65,0,7039.85,3
TXN00206,27,36606.59,1710.26,6,6.61,24,13.81,2.66,5,2658.99,1
TXN00207,41,75828.54,4206.87,2,5.03,10,1.36,3.33,2,8681.39,3
TXN00208,41,8600.55,664.16,3,19.17,1,7.38,4.04,3,2616.65,0
TXN00209,41,31512.35,1000.23,4,21.76,14,12.12,5.0,1,8895.46,1
TXN00210,75,26453.75,3346.7,4,27.72,28,0.5,3.6,2,21667.54,3
TXN00211,42,46558.6,4245.22,5,19.93,45,1.37,3.79,4,6712.23,0
TXN00212,47,38768.27,4312.86,7,4.91,1,1.15,4.36,4,5372.44,5
TXN00213,46,92381.95,1280.58,3,2.81,9,5.63,4.08,4,2513.27,1
TXN00214,43,16424.34,1088.46,3,28.93,127,11.67,4.12,3,12841.73,2
TXN00215,33,56650.6,1625.23,6,10.77,9,66.15,4.29,1,6517.74,2
TXN00216,44,79063.54,3065.41,3,51.37,45,3.52,3.53,2,2535.67,2
TXN00217,28,183856.22,8836.99,9,16.3,21,1.75,3.25,8,9995.59,1
TXN00218,34,40212.8,438.66,7,7.1,4,6.43,4.0,1,3779.84,2
TXN00219,31,67913.26,2072.33,5,5.97,31,1.89,2.17,3,5621.26,2
TXN00220,37,17027.38,805.34,6,9.7,102,0.5,2.36,2,2626.05,2
TXN00221,59,11618.07,613.78,6,34.2,65,9.96,4.85,3,1814.4,0
TXN00222,18,95243.48,5687.12,3,12.45,35,25.4,4.59,0,1881.64,1
TXN00223,43,54801.58,3971.81,8,26.42,22,23.67,3.32,2,2679.94,1
TXN00224,20,118316.88,3663.1,10,12.13,12,1.27,2.94,3,5012.77,2
TXN00225,31,22524.9,5469.37,6,6.54,13,1.91,4.18,0,2840.84,0
TXN00226,47,77112.82,1662.84,7,9.63,13,8.11,4.29,3,2011.45,1
TXN00227,37,185316.43,1730.74,2,43.72,77,5.5,3.18,1,1798.56,1
TXN00228,25,72250.69,16025.19,5,19.74,7,14.57,3.71,1,8493.49,1
TXN00229,29,65832.34,2027.3,8,5.99,14,8.2,2.54,4,3212.38,2
TXN00230,43,55306.73,4669.97,6,2.45,17,0.5,3.49,1,889.06,2
TXN00231,29,19811.45,2513.6,2,11.27,16,4.02,3.63,3,3481.08,2
TXN00232,38,132748.4,519.58,3,2.73,1,27.81,3.91,1,2616.9,3
TXN00233,36,36976.25,439.71,10,4.79,9,8.6,5.0,4,4038.56,2
TXN00234,29,76343.84,1528.3,3,13.48,21,19.19,2.97,5,2353.03,0
TXN00235,57,19912.76,6134.8,4,19.49,43,6.18,4.85,0,8615.61,1
TXN00236,42,25551.2,4885.83,9,9.3,25,13.56,3.39,1,3143.66,2
TXN00237,18,139789.82,5437.16,2,25.98,15,2.22,3.32,3,3020.69,1
TXN00238,38,43885.62,1080.37,5,12.16,33,16.01,4.53,1,2805.36,2
TXN00239,29,141452.26,9872.79,1,4.29,33,18.53,3.31,1,4876.1,2
TXN00240,45,52273.17,1100.9,5,30.99,9,1.13,3.18,8,4614.56,1
TXN00241,28,16611.57,2995.74,9,13.84,3,2.43,4.23,5,2662.25,3
TXN00242,35,98216.78,2478.1,2,8.63,49,7.46,4.13,3,3558.94,2
TXN00243,41,37483.59,2156.52,5,14.28,23,12.17,3.43,3,2931.91,0
TXN00244,45,86615.68,7799.77,6,12.57,6,12.18,5.0,4,6344.31,2
TXN00245,24,55908.71,1372.93,7,40.06,9,13.24,3.45,3,1419.94,0
TXN00246,33,20172.22,793.84,3,41.18,44,15.04,2.68,3,2757.54,1
TXN00247,31,61198.63,2542.85,7,22.35,32,8.46,2.98,3,3052.25,0
TXN00248,29,229264.93,1779.69,7,21.92,87,10.26,2.96,1,9290.95,0
TXN00249,54,75775.45,44126.75,6,2.01,19,0.5,3.54,4,7968.56,0
TXN00250,40,52981.7,4442.97,4,11.96,2,2.19,4.8,3,4605.59,1
TXN00251,23,110642.73,1765.35,10,8.81,36,8.28,2.53,3,1744.86,3
TXN00252,45,63071.42,1018.77,6,8.52,9,16.43,4.99,4,3643.09,1
TXN00253,57,63024.93,505.63,8,20.38,12,19.86,3.3,7,13046.45,2
TXN00254,46,27052.43,1045.88,3,32.26,7,15.67,3.39,3,3154.02,2
TXN00255,21,64028.89,2756.58,6,15.78,11,8.0,3.23,3,3829.74,2
TXN00256,31,107810.11,8410.83,9,2.51,53,3.96,3.42,3,3987.84,0
TXN00257,49,31941.07,6486.52,3,2.1,26,7.06,3.61,1,1930.78,0
TXN00258,29,138830.74,3037.46,7,4.9,3,0.5,3.69,1,1986.71,0
TXN00259,40,51817.31,1899.51,4,15.76,27,10.93,3.99,9,1985.28,2
TXN00260,44,30885.38,3141.75,3,21.0,30,0.93,2.32,2,2840.48,1
TXN00261,27,105192.71,1608.74,9,8.64,65,1.89,3.69,1,4769.8,1
TXN00262,35,45646.04,10771.46,4,33.48,59,11.8,4.13,5,3942.12,3
TXN00263,18,90108.8,2128.63,4,39.48,2,0.5,3.74,2,4992.46,0
TXN00264,26,45498.99,2323.1,3,12.56,60,10.23,3.6,2,15879.84,0
TXN00265,33,52902.27,380.16,2,20.78,2,12.21,3.43,1,21523.9,0
TXN00266,24,75803.72,2117.36,3,23.96,5,18.63,4.53,1,3737.63,1
TXN00267,52,66447.77,5090.12,6,28.53,4,0.85,4.12,2,6679.18,1
TXN00268,22,15032.85,1008.76,12,26.23,6,0.5,3.64,4,5551.88,1
TXN00269,32,26536.6,1320.72,7,17.89,49,17.47,4.15,1,7438.14,3
TXN00270,37,100629.92,4904.22,4,12.19,35,4.11,4.44,2,7256.86,1
TXN00271,50,50473.3,712.58,7,7.66,35,26.19,2.83,5,2418.18,0
TXN00272,22,39130.72,6143.67,5,11.6,77,2.45,4.15,6,14008.87,2
TXN00273,48,22743.06,1590.37,8,5.55,15,10.57,3.2,3,10221.89,1
TXN00274,36,27262.29,1796.8,4,21.57,1,1.39,4.7,2,6885.15,2
TXN00275,26,14778.36,961.75,7,19.66,31,6.18,3.13,4,5656.07,1
TXN00276,41,51495.82,3447.43,5,6.78,61,25.65,3.78,1,4625.77,1
TXN00277,38,37275.97,20230.31,2,2.18,112,11.25,3.99,3,4040.73,2
TXN00278,30,29342.91,4857.69,4,20.75,14,14.04,2.49,3,6074.62,3
TXN00279,37,52617.72,1199.19,6,12.54,52,3.07,2.33,1,4180.33,0
TXN00280,32,69680.05,6563.79,6,22.76,57,30.73,3.5,2,4560.11,0
TXN00281,37,214414.67,1910.02,4,17.58,5,11.72,4.97,3,3558.29,0
TXN00282,43,20585.95,8041.4,3,12.38,30,1.34,3.67,3,3187.74,0
TXN00283,52,116854.65,4962.78,4,15.13,6,0.5,4.13,3,13380.23,1
TXN00284,24,103528.73,204.87,5,21.46,18,0.5,1.61,5,4056.11,0
TXN00285,57,33146.03,1064.84,7,16.25,63,0.63,4.38,4,2867.64,1
TXN00286,18,62767.45,5579.05,10,12.69,47,29.11,4.14,3,4290.29,0
TXN00287,34,40848.56,2843.97,7,8.86,25,5.33,4.26,0,1640.23,2
TXN00288,42,62055.6,1047.18,5,3.35,50,4.25,3.83,4,7383.59,0
TXN00289,39,146682.2,1458.98,3,11.26,5,6.47,2.9,2,3854.87,1
TXN00290,30,81530.5,494.6,4,6.36,7,6.32,3.27,2,3039.1,1
TXN00291,34,76548.81,2319.09,4,33.0,7,3.27,3.16,1,2828.79,2
TXN00292,31,41580.53,16368.8,8,54.96,45,1.16,4.18,2,1265.88,4
TXN00293,30,20961.69,4955.43,8,10.31,66,1.38,3.64,0,13717.07,1
TXN00294,44,48030.15,16089.15,4,23.68,25,10.97,4.38,6,4393.19,0
TXN00295,40,120497.44,5292.7,4,22.19,95,6.07,4.24,1,13581.08,1
TXN00296,29,20382.45,5987.35,8,16.81,39,27.93,5.0,3,3206.58,2
TXN00297,45,27702.57,13386.65,4,11.0,25,7.48,3.87,3,5288.47,1
TXN00298,39,59704.49,3445.14,6,10.78,28,8.4,3.64,1,6431.14,1
TXN00299,44,29000.34,2132.19,6,9.96,57,31.61,3.87,1,5417.35,1
TXN00300,42,32857.92,6013.76,1,11.58,3,8.36,1.93,4,2802.82,1
TXN00301,28,41762.3,8602.52,5,6.86,6,8.37,3.54,4,1112.79,0
TXN00302,30,22639.18,1662.5,3,18.53,9,5.41,4.23,6,18659.92,0
TXN00303,43,29199.57,1353.86,9,12.78,68,14.87,3.59,2,2304.31,1
TXN00304,42,86882.91,2813.19,4,19.9,87,5.98,3.62,2,22695.13,1
TXN00305,36,23512.75,5068.6,8,10.63,13,10.65,3.58,1,2518.41,1
TXN00306,37,19466.91,4926.69,8,11.24,77,7.12,4.9,2,10085.67,1
TXN00307,49,36518.43,745.09,2,15.91,24,9.03,3.98,2,5786.79,2
TXN00308,30,88509.0,12694.34,6,17.13,19,21.06,3.68,1,5975.09,1
TXN00309,41,48391.98,1449.62,9,28.42,54,6.41,5.0,1,2474.89,1
TXN00310,34,40664.5,1995.68,4,25.87,24,3.14,2.87,0,2890.36,1
TXN00311,34,56608.91,1160.71,4,12.65,18,10.14,3.31,2,2919.23,2
TXN00312,47,17683.35,24775.87,6,3.69,1,33.27,3.03,2,4242.28,4
TXN00313,44,75860.18,3071.15,13,20.76,1,14.18,3.25,0,3298.44,1
TXN00314,44,70567.24,1212.84,6,18.79,30,4.42,4.66,0,2632.84,0
TXN00315,49,42152.02,5210.24,8,15.25,2,39.56,3.09,3,1977.62,2
TXN00316,36,105761.24,4806.92,8,2.98,40,5.04,3.81,2,2118.85,1
TXN00317,43,26428.97,2131.28,1,6.36,29,49.08,4.12,8,5085.45,2
TXN00318,33,114488.46,5107.99,8,12.45,18,2.56,4.27,3,2141.41,0
TXN00319,39,60809.99,1239.6,4,23.15,37,95.47,3.33,4,1621.63,0
TXN00320,35,44193.34,1644.29,4,6.66,149,0.95,4.18,1,3863.1,2
TXN00321,37,54294.09,452.76,2,6.89,8,14.99,3.47,5,759.86,0
