Application_ID,Application_Date,Age,Annual_Income,Employment_Years,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Loans,Debt_to_Income,Employment_Type,Education_Level,Loan_Purpose,Approval_Status,Approval_Decision_Date,Post_Approval_Review,Final_Loan_Status
APP100014,2023-01-06 19:11:54.238079359,60,376420.0,7,711.0,1379772.0,24,1,0.618,Self-Employed,Bachelor,Business,0,2023-01-11 19:11:54.238079359,Rejected_Review,Rejected
APP100015,2023-01-07 05:54:21.487162387,44,1558871.0,8,637.0,1633358.0,36,4,0.335,Salaried,Diploma,Vehicle,0,2023-01-11 05:54:21.487162387,Rejected_Review,Rejected
APP100016,2023-01-07 16:36:48.736245415,23,313144.0,4,789.0,584862.0,24,1,0.425,Business,Bachelor,Personal,0,2023-01-08 16:36:48.736245415,Rejected_Review,Rejected
APP100017,2023-01-08 03:19:15.985328442,42,929864.0,8,647.0,879439.0,36,3,0.411,Salaried,Bachelor,Business,0,2023-01-14 03:19:15.985328442,Rejected_Review,Rejected
APP100018,2023-01-08 14:01:43.234411470,22,858658.0,3,773.0,532335.0,48,3,0.256,Business,Bachelor,Vehicle,0,2023-01-09 14:01:43.234411470,Rejected_Review,Rejected
APP100019,2023-01-09 00:44:10.483494498,44,524435.0,10,698.0,488320.0,36,0,0.293,Business,Bachelor,Business,0,2023-01-11 00:44:10.483494498,Rejected_Review,Rejected
APP100020,2023-01-09 11:26:37.732577525,64,877323.0,8,646.0,719631.0,48,3,0.227,Salaried,Bachelor,Education,0,2023-01-15 11:26:37.732577525,Rejected_Review,Rejected
APP100021,2023-01-09 22:09:04.981660553,50,563442.0,4,683.0,2849242.0,36,0,0.75,Salaried,Bachelor,Education,0,2023-01-10 22:09:04.981660553,Standard_Review,Rejected
APP100022,2023-01-10 08:51:32.230743581,58,479630.0,11,609.0,1554258.0,48,1,0.449,Business,Bachelor,Personal,0,2023-01-14 08:51:32.230743581,Rejected_Review,Rejected
APP100023,2023-01-10 19:33:59.479826609,22,802935.0,6,704.0,1442088.0,36,1,0.322,Salaried,Bachelor,Personal,0,2023-01-18 19:33:59.479826609,Rejected_Review,Closed
APP100024,2023-01-11 06:16:26.728909636,41,413236.0,7,692.0,907294.0,48,1,0.492,Contract,High School,Vehicle,0,2023-01-15 06:16:26.728909636,Rejected_Review,Rejected
APP100025,2023-01-11 16:58:53.977992664,53,587607.0,7,724.0,442446.0,24,2,0.132,Contract,Master,Vehicle,0,2023-01-12 16:58:53.977992664,Rejected_Review,Rejected
APP100026,2023-01-12 03:41:21.227075692,32,497499.0,6,747.0,1175546.0,36,0,0.531,Self-Employed,Diploma,Personal,0,2023-01-18 03:41:21.227075692,Standard_Review,Rejected
APP100027,2023-01-12 14:23:48.476158719,42,558794.0,4,698.0,169013.0,36,2,0.165,Salaried,Bachelor,Business,0,2023-01-17 14:23:48.476158719,Rejected_Review,Rejected
APP100028,2023-01-13 01:06:15.725241747,64,789737.0,8,594.0,851090.0,36,0,0.216,Salaried,Master,Vehicle,0,2023-01-17 01:06:15.725241747,Rejected_Review,Rejected
APP100029,2023-01-13 11:48:42.974324775,45,497456.0,10,751.0,1211990.0,36,0,0.423,Business,Diploma,Vehicle,0,2023-01-14 11:48:42.974324775,Rejected_Review,Rejected
APP100030,2023-01-13 22:31:10.223407802,47,596111.0,10,691.0,755079.0,36,2,0.343,Salaried,High School,Education,0,2023-01-20 22:31:10.223407802,Rejected_Review,Rejected
APP100031,2023-01-14 09:13:37.472490830,62,518301.0,3,567.0,1604819.0,60,0,0.528,Salaried,Bachelor,Education,0,2023-01-22 09:13:37.472490830,Rejected_Review,Rejected
APP100032,2023-01-14 19:56:04.721573858,48,1244851.0,6,710.0,343139.0,24,2,0.317,Salaried,Diploma,Medical,0,2023-01-18 19:56:04.721573858,Rejected_Review,Closed
APP100033,2023-01-15 06:38:31.970656885,36,758352.0,4,715.0,1558421.0,48,2,0.427,Contract,Bachelor,Medical,0,2023-01-18 06:38:31.970656885,Standard_Review,Rejected
APP100034,2023-01-15 17:20:59.219739913,35,717666.0,7,667.0,646921.0,36,1,0.294,Salaried,Master,Vehicle,0,2023-01-20 17:20:59.219739913,Standard_Review,Rejected
APP100035,2023-01-16 04:03:26.468822941,64,884047.0,2,677.0,1445878.0,36,2,0.384,Business,Bachelor,Vehicle,0,2023-01-21 04:03:26.468822941,Rejected_Review,Rejected
APP100036,2023-01-16 14:45:53.717905968,23,497508.0,2,651.0,1165819.0,48,1,0.441,Salaried,Bachelor,Personal,0,2023-01-21 14:45:53.717905968,Rejected_Review,Closed
APP100037,2023-01-17 01:28:20.966988996,57,956842.0,4,717.0,1492362.0,60,5,0.32,Salaried,Bachelor,Personal,1,2023-01-21 01:28:20.966988996,Approved_Review,Disbursed
APP100038,2023-01-17 12:10:48.216072024,27,,13,699.0,1140034.0,36,2,0.337,Business,Master,Home,0,2023-01-22 12:10:48.216072024,Rejected_Review,Rejected
APP100039,2023-01-17 22:53:15.465155051,41,322006.0,7,631.0,989350.0,60,0,0.535,Salaried,Master,Vehicle,0,2023-01-22 22:53:15.465155051,Rejected_Review,Rejected
APP100040,2023-01-18 09:35:42.714238079,29,341845.0,4,795.0,1385979.0,24,1,0.633,Salaried,Doctorate,Education,0,2023-01-27 09:35:42.714238079,Rejected_Review,Rejected
APP100041,2023-01-18 20:18:09.963321107,59,502421.0,8,647.0,719690.0,48,1,0.41,Business,Bachelor,Medical,0,2023-01-23 20:18:09.963321107,Rejected_Review,Rejected
APP100042,2023-01-19 07:00:37.212404134,38,358712.0,7,514.0,946008.0,36,2,0.547,,High School,Personal,0,2023-01-23 07:00:37.212404134,Rejected_Review,Rejected
APP100043,2023-01-19 17:43:04.461487162,24,583910.0,14,659.0,698735.0,36,0,0.211,Salaried,Bachelor,Home,0,2023-01-20 17:43:04.461487162,Rejected_Review,Rejected
APP100044,2023-01-20 04:25:31.710570190,45,411904.0,8,757.0,496788.0,36,2,0.363,Salaried,Master,Personal,0,2023-01-21 04:25:31.710570190,Standard_Review,Closed
APP100045,2023-01-20 15:07:58.959653218,34,622035.0,5,677.0,911010.0,36,3,0.324,Self-Employed,High School,Personal,0,2023-01-24 15:07:58.959653218,Rejected_Review,Rejected
APP100046,2023-01-21 01:50:26.208736245,29,1226895.0,10,584.0,772362.0,36,2,0.204,Business,Master,Education,0,2023-01-25 01:50:26.208736245,Standard_Review,Rejected
APP100047,2023-01-21 12:32:53.457819273,46,635717.0,3,623.0,1312340.0,36,2,0.447,Salaried,Bachelor,Business,0,2023-01-23 12:32:53.457819273,Rejected_Review,Rejected
APP100048,2023-01-21 23:15:20.706902301,22,567158.0,6,620.0,635844.0,48,3,0.304,Salaried,Master,Personal,0,2023-01-23 23:15:20.706902301,Rejected_Review,Rejected
APP100049,2023-01-22 09:57:47.955985328,40,774085.0,5,653.0,478538.0,36,2,0.161,Salaried,Master,Personal,0,2023-01-27 09:57:47.955985328,Rejected_Review,Rejected
APP100050,2023-01-22 20:40:15.205068356,48,475128.0,3,673.0,1303209.0,36,2,0.536,Salaried,Bachelor,Personal,0,2023-01-25 20:40:15.205068356,Rejected_Review,Rejected
APP100051,2023-01-23 07:22:42.454151384,27,950044.0,4,722.0,722524.0,24,2,0.235,Self-Employed,Master,Business,0,2023-01-25 07:22:42.454151384,Rejected_Review,Rejected
APP100052,2023-01-23 18:05:09.703234411,64,812258.0,5,698.0,471286.0,48,5,0.275,Salaried,Master,Medical,0,2023-01-25 18:05:09.703234411,Standard_Review,Rejected
APP100053,2023-01-24 04:47:36.952317439,28,661468.0,7,701.0,1401927.0,48,1,0.403,Business,Bachelor,Vehicle,0,2023-01-26 04:47:36.952317439,Rejected_Review,Rejected
APP100054,2023-01-24 15:30:04.201400467,55,696742.0,1,806.0,1112606.0,24,1,0.398,Contract,Master,Home,0,2023-01-27 15:30:04.201400467,Rejected_Review,Rejected
APP100055,2023-01-25 02:12:31.450483494,34,1629059.0,6,746.0,1764278.0,36,2,0.346,Business,High School,Home,0,2023-01-29 02:12:31.450483494,Rejected_Review,Rejected
APP100056,2023-01-25 12:54:58.699566522,37,993280.0,7,740.0,590295.0,36,0,0.305,Salaried,Master,Home,1,2023-01-29 12:54:58.699566522,Approved_Review,Disbursed
APP100057,2023-01-25 23:37:25.948649550,56,1748930.0,11,572.0,550415.0,60,3,0.145,Self-Employed,Bachelor,Vehicle,0,2023-01-28 23:37:25.948649550,Rejected_Review,Rejected
APP100058,2023-01-26 10:19:53.197732577,60,825828.0,3,641.0,406586.0,48,1,0.337,,Bachelor,Education,1,2023-01-27 10:19:53.197732577,Approved_Review,Pending_Disbursement
APP100059,2023-01-26 21:02:20.446815605,24,335195.0,9,586.0,527225.0,12,1,0.329,Salaried,Master,Personal,0,2023-01-28 21:02:20.446815605,Rejected_Review,Rejected
APP100060,2023-01-27 07:44:47.695898633,22,577665.0,4,640.0,577033.0,60,1,0.186,Business,Bachelor,Personal,0,2023-01-30 07:44:47.695898633,Rejected_Review,Rejected
APP100061,2023-01-27 18:27:14.944981661,26,302439.0,3,742.0,984940.0,12,2,0.554,Business,Bachelor,Personal,0,2023-02-02 18:27:14.944981661,Rejected_Review,Rejected
APP100062,2023-01-28 05:09:42.194064688,62,824444.0,5,664.0,439833.0,36,2,0.201,Salaried,Diploma,Personal,0,2023-02-01 05:09:42.194064688,Rejected_Review,Rejected
APP100063,2023-01-28 15:52:09.443147716,24,909054.0,5,760.0,502408.0,60,1,0.175,Salaried,Master,Education,1,2023-02-02 15:52:09.443147716,Approved_Review,Disbursed
APP100064,2023-01-29 02:34:36.692230744,49,436291.0,3,735.0,1635018.0,60,1,0.603,Salaried,Bachelor,Vehicle,0,2023-02-05 02:34:36.692230744,Rejected_Review,Closed
APP100065,2023-01-29 13:17:03.941313771,38,483928.0,13,693.0,161679.0,48,1,0.243,Salaried,High School,Education,0,2023-02-02 13:17:03.941313771,Rejected_Review,Rejected
APP100066,2023-01-29 23:59:31.190396799,46,694999.0,6,,889990.0,36,4,0.327,Business,Bachelor,Home,0,2023-02-02 23:59:31.190396799,Rejected_Review,Rejected
APP100067,2023-01-30 10:41:58.439479827,64,379110.0,11,779.0,367187.0,36,1,0.36,Contract,Bachelor,Personal,0,2023-02-03 10:41:58.439479827,Rejected_Review,Rejected
APP100068,2023-01-30 21:24:25.688562854,54,366519.0,7,720.0,467993.0,60,2,0.295,Contract,Bachelor,Business,0,2023-02-03 21:24:25.688562854,Rejected_Review,Rejected
APP100069,2023-01-31 08:06:52.937645882,30,1134965.0,18,705.0,1426189.0,48,2,0.331,Salaried,Diploma,Home,0,2023-02-02 08:06:52.937645882,Rejected_Review,Rejected
APP100070,2023-01-31 18:49:20.186728910,56,684434.0,13,731.0,725505.0,36,0,0.295,Contract,Bachelor,Education,0,2023-02-05 18:49:20.186728910,Rejected_Review,Rejected
APP100071,2023-02-01 05:31:47.435811937,34,505639.0,5,599.0,2642864.0,36,1,0.75,Business,Doctorate,Vehicle,0,2023-02-05 05:31:47.435811937,Rejected_Review,Closed
APP100072,2023-02-01 16:14:14.684894965,51,303542.0,4,682.0,957654.0,60,0,0.458,Business,Master,Home,0,2023-02-03 16:14:14.684894965,Standard_Review,Rejected
APP100073,2023-02-02 02:56:41.933977993,35,953873.0,8,688.0,462314.0,60,3,0.169,Contract,Master,Education,0,2023-02-06 02:56:41.933977993,Rejected_Review,Rejected
APP100074,2023-02-02 13:39:09.183061020,28,477679.0,8,666.0,925144.0,48,1,0.528,Salaried,Master,Personal,0,2023-02-03 13:39:09.183061020,Standard_Review,Rejected
APP100075,2023-02-03 00:21:36.432144048,34,1501591.0,6,639.0,1231596.0,48,3,0.233,Salaried,Diploma,Personal,0,2023-02-04 00:21:36.432144048,Rejected_Review,Rejected
APP100076,2023-02-03 11:04:03.681227076,43,956865.0,16,755.0,908729.0,12,1,0.154,Salaried,Bachelor,Personal,0,2023-02-09 11:04:03.681227076,Rejected_Review,Rejected
APP100077,2023-02-03 21:46:30.930310103,60,,14,701.0,628540.0,48,0,0.456,Salaried,Master,Business,0,2023-02-07 21:46:30.930310103,Rejected_Review,Rejected
APP100078,2023-02-04 08:28:58.179393131,41,471072.0,7,707.0,300531.0,48,1,0.159,Self-Employed,Diploma,Education,0,2023-02-11 08:28:58.179393131,Rejected_Review,Rejected
APP100079,2023-02-04 19:11:25.428476159,36,1410649.0,13,783.0,595772.0,12,2,0.208,Salaried,High School,Personal,0,2023-02-08 19:11:25.428476159,Rejected_Review,Rejected
APP100080,2023-02-05 05:53:52.677559186,65,625816.0,4,677.0,1611448.0,60,1,0.534,Salaried,Bachelor,Personal,0,2023-02-09 05:53:52.677559186,Rejected_Review,Rejected
APP100081,2023-02-05 16:36:19.926642214,38,515936.0,8,665.0,469995.0,60,0,0.322,Salaried,Bachelor,Business,0,2023-02-09 16:36:19.926642214,Rejected_Review,Rejected
APP100082,2023-02-06 03:18:47.175725242,44,658159.0,6,778.0,569734.0,36,2,0.193,Contract,High School,Personal,0,2023-02-08 03:18:47.175725242,Standard_Review,Rejected
APP100083,2023-02-06 14:01:14.424808269,46,514869.0,5,593.0,1150239.0,60,2,0.585,Salaried,Bachelor,Vehicle,0,2023-02-11 14:01:14.424808269,Rejected_Review,Closed
APP100084,2023-02-07 00:43:41.673891297,45,724473.0,3,693.0,954256.0,48,1,0.345,Salaried,Master,Home,0,2023-02-10 00:43:41.673891297,Rejected_Review,Rejected
APP100085,2023-02-07 11:26:08.922974325,65,628196.0,9,642.0,363628.0,48,0,0.217,Salaried,Diploma,Medical,0,2023-02-12 11:26:08.922974325,Rejected_Review,Rejected
APP100086,2023-02-07 22:08:36.172057353,61,963865.0,3,709.0,662998.0,60,0,0.163,Salaried,Bachelor,Business,0,2023-02-09 22:08:36.172057353,Rejected_Review,Rejected
APP100087,2023-02-08 08:51:03.421140380,49,545724.0,10,727.0,1414548.0,36,0,0.495,Self-Employed,Bachelor,Personal,0,2023-02-13 08:51:03.421140380,Rejected_Review,Rejected
APP100088,2023-02-08 19:33:30.670223408,35,436507.0,6,731.0,709329.0,48,0,0.45,Self-Employed,Master,Vehicle,0,2023-02-13 19:33:30.670223408,Rejected_Review,Closed
APP100089,2023-02-09 06:15:57.919306436,65,555534.0,21,757.0,1431812.0,36,1,0.439,Salaried,Bachelor,Home,0,2023-02-15 06:15:57.919306436,Rejected_Review,Rejected
APP100090,2023-02-09 16:58:25.168389463,21,554011.0,9,674.0,1472870.0,48,1,0.346,Business,Diploma,Education,0,2023-02-14 16:58:25.168389463,Rejected_Review,Rejected
APP100091,2023-02-10 03:40:52.417472491,45,627712.0,8,678.0,440209.0,36,0,0.185,Salaried,High School,Home,1,2023-02-14 03:40:52.417472491,Standard_Review,Disbursed
APP100092,2023-02-10 14:23:19.666555519,27,864815.0,8,724.0,603990.0,24,0,0.211,Business,Bachelor,Home,0,2023-02-17 14:23:19.666555519,Rejected_Review,Rejected
APP100093,2023-02-11 01:05:46.915638546,29,843813.0,2,748.0,972512.0,36,1,0.182,Business,High School,Education,0,2023-02-16 01:05:46.915638546,Standard_Review,Rejected
APP100094,2023-02-11 11:48:14.164721574,44,1115233.0,1,605.0,324484.0,36,3,0.222,Business,Bachelor,Business,0,2023-02-12 11:48:14.164721574,Standard_Review,Rejected
APP100095,2023-02-11 22:30:41.413804602,21,451151.0,5,710.0,626128.0,24,0,0.368,Salaried,Bachelor,Medical,0,2023-02-14 22:30:41.413804602,Rejected_Review,Rejected
APP100096,2023-02-12 09:13:08.662887629,64,774251.0,7,664.0,919816.0,24,2,0.242,Salaried,Diploma,Personal,0,2023-02-16 09:13:08.662887629,Rejected_Review,Closed
APP100097,2023-02-12 19:55:35.911970657,28,901686.0,12,696.0,512835.0,48,1,0.277,Salaried,Bachelor,Home,0,2023-02-19 19:55:35.911970657,Standard_Review,Rejected
APP100098,2023-02-13 06:38:03.161053685,44,479898.0,5,667.0,939299.0,60,4,0.321,Salaried,Bachelor,Personal,0,2023-02-16 06:38:03.161053685,Rejected_Review,Rejected
APP100099,2023-02-13 17:20:30.410136712,31,592019.0,30,643.0,518528.0,60,0,0.162,Salaried,High School,Business,0,2023-02-16 17:20:30.410136712,Standard_Review,Rejected
APP100100,2023-02-14 04:02:57.659219740,37,295740.0,4,624.0,515663.0,60,5,0.285,Salaried,Master,Business,0,2023-02-15 04:02:57.659219740,Rejected_Review,Rejected
APP100101,2023-02-14 14:45:24.908302768,28,977559.0,5,680.0,1015537.0,60,2,0.217,Salaried,Doctorate,Home,0,2023-02-21 14:45:24.908302768,Rejected_Review,Rejected
APP100102,2023-02-15 01:27:52.157385795,55,589927.0,6,713.0,1387284.0,12,2,0.487,Salaried,Diploma,Vehicle,0,2023-02-22 01:27:52.157385795,Rejected_Review,Rejected
APP100103,2023-02-15 12:10:19.406468823,55,934420.0,6,651.0,490639.0,48,1,0.252,Contract,High School,Personal,0,2023-02-17 12:10:19.406468823,Rejected_Review,Closed
APP100104,2023-02-15 22:52:46.655551851,53,713152.0,3,767.0,381992.0,48,4,0.15,Self-Employed,Doctorate,Vehicle,0,2023-02-16 22:52:46.655551851,Rejected_Review,Rejected
APP100105,2023-02-16 09:35:13.904634878,25,598034.0,8,850.0,687081.0,24,0,0.241,,Master,Home,1,2023-02-22 09:35:13.904634878,Approved_Review,Disbursed
APP100106,2023-02-16 20:17:41.153717906,62,,7,717.0,884065.0,48,2,0.608,Business,Master,Education,0,2023-02-23 20:17:41.153717906,Rejected_Review,Rejected
APP100107,2023-02-17 07:00:08.402800934,59,343863.0,9,687.0,488196.0,36,0,0.378,Contract,Bachelor,Education,0,2023-02-20 07:00:08.402800934,Rejected_Review,Rejected
APP100108,2023-02-17 17:42:35.651883961,61,202362.0,1,631.0,1605876.0,60,3,0.75,Salaried,Bachelor,Personal,0,2023-02-21 17:42:35.651883961,Rejected_Review,Closed
APP100109,2023-02-18 04:25:02.900966989,48,504615.0,7,714.0,650447.0,48,0,0.398,Salaried,Master,Personal,0,2023-02-23 04:25:02.900966989,Rejected_Review,Rejected
APP100110,2023-02-18 15:07:30.150050017,27,1811996.0,1,786.0,486091.0,60,3,0.34,Salaried,Bachelor,Personal,0,2023-02-20 15:07:30.150050017,Standard_Review,Rejected
APP100111,2023-02-19 01:49:57.399133045,29,364088.0,6,817.0,1838916.0,24,1,0.75,Business,Bachelor,Personal,0,2023-02-21 01:49:57.399133045,Rejected_Review,Closed
APP100112,2023-02-19 12:32:24.648216072,28,198905.0,8,781.0,1318634.0,12,2,0.75,Salaried,Master,Personal,0,2023-02-22 12:32:24.648216072,Rejected_Review,Rejected
APP100113,2023-02-19 23:14:51.897299100,32,1002421.0,10,745.0,486563.0,60,2,0.178,Business,Master,Home,0,2023-02-21 23:14:51.897299100,Rejected_Review,Rejected
APP100114,2023-02-20 09:57:19.146382128,54,1883045.0,5,717.0,1193506.0,24,0,0.204,Self-Employed,Doctorate,Home,0,2023-03-02 09:57:19.146382128,Standard_Review,Closed
APP100115,2023-02-20 20:39:46.395465155,53,,5,622.0,504293.0,36,2,0.285,Self-Employed,Bachelor,Vehicle,1,2023-02-26 20:39:46.395465155,Standard_Review,Disbursed
APP100116,2023-02-21 07:22:13.644548183,43,740186.0,3,684.0,1027484.0,48,1,0.272,Salaried,Diploma,Home,0,2023-02-24 07:22:13.644548183,Rejected_Review,Rejected
APP100117,2023-02-21 18:04:40.893631211,44,565395.0,1,676.0,1702312.0,60,3,0.565,Salaried,High School,Personal,0,2023-02-25 18:04:40.893631211,Rejected_Review,Rejected
APP100118,2023-02-22 04:47:08.142714239,57,289906.0,7,684.0,382474.0,36,1,0.308,Salaried,Master,Home,1,2023-02-23 04:47:08.142714239,Approved_Review,Disbursed
APP100119,2023-02-22 15:29:35.391797266,55,338374.0,1,643.0,534962.0,12,2,0.298,Salaried,Diploma,Vehicle,0,2023-02-27 15:29:35.391797266,Rejected_Review,Rejected
APP100120,2023-02-23 02:12:02.640880294,64,563650.0,7,739.0,540862.0,36,2,0.29,Self-Employed,High School,Vehicle,0,2023-02-28 02:12:02.640880294,Rejected_Review,Rejected
APP100121,2023-02-23 12:54:29.889963322,60,517064.0,3,672.0,799418.0,36,1,0.32,Business,Master,Business,0,2023-02-26 12:54:29.889963322,Standard_Review,Rejected
APP100122,2023-02-23 23:36:57.139046349,42,617170.0,1,667.0,886914.0,36,2,0.278,Business,Bachelor,Business,0,2023-02-26 23:36:57.139046349,Rejected_Review,Rejected
APP100123,2023-02-24 10:19:24.388129377,47,944040.0,4,643.0,669499.0,60,2,0.233,Salaried,Master,Medical,0,2023-02-26 10:19:24.388129377,Standard_Review,Rejected
APP100124,2023-02-24 21:01:51.637212405,55,500269.0,4,705.0,301920.0,48,3,0.221,Salaried,Bachelor,Education,0,2023-03-03 21:01:51.637212405,Rejected_Review,Rejected
APP100125,2023-02-25 07:44:18.886295432,21,952743.0,3,787.0,378257.0,60,0,0.164,Business,Bachelor,Business,0,2023-03-04 07:44:18.886295432,Rejected_Review,Rejected
APP100126,2023-02-25 18:26:46.135378460,55,501745.0,5,689.0,450026.0,24,0,0.201,Contract,High School,Home,0,2023-03-02 18:26:46.135378460,Rejected_Review,Rejected
APP100127,2023-02-26 05:09:13.384461488,57,1037096.0,7,708.0,926143.0,48,6,0.263,Salaried,Bachelor,Home,0,2023-03-02 05:09:13.384461488,Standard_Review,Rejected
APP100128,2023-02-26 15:51:40.633544515,34,675760.0,3,816.0,348461.0,60,0,0.226,Self-Employed,High School,Home,0,2023-02-28 15:51:40.633544515,Rejected_Review,Closed
APP100129,2023-02-27 02:34:07.882627543,23,534242.0,4,768.0,443297.0,48,0,0.278,Salaried,Bachelor,Vehicle,1,2023-03-02 02:34:07.882627543,Approved_Review,Disbursed
APP100130,2023-02-27 13:16:35.131710571,21,670588.0,5,728.0,397128.0,24,1,0.247,Salaried,Bachelor,Business,0,2023-03-02 13:16:35.131710571,Rejected_Review,Rejected
APP100131,2023-02-27 23:59:02.380793598,25,569569.0,8,725.0,830255.0,60,0,0.417,Self-Employed,High School,Home,0,2023-03-02 23:59:02.380793598,Rejected_Review,Rejected
APP100132,2023-02-28 10:41:29.629876626,46,683949.0,9,651.0,1232687.0,36,1,0.29,Business,Bachelor,Vehicle,0,2023-03-05 10:41:29.629876626,Rejected_Review,Rejected
APP100133,2023-02-28 21:23:56.878959654,34,914265.0,19,644.0,756088.0,60,0,0.36,Salaried,Master,Home,0,2023-03-01 21:23:56.878959654,Standard_Review,Rejected
APP100134,2023-03-01 08:06:24.128042681,59,624984.0,0,699.0,1896626.0,24,1,0.421,Self-Employed,Doctorate,Business,0,2023-03-02 08:06:24.128042681,Rejected_Review,Rejected
APP100135,2023-03-01 18:48:51.377125709,47,550412.0,5,701.0,756010.0,48,1,0.402,Self-Employed,Bachelor,Business,0,2023-03-04 18:48:51.377125709,Rejected_Review,Rejected
APP100136,2023-03-02 05:31:18.626208737,29,392050.0,11,635.0,667813.0,60,1,0.39,Salaried,High School,Personal,0,2023-03-03 05:31:18.626208737,Rejected_Review,Rejected
APP100137,2023-03-02 16:13:45.875291764,35,843536.0,13,736.0,472952.0,36,2,0.181,Self-Employed,Master,Business,0,2023-03-08 16:13:45.875291764,Rejected_Review,Rejected
APP100138,2023-03-03 02:56:13.124374792,35,760286.0,14,672.0,774777.0,36,1,0.103,Salaried,Master,Business,0,2023-03-09 02:56:13.124374792,Standard_Review,Rejected
APP100139,2023-03-03 13:38:40.373457820,46,381877.0,15,763.0,462984.0,24,0,0.191,Salaried,Doctorate,Education,1,2023-03-04 13:38:40.373457820,Approved_Review,Disbursed
APP100140,2023-03-04 00:21:07.622540847,62,946665.0,16,686.0,429058.0,36,4,0.16,Self-Employed,Bachelor,Home,0,2023-03-09 00:21:07.622540847,Standard_Review,Rejected
APP100141,2023-03-04 11:03:34.871623875,33,379096.0,7,681.0,422969.0,36,2,0.315,Self-Employed,Bachelor,Personal,0,2023-03-07 11:03:34.871623875,Standard_Review,Rejected
APP100142,2023-03-04 21:46:02.120706903,52,1032896.0,15,629.0,625760.0,48,2,0.185,Salaried,Doctorate,Business,0,2023-03-08 21:46:02.120706903,Standard_Review,Rejected
APP100143,2023-03-05 08:28:29.369789931,59,885817.0,3,636.0,545133.0,24,4,0.221,Salaried,Bachelor,Medical,0,2023-03-10 08:28:29.369789931,Rejected_Review,Rejected
APP100144,2023-03-05 19:10:56.618872958,52,785108.0,6,776.0,2639771.0,24,0,0.523,Business,High School,Medical,0,2023-03-06 19:10:56.618872958,Standard_Review,Rejected
APP100145,2023-03-06 05:53:23.867955986,24,548575.0,5,707.0,777256.0,36,0,0.332,Self-Employed,Bachelor,Personal,0,2023-03-12 05:53:23.867955986,Standard_Review,Rejected
APP100146,2023-03-06 16:35:51.117039014,50,842247.0,4,715.0,770886.0,36,2,0.163,Salaried,High School,Medical,0,2023-03-11 16:35:51.117039014,Rejected_Review,Rejected
APP100147,2023-03-07 03:18:18.366122041,57,1055046.0,3,794.0,531181.0,48,1,0.192,Self-Employed,Master,Business,0,2023-03-13 03:18:18.366122041,Rejected_Review,Rejected
