Customer_ID,Age,Gender,Contract_Type,Education_Level,Satisfaction_Level,Is_Member,Payment_Method,City,Product_Category,Customer_Segment,Referral_Source,Monthly_Charges,Tenure_Months,Support_Calls,Churn
CUST00018,19,Female,Monthly,Bachelor,Medium,No,UPI,Bangalore,Clothing,Standard,Email,2980.53,38,4,No
CUST00019,41,Male,Monthly,High School,Medium,Yes,UPI,Kolkata,Sports,Basic,Email,2897.06,38,4,No
CUST00020,61,Male,Yearly,Bachelor,Medium,Yes,UPI,Delhi,Grocery,Standard,Facebook,8380.53,1,2,No
CUST00021,47,Male,Quarterly,Master,Medium,No,UPI,Madurai,Clothing,Basic,Email,4116.12,54,1,No
CUST00022,55,Male,Monthly,Bachelor,Medium,Yes,UPI,Thanjavur,Home Appliances,Standard,Friend,4781.88,65,6,No
CUST00023,19,Male,Monthly,Master,Medium,No,Credit Card,Visakhapatnam,Electronics,Standard,Google,8508.17,22,2,No
CUST00024,38,Male,Monthly,High School,High,Yes,Credit Card,Mumbai,Clothing,Standard,Friend,1334.01,61,1,No
CUST00025,50,Male,Monthly,Master,High,No,Bank Transfer,Mumbai,Clothing,Standard,Google,6148.87,58,0,No
CUST00026,29,Female,Monthly,Bachelor,Medium,Yes,Other,Tiruppur,Books,Basic,Website,5993.05,54,6,No
CUST00027,39,Male,Monthly,Master,High,Yes,Cash,Trichy,Home Appliances,Premium,Email,4539.54,19,1,No
CUST00028,61,Female,Monthly,High School,Medium,Yes,UPI,Kochi,Clothing,Standard,Friend,8382.86,70,3,No
CUST00029,42,Female,Monthly,Master,Medium,No,Credit Card,Delhi,Home Appliances,Basic,Website,9457.46,34,2,Yes
CUST00030,44,Female,Monthly,Bachelor,High,No,Cash,Delhi,Electronics,Basic,Facebook,4920.69,44,1,No
CUST00031,59,Female,Monthly,Bachelor,Medium,Yes,Credit Card,Bangalore,Clothing,Basic,Email,4833.4,67,2,No
CUST00032,45,Female,Quarterly,PhD,Low,Yes,Bank Transfer,Tiruppur,Electronics,Standard,Website,5269.61,52,3,Yes
CUST00033,33,Female,Monthly,Bachelor,High,Yes,Credit Card,Delhi,Sports,Basic,Advertisement,7369.68,22,3,Yes
CUST00034,32,Female,Monthly,Bachelor,High,Yes,UPI,Chennai,Clothing,Premium,Friend,6846.57,29,2,No
CUST00035,64,Female,Quarterly,PhD,Medium,No,Credit Card,Chennai,Grocery,Basic,Email,2616.93,14,4,No
CUST00036,61,Female,Yearly,Bachelor,High,Yes,Bank Transfer,Vellore,Books,Standard,Email,1107.01,62,0,Yes
CUST00037,20,Female,Yearly,High School,Medium,No,Bank Transfer,Delhi,Books,Standard,Google,9517.91,15,1,No
CUST00038,54,Male,Quarterly,PhD,Medium,No,Credit Card,Bangalore,Books,Premium,Website,2980.16,14,2,No
CUST00039,24,Male,Monthly,Bachelor,Medium,Yes,Credit Card,Chennai,Electronics,Basic,Email,6566.67,67,3,No
CUST00040,38,Male,Quarterly,Master,Medium,No,Credit Card,Delhi,Home Appliances,Premium,Email,8370.16,22,2,Yes
CUST00041,26,Female,Quarterly,High School,Medium,Yes,Cash,Chennai,Books,Premium,Friend,3352.63,7,3,Yes
CUST00042,56,Female,Monthly,Master,Low,Yes,UPI,Hyderabad,Sports,Premium,Google,6536.62,7,4,Yes
CUST00043,35,Female,Monthly,Bachelor,Low,No,UPI,Pune,Clothing,Premium,Email,1525.05,17,1,No
CUST00044,21,Female,Yearly,PhD,Medium,Yes,Credit Card,Delhi,Clothing,Premium,Email,9714.35,32,5,Yes
CUST00045,42,Male,Monthly,Bachelor,Medium,Yes,Cash,Kolkata,Grocery,Standard,Friend,1052.5,56,6,Yes
CUST00046,31,Male,Monthly,High School,Low,No,UPI,Coimbatore,Electronics,Premium,Friend,4662.66,62,4,Yes
CUST00047,26,Female,Monthly,Bachelor,High,Yes,Cash,Chennai,Clothing,Standard,Advertisement,5599.78,58,5,No
CUST00048,43,Female,Monthly,High School,Medium,Yes,Cash,Coimbatore,Clothing,Standard,Website,8009.58,58,1,No
CUST00049,19,Other,Monthly,Master,Low,No,Credit Card,Chennai,Grocery,Standard,Advertisement,1650.72,3,8,Yes
CUST00050,37,Male,Quarterly,Master,Medium,Yes,UPI,Coimbatore,Grocery,Premium,Facebook,4687.68,1,4,No
CUST00051,45,Female,Quarterly,Bachelor,High,No,UPI,Madurai,Home Appliances,Basic,Email,3347.26,67,3,No
CUST00052,64,Female,Monthly,Master,Medium,Yes,UPI,Bangalore,Home Appliances,Standard,Friend,3464.1,20,4,No
CUST00053,24,Female,Yearly,High School,Medium,Yes,Credit Card,Kolkata,Home Appliances,Basic,Website,7898.49,62,3,Yes
CUST00054,61,Female,Monthly,Bachelor,Low,No,Cash,Coimbatore,Clothing,Basic,Facebook,551.88,56,4,No
CUST00055,25,Female,Monthly,Bachelor,Medium,Yes,Bank Transfer,Pune,Grocery,Basic,Email,7616.29,53,7,No
CUST00056,64,Male,Biannual,Bachelor,Medium,No,Bank Transfer,Indore,Sports,Basic,Facebook,8198.79,65,3,No
CUST00057,52,Female,Quarterly,High School,Medium,No,Cash,Chennai,Electronics,Premium,Advertisement,9062.94,56,4,Yes
CUST00058,31,Female,Quarterly,Master,High,No,UPI,Hyderabad,Home Appliances,Basic,Facebook,6455.38,45,6,No
CUST00059,34,Female,Yearly,High School,Medium,Yes,UPI,Kochi,Sports,Standard,Google,3667.83,18,6,No
CUST00060,53,Female,Quarterly,Master,High,Yes,Credit Card,Pune,Books,Basic,Google,4558.73,48,6,No
CUST00061,57,Male,Yearly,High School,High,No,UPI,Delhi,Clothing,Premium,Google,9712.49,38,3,No
CUST00062,21,Male,Monthly,Master,High,Yes,Credit Card,Bangalore,Electronics,Premium,Email,8871.27,22,2,No
CUST00063,19,Other,Quarterly,High School,High,No,Credit Card,Madurai,Clothing,Basic,Facebook,4903.5,71,3,No
CUST00064,23,Female,Yearly,Bachelor,High,Yes,Bank Transfer,Pune,Sports,Basic,Email,9459.1,1,4,Yes
CUST00065,59,Female,Quarterly,Bachelor,Medium,Yes,Bank Transfer,Coimbatore,Home Appliances,Standard,Email,8318.07,42,4,No
CUST00066,21,Male,Monthly,Master,Medium,Yes,Bank Transfer,Bhopal,Sports,Standard,Friend,9060.35,72,3,No
CUST00067,46,Female,Monthly,Bachelor,Medium,No,Credit Card,Mumbai,Sports,Basic,Website,6988.28,69,1,No
CUST00068,35,Female,Quarterly,Master,High,Yes,Bank Transfer,Mumbai,Clothing,Premium,Google,8647.71,29,3,No
CUST00069,43,Female,Monthly,Bachelor,Medium,Yes,Credit Card,Tiruppur,Home Appliances,Standard,Google,8971.78,6,6,Yes
CUST00070,61,Male,Yearly,Master,Low,No,UPI,Pune,Clothing,Basic,Google,1374.16,56,5,Yes
CUST00071,51,Female,Monthly,High School,Low,Yes,UPI,Coimbatore,Home Appliances,Premium,Advertisement,9669.56,12,2,Yes
CUST00072,27,Female,Monthly,Bachelor,High,No,UPI,Mumbai,Grocery,Basic,Advertisement,3669.32,39,4,No
CUST00073,53,Male,Yearly,Bachelor,High,Yes,Bank Transfer,Salem,Grocery,Standard,Google,4679.05,71,0,No
CUST00074,31,Female,Monthly,High School,Medium,No,UPI,Kochi,Grocery,Standard,Google,8023.09,12,7,Yes
CUST00075,48,Female,Monthly,High School,Medium,Yes,UPI,Indore,Grocery,Basic,Email,6816.51,33,4,Yes
CUST00076,65,Female,Quarterly,PhD,Medium,No,Credit Card,Coimbatore,Grocery,Basic,Advertisement,8984.07,53,2,No
CUST00077,32,Female,Quarterly,PhD,Low,Yes,Bank Transfer,Chennai,Books,Basic,Website,4305.45,19,0,No
CUST00078,25,Male,Monthly,Master,Medium,Yes,UPI,Mumbai,Clothing,Standard,Friend,4046.24,58,2,No
CUST00079,31,Male,Yearly,Bachelor,Medium,Yes,Cash,Delhi,Sports,Premium,Website,801.04,43,1,No
CUST00080,40,Male,Monthly,Bachelor,High,No,UPI,Chennai,Grocery,Standard,Email,4895.89,45,3,No
CUST00081,57,Male,Quarterly,Bachelor,Medium,Yes,UPI,Erode,Books,Standard,Friend,7378.67,19,5,No
CUST00082,38,Female,Monthly,High School,Medium,No,UPI,Chennai,Books,Standard,Facebook,3361.2,37,2,Yes
CUST00083,33,Male,Quarterly,PhD,High,Yes,Credit Card,Coimbatore,Clothing,Basic,Facebook,4895.9,11,4,No
CUST00084,62,Female,Monthly,Bachelor,Medium,Yes,UPI,Jaipur,Clothing,Premium,Website,2584.28,56,3,No
CUST00085,35,Other,Monthly,PhD,Medium,Yes,Bank Transfer,Bangalore,Home Appliances,Standard,Advertisement,7841.48,25,3,Yes
CUST00086,64,Female,Monthly,Bachelor,Medium,No,Bank Transfer,Lucknow,Home Appliances,Basic,Google,1074.86,69,7,Yes
CUST00087,41,Female,Yearly,Master,High,No,Credit Card,Chennai,Grocery,Basic,Facebook,7201.14,45,4,Yes
CUST00088,43,Female,Monthly,High School,Medium,No,Credit Card,Coimbatore,Electronics,Premium,Email,4099.93,62,3,No
CUST00089,42,Female,Quarterly,Master,Medium,No,UPI,Salem,Home Appliances,Basic,Advertisement,895.16,14,2,Yes
CUST00090,62,Male,Yearly,Bachelor,High,Yes,Cash,Tiruppur,Electronics,Premium,Advertisement,8607.96,34,3,No
CUST00091,58,Male,Monthly,Master,High,No,UPI,Hyderabad,Sports,Basic,Friend,5133.36,60,2,No
CUST00092,46,Female,Monthly,Master,Medium,Yes,Cash,Coimbatore,Home Appliances,Standard,Facebook,6193.53,64,1,No
CUST00093,32,Female,Monthly,High School,High,No,Bank Transfer,Pune,Sports,Basic,Website,7454.29,70,4,No
CUST00094,62,Female,Quarterly,Bachelor,High,Yes,UPI,Chennai,Books,Premium,Email,6723.21,51,2,No
CUST00095,18,Female,Monthly,Bachelor,High,No,Credit Card,Tiruppur,Books,Standard,Advertisement,7443.14,42,3,No
CUST00096,42,Female,Monthly,Bachelor,High,Yes,Bank Transfer,Chennai,Sports,Basic,Website,7741.68,21,1,Yes
CUST00097,24,Male,Quarterly,Bachelor,Medium,Yes,UPI,Tiruppur,Books,Basic,Website,6096.94,5,1,No
CUST00098,26,Other,Quarterly,Bachelor,Medium,Yes,UPI,Hyderabad,Sports,Basic,Email,3973.56,66,2,Yes
CUST00099,41,Female,Monthly,Bachelor,Low,Yes,UPI,Delhi,Electronics,Premium,Facebook,2809.85,70,1,No
CUST00100,18,Male,Monthly,Master,Medium,Yes,UPI,Trichy,Grocery,Standard,Email,9077.58,61,3,No
CUST00101,61,Female,Quarterly,Bachelor,High,No,UPI,Coimbatore,Sports,Premium,Website,9714.29,8,0,No
CUST00102,25,Male,Yearly,Bachelor,High,No,UPI,Erode,Home Appliances,Basic,Website,3897.8,66,4,No
CUST00103,41,Female,Yearly,Master,Medium,Yes,UPI,Coimbatore,Home Appliances,Standard,Google,1566.95,62,6,Yes
CUST00104,28,Female,Quarterly,Master,Medium,Yes,Cash,Bangalore,Electronics,Premium,Email,2614.1,20,5,Yes
CUST00105,34,Male,Monthly,Bachelor,Medium,Yes,Credit Card,Hyderabad,Sports,Standard,Website,6871.34,4,2,Yes
CUST00106,25,Female,Monthly,Bachelor,Medium,No,Credit Card,Mysore,Books,Basic,Google,2142.87,15,4,Yes
CUST00107,52,Female,Monthly,Bachelor,High,Yes,UPI,Coimbatore,Grocery,Standard,Facebook,7911.16,56,0,No
CUST00108,52,Male,Monthly,Master,Medium,Yes,Bank Transfer,Mumbai,Home Appliances,Standard,Website,9268.79,20,1,Yes
CUST00109,50,Male,Quarterly,Master,Medium,Yes,Credit Card,Pune,Grocery,Standard,Advertisement,9654.69,24,2,No
CUST00110,22,Female,Monthly,High School,Medium,Yes,Credit Card,Bangalore,Grocery,Basic,Email,588.59,9,5,No
CUST00111,59,Male,Monthly,Master,Medium,Yes,UPI,Chennai,Clothing,Basic,Website,9602.46,21,2,Yes
CUST00112,56,Male,Yearly,Bachelor,High,Yes,UPI,Hyderabad,Grocery,Premium,Google,7531.85,41,3,No
CUST00113,58,Male,Monthly,High School,Medium,Yes,UPI,Chennai,Sports,Basic,Advertisement,1298.48,13,5,No
CUST00114,45,Male,Monthly,Master,High,Yes,Credit Card,Hyderabad,Clothing,Basic,Facebook,4444.78,5,2,Yes
CUST00115,24,Female,Monthly,Bachelor,Medium,Yes,Credit Card,Salem,Electronics,Standard,Email,7150.43,64,1,No
CUST00116,26,Female,Quarterly,Bachelor,Medium,Yes,Cash,Tiruppur,Books,Standard,Friend,9588.51,46,1,No
CUST00117,25,Male,Quarterly,Bachelor,Medium,Yes,UPI,Bangalore,Clothing,Premium,Friend,2059.34,71,3,No
CUST00118,29,Female,Monthly,PhD,High,Yes,Bank Transfer,Delhi,Grocery,Basic,Google,1713.47,70,3,No
CUST00119,51,Male,Monthly,Bachelor,Medium,Yes,UPI,Coimbatore,Books,Standard,Facebook,4987.3,59,5,No
CUST00120,50,Female,Quarterly,Master,Medium,No,UPI,Mumbai,Grocery,Basic,Facebook,9696.94,51,1,Yes
CUST00121,65,Other,Yearly,High School,Low,Yes,Bank Transfer,Indore,Grocery,Basic,Website,9728.1,16,2,Yes
CUST00122,40,Male,Yearly,High School,Medium,No,Credit Card,Bangalore,Clothing,Basic,Friend,2665.19,51,3,No
CUST00123,41,Female,Yearly,Bachelor,Low,Yes,UPI,Delhi,Electronics,Standard,Website,3533.8,42,0,No
CUST00124,54,Female,Quarterly,Bachelor,Medium,Yes,Credit Card,Salem,Grocery,Standard,Facebook,9126.3,11,5,No
CUST00125,52,Male,Monthly,Master,Medium,Yes,UPI,Delhi,Sports,Standard,Google,7480.99,68,2,No
CUST00126,61,Male,Monthly,Bachelor,Low,Yes,Credit Card,Hyderabad,Clothing,Basic,Google,9737.01,52,5,No
CUST00127,57,Male,Monthly,Bachelor,Low,Yes,Credit Card,Coimbatore,Sports,Standard,Advertisement,8984.91,10,2,No
CUST00128,39,Female,Quarterly,Bachelor,Low,No,Bank Transfer,Hyderabad,Sports,Basic,Google,2543.41,72,5,Yes
CUST00129,44,Other,Yearly,Bachelor,High,No,UPI,Chennai,Grocery,Basic,Friend,7717.41,63,4,No
CUST00130,52,Female,Monthly,PhD,Medium,Yes,Bank Transfer,Kochi,Sports,Standard,Advertisement,961.37,36,3,Yes
CUST00131,18,Female,Monthly,Bachelor,High,Yes,UPI,Hyderabad,Books,Basic,Friend,8269.41,45,2,No
CUST00132,52,Female,Monthly,High School,Medium,Yes,UPI,Tiruppur,Electronics,Standard,Website,6214.79,6,2,No
CUST00133,54,Female,Yearly,Master,High,Yes,Credit Card,Chennai,Grocery,Standard,Website,9582.96,6,4,No
CUST00134,64,Female,Quarterly,Master,Medium,No,UPI,Hyderabad,Sports,Basic,Google,9620.31,66,3,No
CUST00135,31,Male,Yearly,Master,Medium,Yes,UPI,Mumbai,Electronics,Premium,Advertisement,982.74,64,5,Yes
CUST00136,20,Female,Yearly,High School,High,No,Credit Card,Coimbatore,Electronics,Standard,Friend,2024.95,38,1,No
CUST00137,18,Female,Yearly,Bachelor,High,Yes,Cash,Delhi,Books,Basic,Friend,5099.97,69,3,No
CUST00138,22,Male,Quarterly,High School,High,Yes,Credit Card,Chennai,Books,Standard,Facebook,8855.19,61,1,No
CUST00139,43,Female,Quarterly,Master,High,Yes,UPI,Chennai,Home Appliances,Standard,Google,8237.23,63,3,No
CUST00140,31,Male,Monthly,Master,Medium,No,UPI,Coimbatore,Electronics,Standard,Email,9661.52,71,4,No
CUST00141,56,Female,Monthly,Bachelor,Medium,Yes,Bank Transfer,Bangalore,Grocery,Standard,Website,6371.8,20,5,No
CUST00142,44,Female,Monthly,Bachelor,Medium,Yes,Credit Card,Kolkata,Books,Premium,Email,2937.35,64,7,No
CUST00143,26,Male,Monthly,High School,High,Yes,UPI,Coimbatore,Grocery,Premium,Facebook,738.51,37,2,No
CUST00144,32,Male,Yearly,High School,Medium,Yes,UPI,Tiruppur,Electronics,Standard,Website,2617.8,36,4,No
CUST00145,32,Male,Monthly,PhD,High,Yes,Credit Card,Bangalore,Books,Standard,Website,6915.1,10,0,No
CUST00146,43,Female,Yearly,High School,Medium,Yes,UPI,Mumbai,Home Appliances,Basic,Friend,9299.61,34,3,No
CUST00147,59,Male,Monthly,High School,Medium,No,Credit Card,Mumbai,Electronics,Premium,Website,3548.58,45,1,No
CUST00148,30,Female,Monthly,PhD,Medium,No,Credit Card,Kolkata,Grocery,Basic,Advertisement,8819.19,63,2,No
CUST00149,49,Male,Yearly,Bachelor,Medium,Yes,Credit Card,Salem,Home Appliances,Standard,Website,4251.53,13,2,No
CUST00150,56,Other,Monthly,Master,High,No,Bank Transfer,Surat,Electronics,Basic,Advertisement,3428.58,25,3,No
CUST00151,49,Female,Monthly,High School,Medium,Yes,Credit Card,Trichy,Books,Basic,Website,5334.02,44,1,No
CUST00152,21,Female,Monthly,Bachelor,High,No,UPI,Chennai,Sports,Basic,Facebook,4701.6,24,1,Yes
CUST00153,47,Female,Quarterly,Bachelor,High,Yes,Credit Card,Bhopal,Electronics,Basic,Friend,9181.1,69,3,No
CUST00154,54,Female,Monthly,Master,Medium,Yes,Credit Card,Nagpur,Clothing,Basic,Facebook,4948.44,47,1,No
CUST00155,40,Female,Quarterly,High School,High,Yes,Credit Card,Coimbatore,Grocery,Basic,Friend,3134.69,50,2,No
CUST00156,56,Male,Quarterly,Bachelor,Medium,No,UPI,Mysore,Books,Standard,Facebook,8504.37,36,4,No
CUST00157,62,Male,Quarterly,Master,Medium,Yes,Credit Card,Pune,Books,Standard,Google,9988.12,33,1,No
CUST00158,32,Male,Quarterly,Bachelor,Medium,Yes,Credit Card,Kolkata,Clothing,Standard,Website,6657.63,3,1,No
CUST00159,60,Male,Monthly,Bachelor,Medium,Yes,Bank Transfer,Visakhapatnam,Sports,Standard,Website,2879.38,31,3,Yes
CUST00160,46,Male,Monthly,High School,Medium,Yes,UPI,Mysore,Home Appliances,Premium,Google,2768.74,60,2,No
CUST00161,53,Female,Yearly,High School,High,No,Credit Card,Thanjavur,Books,Standard,Google,1048.21,29,1,No
CUST00162,30,Other,Monthly,Master,Medium,Yes,UPI,Coimbatore,Home Appliances,Basic,Advertisement,1234.28,44,1,No
CUST00163,49,Male,Monthly,Master,Medium,No,Credit Card,Coimbatore,Home Appliances,Basic,Facebook,9192.34,45,1,No
CUST00164,24,Female,Monthly,PhD,Medium,Yes,UPI,Coimbatore,Home Appliances,Basic,Website,1416.63,42,2,No
CUST00165,39,Male,Yearly,Master,Low,Yes,UPI,Coimbatore,Sports,Premium,Advertisement,5101.27,21,1,No
CUST00166,45,Female,Monthly,Bachelor,High,No,Credit Card,Bangalore,Electronics,Basic,Email,7132.16,32,4,No
CUST00167,19,Female,Monthly,Master,High,No,Credit Card,Kochi,Clothing,Standard,Website,8578.37,28,1,No
CUST00168,59,Female,Quarterly,High School,Medium,Yes,UPI,Bangalore,Grocery,Basic,Google,2127.07,47,4,No
CUST00169,62,Other,Quarterly,Bachelor,High,Yes,Bank Transfer,Madurai,Clothing,Basic,Advertisement,4658.9,47,5,No
CUST00170,23,Male,Monthly,Bachelor,Medium,No,Credit Card,Erode,Books,Standard,Email,2889.06,17,3,Yes
CUST00171,45,Female,Monthly,High School,Medium,Yes,Credit Card,Pune,Clothing,Basic,Advertisement,2930.32,29,5,Yes
CUST00172,45,Female,Quarterly,Master,Medium,No,UPI,Hyderabad,Grocery,Standard,Advertisement,3386.47,48,1,No
CUST00173,61,Male,Yearly,Bachelor,Medium,Yes,UPI,Chennai,Electronics,Premium,Facebook,6077.6,2,5,No
CUST00174,61,Female,Quarterly,Bachelor,High,No,Credit Card,Coimbatore,Books,Basic,Email,657.49,33,3,Yes
CUST00175,37,Male,Monthly,Bachelor,Medium,Yes,Credit Card,Mumbai,Electronics,Standard,Advertisement,4383.28,63,3,No
CUST00176,47,Female,Monthly,Bachelor,Medium,Yes,Other,Madurai,Books,Basic,Website,2274.89,68,4,No
CUST00177,28,Male,Yearly,High School,Medium,Yes,Credit Card,Mumbai,Grocery,Premium,Facebook,9687.63,39,2,No
CUST00178,45,Male,Yearly,Master,Low,No,UPI,Madurai,Electronics,Standard,Website,6035.93,5,3,No
CUST00179,42,Female,Monthly,Bachelor,Medium,No,Credit Card,Bangalore,Grocery,Basic,Email,8746.91,68,2,Yes
CUST00180,56,Female,Monthly,Master,Medium,Yes,UPI,Coimbatore,Grocery,Premium,Advertisement,2359.05,52,4,No
CUST00181,50,Male,Quarterly,High School,High,Yes,Bank Transfer,Salem,Sports,Basic,Advertisement,8195.15,52,3,No
CUST00182,18,Male,Monthly,Bachelor,High,Yes,UPI,Chennai,Clothing,Basic,Email,4440.43,29,1,No
CUST00183,44,Female,Monthly,Bachelor,Medium,Yes,UPI,Delhi,Books,Standard,Website,2188.1,37,3,No
CUST00184,30,Male,Monthly,Master,High,Yes,UPI,Trichy,Home Appliances,Standard,Friend,7731.83,8,4,No
CUST00185,58,Male,Monthly,Bachelor,Low,Yes,UPI,Coimbatore,Home Appliances,Standard,Advertisement,7739.11,20,0,No
CUST00186,20,Female,Monthly,Master,Medium,Yes,Bank Transfer,Delhi,Electronics,Standard,Advertisement,9960.94,41,3,No
CUST00187,56,Female,Quarterly,PhD,Medium,Yes,UPI,Kochi,Grocery,Standard,Facebook,7918.9,70,2,No
CUST00188,23,Male,Monthly,PhD,Low,No,UPI,Madurai,Clothing,Premium,Website,1880.04,36,3,No
CUST00189,25,Female,Monthly,Master,High,Yes,Credit Card,Coimbatore,Books,Premium,Advertisement,3564.18,32,1,No
CUST00190,44,Female,Monthly,Master,Medium,Yes,UPI,Erode,Electronics,Standard,Website,4791.41,5,1,No
CUST00191,26,Female,Monthly,Bachelor,High,Yes,UPI,Coimbatore,Grocery,Basic,Facebook,1703.2,20,4,No
CUST00192,54,Female,Monthly,Master,Medium,Yes,Credit Card,Mumbai,Sports,Standard,Website,7986.37,68,3,No
CUST00193,50,Male,Monthly,Bachelor,Low,No,UPI,Hyderabad,Home Appliances,Standard,Website,5503.64,22,5,Yes
CUST00194,59,Male,Quarterly,PhD,High,No,UPI,Chennai,Home Appliances,Premium,Facebook,9472.27,31,2,Yes
CUST00195,61,Male,Monthly,High School,Medium,Yes,UPI,Bangalore,Books,Basic,Advertisement,6098.43,41,3,No
CUST00196,41,Female,Monthly,Bachelor,Medium,Yes,Bank Transfer,Chennai,Books,Standard,Website,5467.54,5,2,No
CUST00197,32,Male,Monthly,Bachelor,Medium,No,Credit Card,Hyderabad,Books,Premium,Friend,1178.54,10,1,Yes
CUST00198,49,Female,Monthly,Bachelor,Low,Yes,Credit Card,Coimbatore,Electronics,Standard,Advertisement,1918.79,37,3,Yes
CUST00199,49,Male,Yearly,Bachelor,High,Yes,Bank Transfer,Thanjavur,Books,Standard,Facebook,8570.5,56,1,No
CUST00200,41,Male,Monthly,Bachelor,Medium,No,Bank Transfer,Coimbatore,Electronics,Premium,Google,9911.42,24,2,No
CUST00201,58,Female,Yearly,Master,Low,Yes,UPI,Thanjavur,Clothing,Standard,Email,4444.2,16,3,No
CUST00202,29,Male,Monthly,Bachelor,High,Yes,Credit Card,Vellore,Grocery,Standard,Friend,8195.82,2,3,No
CUST00203,56,Male,Yearly,Bachelor,Medium,Yes,UPI,Hyderabad,Home Appliances,Basic,Advertisement,6462.06,15,2,No
CUST00204,19,Female,Monthly,Master,Medium,Yes,Credit Card,Mumbai,Electronics,Standard,Email,9611.06,41,4,No
CUST00205,20,Male,Quarterly,Bachelor,Medium,Yes,Bank Transfer,Bangalore,Grocery,Basic,Facebook,2762.3,63,1,No
CUST00206,54,Female,Monthly,High School,Medium,Yes,Cash,Kanpur,Sports,Basic,Friend,5675.94,49,2,No
CUST00207,34,Female,Monthly,Master,Low,No,Credit Card,Pune,Books,Standard,Advertisement,4383.56,26,4,Yes
CUST00208,19,Male,Yearly,Master,Medium,Yes,Bank Transfer,Jaipur,Home Appliances,Basic,Email,5646.3,66,1,No
CUST00209,19,Female,Quarterly,Bachelor,High,Yes,UPI,Hyderabad,Sports,Premium,Google,3054.15,29,3,Yes
CUST00210,45,Female,Monthly,Bachelor,Medium,Yes,Bank Transfer,Thanjavur,Electronics,Standard,Advertisement,5228.59,70,4,No
CUST00211,40,Male,Monthly,Bachelor,Medium,No,Bank Transfer,Hyderabad,Books,Standard,Google,6435.64,60,4,No
CUST00212,54,Male,Monthly,Bachelor,Medium,Yes,Credit Card,Vellore,Grocery,Basic,Google,1271.55,65,3,No
CUST00213,49,Male,Yearly,High School,Medium,No,Credit Card,Coimbatore,Clothing,Basic,Website,7558.38,40,2,No
CUST00214,50,Female,Monthly,PhD,High,No,UPI,Pune,Grocery,Basic,Facebook,7211.97,11,3,No
CUST00215,18,Male,Monthly,Master,Medium,No,Bank Transfer,Kochi,Electronics,Basic,Website,8864.35,52,1,No
CUST00216,36,Female,Quarterly,Master,Low,Yes,Bank Transfer,Pune,Clothing,Premium,Google,4545.64,64,0,No
CUST00217,19,Female,Yearly,Bachelor,Medium,No,UPI,Hyderabad,Clothing,Standard,Facebook,1085.86,3,4,No
CUST00218,61,Female,Quarterly,Master,Medium,Yes,Credit Card,Kochi,Books,Premium,Facebook,4883.88,11,2,No
CUST00219,43,Male,Quarterly,Bachelor,Medium,Yes,Credit Card,Chennai,Grocery,Standard,Facebook,1807.29,28,1,Yes
CUST00220,49,Male,Quarterly,Bachelor,Low,Yes,Cash,Delhi,Electronics,Standard,Friend,6650.74,62,0,Yes
